TIME	20191201_W02	20191201_W03	20191201_W04
0	1658.247	2369.062	2246.193
1	1733.609	2505.458	2328.677
2	1812.39	2595.228	2412.867
3	1876.856	2679.614	2460.8
4	1943.066	2716.995	2510.652
5	1958.353	2692.881	2491.701
6	1957.612	2694.961	2525.909
7	1936.554	2723.994	2555.463
8	1930.404	2737.888	2544.121
9	1876.56	2779.492	2582.616
10	1865.796	2828.978	2628.837
11	1831.961	2883.31	2679.545
12	1808.921	2904.875	2710.354
13	1851.828	3011.465	2778.651
14	1880.099	3068.634	2845.521
15	1903.743	3136.587	2914.625
16	1922.317	3148.623	2951.23
17	1960.432	3213.265	2974.36
18	2016.782	3285.757	3049.792
19	2079.846	3335.139	3133.594
20	2104.216	3344.87	3167.614
21	2147.97	3405.648	3228.808
22	2214.166	3496.891	3226.953
23	2275.359	3612.68	3296.909
24	2310.322	3702.95	3352.585
25	2354.401	3748.489	3371.35
26	2424.403	3869.835	3441.306
27	2486.363	3906.019	3522.266
28	2548.762	3897.917	3579.301
29	2606.943	3887.614	3665.48
30	2718.552	3964.52	3778.156
31	2792.269	3971.099	3849.923
32	2890.696	3997.367	3895.792
33	3021.397	4067.542	3909.439
34	3152.033	4184.547	3985.697
35	3257.587	4235.955	3976.53
36	3315.549	4309.123	4009.074
37	3411.658	4372.294	4006.064
38	3532.476	4464.279	4082.224
39	3616.342	4466.033	4136.858
40	3757.507	4482.577	4151.859
41	3853.283	4454.379	4228.209
42	3964.806	4494.083	4333.961
43	4033.595	4493.635	4388.371
44	4133.003	4522.484	4398.658
45	4222.948	4604.75	4410.105
46	4317.326	4748.096	4465.617
47	4306.502	4815.297	4475.917
48	4342.563	4862.984	4468.107
49	4415.399	4959.074	4512.201
50	4459.575	4993.995	4559.439
51	4506.94	4988.54	4642.591
52	4527.167	4908.778	4706.998
53	4621.72	4928.271	4746.094
54	4692.317	4911.389	4743.615
55	4725.775	4897.1	4785.22
56	4792.169	5008.799	4867.106
57	4807.21	5082.276	4881.333
58	4874.322	5234.973	4898.281
59	4868.566	5302.705	4861.59
60	4820.791	5332.372	4842.905
61	4818.017	5362.52	4882.428
62	4754.522	5277.562	4889.13
63	4757.309	5248.735	4949.862
64	4695.806	5189.842	5048.54
65	4696.596	5172.984	5123.035
66	4752.765	5183.708	5217.191
67	4749.823	5171.846	5176.939
68	4820.647	5260.093	5233.877
69	4789.421	5329.578	5203.625
70	4874.256	5515.833	5221.671
71	4823.201	5544.15	5204.95
72	4841.519	5567.759	5130.955
73	4893.564	5643.715	5201.28
74	4814.667	5516.735	5153.255
75	4852.131	5530.225	5228.152
76	4818.655	5483.357	5301.688
77	4828.282	5470.99	5394.207
78	4867.15	5507.33	5430.938
79	4896.294	5471.538	5380.345
80	4911.06	5541.794	5401.283
81	4840.247	5545.629	5318.984
82	4849.233	5640.753	5308.731
83	4853.106	5729.066	5342.09
84	4814.525	5700.945	5266.833
85	4891.051	5782.705	5324.246
86	4848.244	5748.47	5332.859
87	4859.679	5683.903	5287.623
88	4874.6	5645.554	5317.834
89	4833.049	5613.1	5333.695
90	4947.94	5680.704	5355.67
91	4945.078	5668.781	5293.542
92	4975.299	5688.786	5285.365
93	5004.634	5762.202	5292.652
94	4997.279	5767.812	5201.197
95	5050.058	5858.259	5219.43
96	5026.383	5856.743	5200.555
97	4971.201	5803.697	5146.294
98	4969.137	5742.473	5110.104
99	4943.953	5703.898	5117.447
100	4973.733	5753.949	5167.542
101	4918.706	5758.5	5209.37
102	4885.753	5719.965	5165.974
103	4977.413	5777.432	5203.649
104	4894.907	5765.739	5173.633
105	4835.328	5767.412	5117.108
106	4903.64	5849.764	5136.959
107	4890.075	5784.563	5004.667
108	4975.187	5880.42	5023.4
109	4860.833	5793.164	4954.765
110	4927.041	5781.354	4924.499
111	4963.326	5843.156	5026.59
112	4858.703	5750.179	4953.724
113	4921.259	5826.277	5033.611
114	4861.858	5792.746	5020.391
115	4940.526	5856.847	5077.292
116	4961.524	5887.131	5067.779
117	4948.311	5842.76	4970.428
118	4997.146	5913.25	4995.942
119	4993.196	5907.641	4954.461
120	5065.309	5929.262	4975.667
121	5131.13	5972.996	4986.425
122	5113.411	5940.582	4889.798
123	5128.146	5969.566	4922.844
124	5094.673	5943.528	4931.355
125	5095.062	5940.156	4912.774
126	5142.481	6047.219	5034.861
127	5081.258	5972.54	5019.63
128	5116.6	6024.84	5022.774
129	5101.963	6021.59	5010.401
130	5067.167	5986.589	4961.749
131	5153.128	6076.679	4998.702
132	5073.47	6029.691	4915.602
133	5098.808	6049.927	4891.157
134	5031.077	6110.504	4921.123
135	4995.053	6103.006	4891.468
136	4964.251	6136.947	4938.306
137	4861.26	6090.486	4930.355
138	4790.398	6120.764	4961.727
