TIME	20191201_W06	20191201_W07	20191201_W08	20191201_W09	20191201_W10
0	2289.535	2362.604	1779.195	2482.966	1802.438
1	2328.072	2408.11	1883.002	2574.004	1854.742
2	2389.217	2468.192	1972.295	2655.972	1879.194
3	2465.652	2519.762	2018.707	2689.8	1887.58
4	2476.094	2566.32	2091.161	2737.647	1916.878
5	2450.38	2591.053	2100.233	2698.053	1894.637
6	2449.662	2617.106	2078.97	2673.804	1901.482
7	2432.593	2619.194	2085.59	2671.376	1916.125
8	2442.094	2651.29	2063.023	2676.228	1949.195
9	2470.773	2680.29	2034.851	2656.419	1975.702
10	2487.557	2682.209	2015.23	2671.492	2001.774
11	2570.79	2759.23	2043.939	2714.333	2058.266
12	2636.754	2800.404	2072.115	2765.462	2109.798
13	2675.602	2811.72	2092.052	2848.129	2191.275
14	2748.857	2883.05	2153.552	2916.092	2229.896
15	2838.53	2913.523	2189.849	2994.978	2299.411
16	2927.406	3001.57	2250.726	3123.992	2370.573
17	2968.836	3047.291	2274.22	3214.598	2423.436
18	3022.852	3094.279	2283.645	3276.448	2477.743
19	3073.107	3158.739	2316.373	3356.291	2500.692
20	3164.485	3259.168	2322.342	3365.823	2523.271
21	3194.924	3303.73	2341.955	3437.578	2570.635
22	3271.526	3335.517	2362.724	3509.365	2609.331
23	3361.147	3391.066	2378.525	3551.252	2625.332
24	3457.149	3440.318	2408.329	3633.618	2675.844
25	3523.008	3506.75	2487.409	3749.33	2726.497
26	3568.387	3555.094	2511.335	3786.4	2753.732
27	3607.315	3545.637	2536.512	3886.896	2817.443
28	3644.08	3600.355	2571.749	3956.481	2857.953
29	3705.223	3684.266	2602.132	4045.492	2917.592
30	3719.295	3694.055	2586.161	4055.036	2953.348
31	3776.705	3768.656	2619.27	4111.647	2969.477
32	3847.174	3842.353	2604.61	4156.824	3001.333
33	3930.278	3888.617	2615.659	4138.773	3002.629
34	3961.052	3910.129	2628.508	4214.441	3054.125
35	4064.936	3963.351	2672.386	4278.38	3069.426
36	4217.068	4029.017	2719.622	4395.738	3115.359
37	4250.206	4026.338	2770.969	4480.573	3151.028
38	4381.633	4087.672	2831.495	4549.024	3172.394
39	4427.341	4113.551	2867.8	4644.992	3209.245
40	4446.365	4136.834	2915.257	4709.893	3244.415
41	4372.459	4119.66	2918.759	4760.348	3312.932
42	4411.638	4198.771	2961.138	4797.361	3354.496
43	4415.394	4236.848	2965.932	4816.848	3366.578
44	4473.755	4330.779	3012.308	4793.13	3349.16
45	4516.521	4319.879	3014.807	4805.196	3385.174
46	4557.465	4364.389	3035.379	4782.457	3368.885
47	4676.255	4434.878	3119.956	4881.718	3403.313
48	4742.566	4465.465	3175.687	4975.32	3429.979
49	4839.69	4470.847	3243.309	5063.231	3448.08
50	4808.048	4433.061	3298.037	5136.602	3460.261
51	4848.938	4445.266	3339.016	5158.618	3484.065
52	4797.975	4417.86	3374.814	5241.382	3540.633
53	4797.209	4441.582	3365.067	5186.107	3527.912
54	4765.268	4517.326	3418.287	5255.08	3576.362
55	4751.456	4506.218	3408.643	5224.855	3568.902
56	4829.541	4573.064	3446.689	5244.236	3582.981
57	4888.578	4636.336	3476.473	5249.082	3568.811
58	4913.751	4637.352	3481.569	5252.769	3547.541
59	5023.62	4705.62	3528.229	5326.64	3577.063
60	4996.602	4660.416	3553.381	5383.015	3624.216
61	5046.587	4707.001	3655.198	5510.598	3688.829
62	5065.722	4682.4	3706.776	5565.848	3723.079
63	5050.245	4663.787	3760.62	5605.589	3742.76
64	5079.639	4666.74	3813.894	5634.684	3788.017
65	4989.005	4647.72	3799.158	5560.854	3771.485
66	4981.71	4635.354	3794.847	5553.639	3805.269
67	4890.177	4619.295	3778.204	5496.629	3752.416
68	4980.312	4694.514	3792.667	5449.096	3719.736
69	4971.281	4702.908	3836.11	5497.482	3742.352
70	4969.183	4632.601	3824.287	5453.954	3686.256
71	5072.538	4696.857	3878.475	5565.961	3702.181
72	5026.963	4620.012	3842.946	5520.747	3645.26
73	5109.5	4659.595	3892.249	5579.421	3641.528
74	5075.519	4650.225	3936.974	5665.613	3681.221
75	5099.801	4619.962	3921.624	5775.191	3703.447
76	5108.08	4672.471	3968.737	5829.136	3715.471
77	5070.187	4611.66	3983.824	5793.746	3697.219
78	5028.248	4587.48	4063.395	5848.788	3760.295
79	4949.88	4574.957	4070.842	5845.892	3801.344
