TIME	20190130_W09	20190130_W11	20190130_W12	20190130_W13	20190131_W02	20190131_W03	20190131_W04	20190207_W01	20190208_W02	20190208_W03	20190208_W04	20190208_W05	20190214_W02	20190214_W03	20190214_W05	20190219_W01	20190219_W02	20190219_W03	20190219_W04	20180510_W04	20180510_W03	20180510_W02	20180510_W01	20180506_W02
0	1406.848511	1302.171021	1052.71228	1482.516113	1525.199463	1722.002075	1964.612305	2417.669434	1476.661011	1520.131958	1128.41394	1209.932129	1368.690796	1242.635742	837.089783	1296.586182	1186.97937	1155.697144	1361.630981	966.391	944.248	940.885	1089.222	1246.488
1	1435.6698	1343.833008	1063.340698	1533.389404	1474.851562	1674.405151	1867.719482	2376.652832	1404.999756	1450.308472	1087.226196	1154.74646	1390.059082	1206.203735	814.827698	1247.672241	1127.544189	1091.304688	1306.450195	924.876	884.373	907.023	1051.18	1201.025
2	1529.766235	1421.718018	1120.151489	1630.55188	1414.373901	1610.176636	1814.353271	2392.253418	1341.074707	1399.409668	1060.179321	1110.751709	1403.420898	1171.463867	800.166687	1207.284424	1088.638428	1012.149414	1256.99585	893.973	859.308	881.792	1015.138	1195.463
3	1576.200806	1432.67395	1137.151123	1654.119019	1365.338989	1561.757446	1750.568726	2412.508301	1293.160889	1352.690308	1022.030457	1070.502441	1384.114014	1123.307495	787.543518	1180.215576	1048.585815	959.296021	1220.838257	853.049	818.928	848.975	983.894	1153.025
4	1669.413086	1477.257202	1168.403442	1723.126221	1328.490723	1520.758545	1699.789062	2429.914307	1253.604858	1317.412109	992.660889	1020.732483	1366.770264	1089.357666	773.87085	1153.011719	1024.923218	939.402405	1191.851318	806.511	782.71	831.002	944.207	1124.281
5	1680.363403	1460.634033	1146.890747	1747.309814	1295.849731	1496.251709	1663.035034	2400.943115	1211.929565	1282.266113	970.817017	992.853149	1398.547974	1052.351196	755.940186	1130.07312	1000.478394	901.215088	1162.024414	778.112	769.435	816.351	914.28	1081.496
6	1756.472046	1449.060303	1135.561279	1747.312622	1285.629883	1465.652466	1634.668945	2395.225098	1175.406738	1253.257446	951.056213	976.929199	1374.981812	1029.704468	756.290649	1100.797607	977.581909	854.58844	1132.634155	743.007	750.922	800.786	888.943	1044.071
7	1779.799194	1475.819702	1185.229614	1854.329468	1268.574341	1445.626465	1588.091675	2387.435547	1146.040161	1243.365845	936.137634	956.895691	1337.495117	1010.359314	752.718262	1087.143311	969.846313	833.191162	1109.106812	726.426	738.497	780.454	857.525	1022.443
8	1763.424438	1444.262207	1144.093018	1838.050049	1236.05188	1406.336548	1551.881592	2364.200195	1113.661987	1216.628906	919.575134	944.763245	1319.572144	989.522827	744.755249	1069.473999	953.802917	805.060242	1098.335205	706.702	730.76	784.938	839.913	1002.883
9	1817.641235	1459.013428	1152.494263	1888.279175	1198.352661	1371.768555	1525.468872	2393.110107	1096.243774	1195.741333	900.698608	930.285339	1328.257324	974.632874	743.660217	1063.444214	950.241638	766.53009	1080.610229	694.695	716.749	780.63	822.005	986.972
10	1764.532837	1442.646851	1130.81958	1875.713379	1170.311401	1326.282715	1507.143799	2391.213135	1072.825562	1172.532837	893.868652	909.186096	1323.564087	960.926208	739.528442	1040.708252	947.340454	733.197083	1058.047974	682.716	701.692	768.977	802.88	965.273
11	1807.993286	1469.374878	1097.933105	1822.478638	1146.611084	1282.303345	1413.181274	2387.013672	1061.509033	1143.075195	893.565613	899.237854	1291.203003	949.720093	719.923584	1023.336853	951.983704	724.919434	1052.076172	669.51	691.865	761.81	786.841	953.446
12	1792.438843	1508.960083	1102.782104	1879.812012	1129.803467	1242.833496	1347.787842	2365.114258	1049.012451	1120.822754	891.962769	886.40033	1268.561279	942.628845	707.926636	1026.915039	946.838135	709.807861	1046.261597	666.477	694.335	750.994	776.188	941.555
13	1769.323853	1497.918701	1065.21875	1820.378662	1101.580566	1213.602661	1315.110718	2297.766846	1042.084229	1091.333984	885.312073	863.566223	1259.596436	940.820435	700.09375	1023.377869	945.830566	698.129822	1043.670044	658.323	687.863	734.339	764.832	932.442
14	1840.956177	1573.388794	1076.717163	1864.876953	1087.9646	1185.378052	1316.802856	2277.977051	1016.467224	1083.846558	873.667358	857.585938	1251.348999	937.342407	687.250854	1006.834412	931.422241	684.639526	1043.707031	643.124	677.272	724.142	755.214	915.616
15	1842.665649	1563.05835	1044.966797	1829.090698	1072.058716	1166.360107	1289.134888	2155.35083	980.573181	1074.039429	858.398682	835.045593	1234.444946	908.91333	676.171021	989.753357	918.228577	668.040894	1048.469604	622.284	662.881	702.983	743.822	884.039
16	1970.14917	1620.090576	1081.925415	1866.890381	1061.093628	1149.868286	1316.443604	2282.171143	978.635742	1084.863892	883.22406	818.157104	1274.038086	931.036926	656.37915	939.281555	863.331909	638.163391	1035.288574	620.605	667.209	696.096	737.995	893.425
17	1916.914185	1585.320557	1054.797485	1832.296265	1053.720581	1131.653564	1351.246948	2238.80835	967.18396	1080.963989	890.430359	815.849365	1274.123657	935.58075	669.10675	990.884827	899.937683	627.115112	1032.531372	610.047	665.916	688.922	741.393	889.941
18	1961.168091	1547.149902	1043.301025	1784.728394	1044.77063	1102.454224	1339.55957	2245.658447	932.468079	1086.137817	884.481506	808.023499	1252.837524	926.080383	660.124207	986.761414	884.298218	616.138062	1036.885132	616.226	656.314	673.52	733.676	888.821
19	1962.720337	1568.883545	1070.061401	1850.912109	1034.558228	1076.933838	1320.593506	2192.827393	907.666382	1063.736694	877.107117	792.72522	1212.143311	900.333252	648.698303	967.991455	876.203491	613.377197	1052.373901	609.528	652.162	670.215	740.386	883.253
20	1926.340698	1508.004272	1046.862183	1828.489746	1036.956787	1055.04834	1285.231445	2252.894775	871.940857	1057.004883	882.776428	794.051392	1185.624023	886.858704	641.543335	971.565247	877.660461	604.928589	1054.76709	617.96	656.649	669.968	737.4	886.762
21	1992.908447	1522.779907	1065.595947	1880.412842	1046.026733	1043.100464	1284.743896	2250.019043	844.29718	1051.355835	874.915466	791.32489	1158.997192	887.443115	629.707458	963.206909	882.248962	598.877136	1061.651855	616.677	647.486	663.466	743.081	890.404
22	1948.943237	1494.69812	1053.045044	1895.294067	1058.406128	1034.396973	1251.744751	2277.888184	852.700745	1048.653931	866.036072	787.547974	1147.349854	880.520203	630.491699	947.130493	874.581848	578.719482	1046.126953	617.915	650.056	660.677	753.982	886.097
23	1996.142578	1515.64978	1080.955078	1920.88855	1073.699219	1033.757568	1256.223877	2275.579346	855.32782	1029.487427	867.597168	789.503052	1130.860474	876.10376	632.146545	934.221863	876.539001	566.714844	1028.860474	613.897	656.687	656.095	754.054	892.713
24	1967.172119	1528.258667	1074.158936	1920.955322	1090.43042	1021.664734	1263.438721	2296.240234	845.807983	1009.587769	864.518555	796.945923	1132.62793	891.125	629.798096	932.278625	876.64447	552.772278	1027.065308	607.698	654.584	650.053	756.21	895.277
25	2015.954102	1570.879761	1055.749512	1868.605957	1090.119629	1023.865601	1274.906738	2280.565674	829.714478	1004.261719	867.300415	800.185303	1121.104126	895.728455	622.97052	922.149597	872.958618	551.314087	1025.805908	596.857	654.872	644.129	755.853	914.865
26	2024.254028	1622.816162	1081.730713	1925.708618	1087.843872	1011.660706	1284.043823	2262.639648	818.994629	1011.938538	861.670471	803.481201	1099.20105	904.714661	618.81958	932.55658	878.725586	560.365112	1022.395752	590.402	655.637	633.872	759.204	913.386
27	2000.59668	1615.547485	1058.647583	1873.702393	1085.941284	1026.969727	1288.784668	2266.636475	803.26709	1015.672058	870.886414	801.572021	1081.245361	915.931946	618.234802	942.071716	873.414978	565.756775	1029.804932	589.329	647.561	622.949	756.559	919.535
28	2071.986572	1687.721924	1091.932983	1886.863403	1076.760498	1042.891113	1297.094727	2188.594482	790.264709	1018.300171	882.255249	798.086304	1062.931274	913.598572	617.654785	943.557434	887.917664	569.623596	1034.984497	582.036	645.236	613.374	759.694	922.878
29	2073.384033	1663.28418	1069.745728	1818.792603	1069.500366	1070.015259	1330.839233	2137.371338	775.622742	1011.387451	893.096741	797.519409	1041.880615	916.510559	615.386475	947.782349	882.251587	577.420593	1044.908813	583.59	639.941	601.718	759.428	940.943
30	2149.65332	1707.099487	1091.945312	1848.495117	1060.06543	1087.956055	1363.108765	2055.084717	775.760864	1008.003174	925.959778	787.925842	1030.479248	909.18335	616.255737	948.161865	885.17688	573.528198	1054.550171	589.738	630	595.419	760.121	935.264
