TIME	20190130_W01	20190139_W02	20180130_W03	20190130_W04	20190130_W05	20190130_W06	20190131_W05	20190131_W06	20190131_W07	20190131_W08	20190207_W06	20190207_W07	20190207_W08	20190208_W06	20190208_W07	20190208_W08	20190208_W09	20190208_W10	20190214_W06	20190214_W09	20190214_W10	20190219_W05	20190219_W06	20190219_W07	20190219_W08	20190219_W09	20180510_W16	20180510_W15	20180510_W14	20180510_W13	20180506_W05	20180506_W06
0	1184.904785	1067.776978	1126.103638	1284.299561	1065.396118	1026.932861	1725.745117	850.33313	1691.608398	1899.728516	1441.350342	1932.804199	3163.498047	1387.786621	1658.037354	1455.444336	1704.422119	1835.590576	1419.713135	1387.418579	1244.622437	1312.027588	953.741577	883.518555	1324.41626	1123.728271	776.178	702.958	778.385	809.846	1411.508	1506.94
1	1240.339111	1125.991455	1151.121704	1368.732544	1084.495361	1049.460083	1679.11084	842.294128	1639.739624	1822.969971	1439.608521	1949.143677	3104.895752	1311.734497	1602.130859	1392.322876	1638.0625	1753.361572	1392.665771	1355.110596	1240.536621	1266.080078	898.260803	838.98999	1271.125122	1095.334595	755.785	679.15	754.481	771.189	1383.13	1456.708
2	1254.535645	1131.596802	1142.00354	1383.17395	1081.994629	1054.009399	1639.322021	843.727722	1613.170532	1761.150757	1447.604126	1942.032959	3024.631348	1242.846191	1527.101807	1296.419678	1565.532593	1659.544312	1350.927734	1316.346313	1233.770142	1225.986938	836.743164	807.56366	1223.31897	1064.744751	732.345	661.794	726.094	742.568	1344.014	1409.285
3	1309.546509	1167.411865	1146.022827	1397.025635	1069.286011	1045.899658	1608.167725	856.89093	1588.61084	1703.804321	1556.168823	1986.51355	2977.516357	1189.58374	1479.168579	1251.799316	1513.133423	1591.272095	1323.758423	1285.223755	1232.035278	1195.686768	790.85437	778.47113	1181.980713	1045.64917	701.142	633.717	698.502	713.453	1296.918	1349.634
4	1335.843262	1181.619995	1142.989746	1456.612305	1089.035889	1052.918213	1592.489868	870.255127	1590.724731	1675.421021	1625.106201	1976.83728	2881.236328	1156.657227	1447.490845	1217.20874	1461.670898	1539.974976	1288.206421	1259.758789	1226.88916	1171.459473	775.950623	753.116882	1161.757446	1033.734009	682.161	620.476	688.927	695.924	1269.308	1304.001
5	1365.662354	1178.704956	1120.213745	1457.053223	1067.956055	1049.809937	1563.796143	897.729492	1585.235107	1648.862183	1699.631226	1989.6875	2847.38501	1121.096558	1406.792603	1197.276367	1402.646484	1496.084106	1259.093994	1245.543213	1241.157349	1146.034912	742.128845	741.506531	1130.872437	1007.981995	661.935	599.969	675.379	678.931	1235.239	1277.362
6	1459.599731	1219.467773	1138.989136	1499.059692	1079.081299	1051.461426	1558.332153	931.928711	1569.311157	1627.668823	1784.626953	1986.151489	2781.302979	1081.845947	1367.949951	1184.364624	1367.682861	1457.582031	1251.967285	1233.242432	1249.197876	1121.350586	683.125061	720.251587	1099.682739	978.075439	641.935	579.689	665.914	663.284	1209.885	1238.375
7	1492.331543	1184.946167	1096.49292	1473.679932	1045.005859	1018.239075	1533.599854	965.562744	1527.100952	1594.030762	1845.763672	1990.728638	2708.722168	1063.678711	1351.770508	1168.436523	1316.821777	1414.439697	1245.219849	1203.559814	1267.579956	1102.465942	646.18866	704.389832	1083.492554	942.035156	629.63	566.995	655.009	654.513	1168.193	1193.597
8	1567.517334	1179.139282	1093.998291	1501.692749	1040.456665	1002.948059	1519.070923	994.197205	1495.670776	1561.759644	1859.147095	1998.091797	2737.217041	1040.619263	1328.782471	1148.967041	1285.439331	1378.785767	1250.571289	1190.992065	1280.415527	1083.345337	625.060303	698.534912	1065.582764	914.35907	616.967	550.205	647.389	649.686	1140.793	1150.371
9	1588.130249	1159.333618	1060.500488	1527.984375	1052.986206	1024.049316	1476.663452	1009.961609	1458.276733	1528.621338	1862.3573	1986.27002	2695.664795	1023.4328	1333.785156	1126.512451	1251.094482	1339.213989	1240.455444	1164.632935	1301.036621	1064.844482	595.153137	689.967651	1038.987183	878.544739	609.621	542.439	647.642	644.206	1141.845	1129.846
