TIME	20170626_W01	20170626_W02	20170626_W03	20170626_W04	20170626_W05	20170630_W03	20170630_W04	20170630_W05	20170630_W06
0	1309.764	1161.633	1280.409	1082.595	1128.37	1364.259	1152.745	1502.879	1788.27
1	1338.058	1171.693	1302.058	1091.596	1128.988	1372.686	1157.099	1541.693	1892.911
2	1349.461	1177.867	1318.766	1094.03	1129.813	1396.466	1174.869	1580.688	1989.392
3	1370.466	1186.739	1352.765	1098.595	1131.153	1405.978	1182.545	1587.804	2047.499
4	1381.497	1207.19	1393.912	1098.843	1130.41	1434.57	1195.705	1585.252	2085.195
5	1405.745	1215.033	1438.785	1104.103	1134.16	1481.183	1213.979	1584.697	2125.122
6	1436.115	1221.852	1476.364	1101.28	1138.781	1544.412	1256.734	1601.326	2157.885
7	1483.714	1227.742	1514.819	1103.14	1141.779	1616.591	1310.709	1617.328	2193.657
8	1541.746	1223.646	1553.742	1108.217	1157.869	1677.406	1350.93	1627.883	2189.508
9	1624.448	1238.617	1596.36	1111.861	1186.682	1738.292	1399.074	1655.705	2166.433
10	1715.024	1241.159	1622.931	1116.448	1212.301	1768.245	1432.581	1698.79	2162.423
11	1816.214	1252.707	1637.436	1125.453	1237.686	1807.392	1458.681	1778.247	2165.329
12	1896.509	1256.299	1636.217	1132.388	1259.037	1823.611	1509.608	1817.851	2184.962
13	1956.174	1267.493	1645.07	1158.529	1292.891	1812.155	1513.945	1859.823	2200.771
14	1992.56	1269.798	1661.109	1182.154	1315.677	1802.412	1501.232	1904.208	2239.647
15	2023.365	1277.337	1670.54	1201.851	1324.822	1800.044	1520.443	1939.767	2303.564
16	2023.864	1290.502	1704.927	1234.701	1339.292	1814.628	1522.871	1984.453	2395.638
17	2028.465	1303.78	1745.062	1265.37	1341.14	1848.865	1533.144	2016.673	2490.386
18	2024.234	1310.693	1811.785	1290.681	1347.432	1907.36	1549.875	2039.095	2569.834
19	2007.976	1307.57	1889.449	1301.857	1339.751	1975.031	1571.015	2064.671	2611.827
20	2004.77	1297.605	1952.576	1315.249	1337.634	2081.486	1605.633	2075.192	2633.854
21	2027.01	1303.418	2009.552	1319.486	1339.276	2218.009	1664.399	2095.453	2622.516
22	2076.53	1293.44	2049.577	1323.006	1353.783	2352.391	1736.612	2107.095	2595.79
23	2154.421	1292.011	2076.21	1330.547	1371.995	2490.417	1812.499	2135.315	2580.213
24	2255.385	1294.083	2077.026	1338.232	1407.264	2618.817	1900.055	2195.524	2573.394
25	2362.427	1299.973	2080.422	1347.656	1451.627	2698.24	1977.15	2284.972	2576.396
