TIME	20171103_W01	20171103_W02	20171103_W03	20171103_W04	20171103_W05	20171103_W06
0	1598.012	3706.165	2662.548	1683.75	2298.936	2479.227
1	1616.31	3869	2656.596	1762.385	2373.729	2560.732
2	1630.227	4259.026	2696.914	1817.118	2444.477	2610.148
3	1686.761	4801.251	2735.224	1871.098	2484.431	2636.409
4	1692.086	5361.466	2718.097	1918.767	2479.376	2649.105
5	1724.163	6127.698	2746.772	2044.602	2526.499	2676.42
6	1789.118	6776.67	2743.701	2211.46	2608.574	2715.915
7	1937.693	7477.208	2808.575	2416.858	2744.589	2721.94
8	2059.848	7918.604	2903.64	2618.762	2941	2798.941
9	2194.736	7935.057	2988.661	2800.424	3135.31	3030.746
10	2297.091	7990.622	3213.144	2914.501	3292.117	3299.355
11	2425.713	7930.484	3481.71	2985.565	3370.734	3665.633
12	2496.018	7977.019	3861.087	3101.741	3496.193	4112.283
13	2565.532	7843.367	4222.263	3157.063	3535.288	4505.663
14	2601.781	7686.623	4399.181	3127.345	3498.337	4803.251
15	2651.236	7854.002	4593.962	3135.486	3405.893	5029.093
16	2666.815	8306.609	4746.015	3128.424	3315.182	5142.961
17	2659.893	9016.05	4867.968	3209.937	3251.685	5170.965
18	2678.363	9801.36	4923.458	3331.837	3238.004	5276.172
19	2780.613	10358.211	4917.985	3536.837	3284.115	5270.613
20	3001.964	10977.051	4876.901	3822.24	3420.315	5314.854
21	3259.63	11388.559	4867.506	4112.46	3608.617	5380.362
22	3595.583	11710.221	4960.022	4391.767	3818.547	5384.51
23	3859.371	11678.437	5035.135	4633.796	4050.141	5640.343
24	4050.508	11414.473	5194.85	4842.672	4246.643	5911.713
25	4285.961	11099.991	5397.85	4909.135	4385.646	6416.992
26	4423.236	10829.463	5684.639	5036.181	4472.581	6951.516
27	4522.333	10925.025	5950.852	5112.141	4515.654	7396.958
28	4571.451	11092.688	6198.125	5170.332	4578.072	7858.62
29	4524.132	11413.607	6312.097	5224.542	4547.407	8145.474
30	4569.832	12072.493	6313.659	5326.321	4526.348	8539.566
31	4649.525	12888.218	6393.95	5521.886	4457.236	8737.772
32	4904.253	13901.776	6460.172	5898.366	4368.158	8597.492
33	5166.924	14653.86	6455.275	6395.312	4480.441	8625.075
34	5440.432	14942.491	6381.864	6845.995	4609.061	8590.853
35	5820.329	15042.344	6238.019	7099.611	4871.26	8641.85
36	6118.119	14831.606	6264.026	7364.723	5106.917	8744.091
37	6512.838	14862.595	6504.052	7661.024	5321.955	8923.78
38	6680.644	14490.283	6820.263	7807.708	5545.047	9482.074
39	6716.893	13936.207	7196.877	7868.031	5604.381	10295.449
40	6750.59	13593.761	7647.602	7947.122	5700.775	11121.647
41	6724.651	13541.788	8012.715	7939.565	5708.243	11938.286
42	6644.078	13650.562	8266.468	7917.134	5656.067	12501.922
43	6690.14	14339.495	8453.491	7905.855	5556.37	12958.315
44	6755.812	15142.54	8601.277	8055.81	5470.832	13065.424
45	6880.793	16019.5	8735.208	8504.729	5388.782	12905.872
46	7168.061	16752.857	8678.478	8925.054	5364.768	12807.338
47	7440.258	17148.533	8456.055	9432.462	5432.209	12440.915
48	8017.216	17429.9	8163.214	9863.467	5653.951	12172.052
49	8364.723	17304.764	7967.838	10320.943	5937.854	11959.785
50	8830.872	17275.279	7904.871	10724.079	6213.078	11611.358
51	9049.689	16946.307	7998.922	10854.146	6560.169	11709.669
52	9040.365	16301.841	8157.573	10898.438	6859.8	12150.413
53	9156.983	15953.509	8470.175	10825.766	6990.963	12784.74
54	9054.641	15776.486	8934.979	10789.822	7114.704	13542.317
55	9158.901	16227.247	9525.126	10818.557	7066.356	14054.341
56	9183.946	16575.797	9888.341	10913.13	7130.343	14673.992
57	9196.325	17159.582	10166.175	11164.961	7150.193	15008.281
58	9262.438	17691.838	10246.076	11453.442	7166.758	15212.802
59	9521.363	18239.125	10154.25	11844.668	7269.79	15187.27
60	9892.038	18739.619	10019.319	12143.488	7337.94	14760.986
61	10262.53	19297.822	9681.248	12373.314	7337.41	14318.8
62	10629.673	19555.373	9352.703	12752.192	7538.402	13949.504
63	11081.623	19851.467	9106.544	13034.793	7722.896	13524.097
64	11437.12	19703.506	8815.109	13217.688	7972.624	13330.298
65	11489.014	19325.99	8706.381	13416.167	8120.443	13445.6
66	11817.48	19425.055	8918.955	13676.847	8215.375	13596.968
67	12020.661	19489.545	9284.253	13857.83	8233.549	14147.165
68	12085.1	19519.527	9679.941	14043.847	8151.237	14799.188
69	12056.62	19768.971	10250.549	14278.681	8092.784	15373.015
70	12273.238	20506.48	10870.2	14491.76	8005.595	16058.31
71	12456.41	20959.002	11068.728	14503.538	7807.89	16400
72	12466.269	21592.197	11346.595	14864.784	7788.064	16820.484
73	12769.487	22200.406	11459.651	15134.418	7841.067	17071.682
74	13192.775	22805.32	11325.123	15378.258	7816.644	16908.244
75	13542.093	23062.17	11237.378	15623.521	7864.217	16577.723
76	13571.284	22985.316	11002.98	15730.814	7951.448	16404.002
77	14035.554	23099.373	10778.585	15746.75	8034.99	16129.81
78	14283.522	23007.424	10593.886	15664.402	8065.667	15883.891
79	14362.046	22759.74	10491.243	15748.851	8155.168	16165.835
80	14444.491	22474.473	10498.303	15744.132	8081.472	16099.201
81	14775.162	22553.484	10643.773	15598.156	7886.27	16393.623
82	14767.578	22565.055	10973.76	15724.627	7870.689	16996.693
83	15077.636	22786.766	11352.391	15789.141	7778.231	17386.801
84	15272.098	23069.992	11821.467	15891.95	7555.169	17411.875
85	15211.307	23247.508	12145.954	16016.626	7601.135	17783.178
86	15409.898	23438.172	12429.42	16159.008	7583.782	17699.342
87	15783.521	23887.824	12644.817	16029.282	7516.456	17500.178
88	15661.527	23679.293	12511.29	15979.695	7616.419	17562.566
89	15781.407	23609.518	12419.62	15881.41	7658.004	17114.873
90	16056.014	23677.248	12304.577	15549.814	7567.221	16759.99
91	15819.073	23140.141	12117.323	15380.827	7648.989	16518.777
