TIME	20171103_W07	20171103_W08	20171103_W09	20171103_W10	20171103_W11	20171103_W12
0	1985.786	2419.669	1736.086	2942.804	4488.078	1876.577
1	2102.692	2589.778	1775.017	3180.163	4755.04	1907.867
2	2213.765	2812.266	1765.727	3295.868	4888.328	1901.58
3	2283.462	3002.548	1772.763	3488.713	5166.774	1926.302
4	2403.521	3270.463	1778.434	3726.573	5456.288	1993.894
5	2581.289	3465.469	1806.834	3890.172	5684.886	2068.081
6	2787.058	3614.916	1875.176	4185.521	6058.815	2189.262
7	3021.59	3702.052	1929.094	4516.484	6465.989	2360.156
8	3274.251	3707.233	2011.401	4991.35	7060.34	2523.83
9	3535.334	3689.43	2054.146	5372.996	7441.736	2634.907
10	3780.971	3714.818	2073.339	5837.354	7913.667	2685.231
11	3928.135	3676.173	2058.218	6275.027	8216.659	2749.212
12	4066.457	3582.894	1981.504	6592.401	8394.944	2769.055
13	4185.342	3640.271	1933.095	6918.089	8462.056	2712.236
14	4255.086	3710.348	1894.407	7124.921	8375.393	2691.366
15	4299.134	3859.971	1870.188	7344.121	8251.516	2618.493
16	4362.935	4075.109	1815.553	7504.457	8194.96	2604.86
17	4390.205	4295.661	1810.481	7593.954	8159.415	2601.501
18	4500.145	4490.854	1864.338	7787.968	8524.844	2736.469
19	4709.318	4695.18	1943.264	7908.791	8898.929	2866.942
20	5105.376	4835.13	2057.193	8345.782	9325.307	2997.545
21	5470.667	4942.16	2127.828	8743.076	9950.205	3182.141
22	5781.146	4923.368	2190.773	9341.375	10678.44	3338.42
23	6175.094	4902.823	2199.747	9921.783	11300.066	3506.391
24	6519.322	4890.674	2216.823	10362.75	11707.249	3605.96
25	6969.583	5034.58	2263.295	10843.122	11800.068	3528.122
26	7081.587	5049.748	2240.15	11304.047	11928.939	3497.433
27	7116.731	5031.859	2176.304	11541.919	11879.007	3487.126
28	7176.114	5202.221	2139.573	11714.855	11728.22	3457.375
29	7113.161	5277.015	2112.353	11783.799	11507.425	3473.991
30	7217.185	5607.349	2186.337	11741.357	11228.219	3526.277
31	7317.868	5896.95	2293.734	11845.023	11479.922	3673.804
32	7376.359	6035.707	2411.76	11896.095	11904.758	3922.988
33	7837.1	6193.985	2542.872	12085.903	12684.366	4299.146
34	8406.755	6269.917	2655.187	12286.692	13263.878	4549.037
35	9240.349	6422.063	2767.807	12706.301	13833.44	4711.181
36	9820.843	6417.341	2846.55	13376.523	14503.447	4791.247
37	10269.053	6354.242	2853.414	13865.021	14849.645	4812.979
38	10650.693	6296.909	2832.342	14405.13	15284.288	4841.016
39	10979.217	6366.542	2840.783	14840.006	15288.804	4781.702
40	11063.685	6257.809	2786.822	15037.021	15127.535	4731.702
41	11077.444	6297.632	2773.392	15083.845	14804.378	4641.357
42	10870.012	6384.141	2806.163	15083.655	14412.383	4652.152
43	10856.642	6775.163	2940.401	15297.907	14360.381	4660.672
44	10729.142	7079.417	3109.351	15399.614	14436.847	4915.898
45	10640.089	7315.145	3266.653	15370.232	14813.762	5227.461
46	11171.725	7635.178	3437.554	15533.71	15424.855	5621.844
47	11589.119	7826.037	3583.37	15637.665	15919.525	5900.366
48	12457.532	8238.28	3737.423	16286.062	16503.391	6100.389
49	13168.032	8374.611	3766.338	16775.873	17053.906	6253.569
50	13578.062	8373.339	3748.066	17483.621	17523.705	6326.673
51	14013.024	8399.041	3706.79	18011.754	17710.949	6354.756
52	14196.459	8405.245	3647.047	18330.029	17530.482	6271.428
53	14335.098	8477.303	3654.702	18662.539	17156.83	6139.347
54	14379.645	8673.822	3693.744	19072.643	17022.039	6056.709
55	14030.283	8831.54	3772.062	19342.377	16762.016	6118.469
56	13862.562	8981.071	3942.868	19459.295	16670.668	6210.283
57	13625.887	9282.295	4154.243	19535.584	16598.426	6429.081
58	13643.341	9420.705	4299.681	19339.688	16626.084	6730.002
59	13999.412	9731.832	4553.195	19219.336	16845.572	6992.254
60	14311.682	9782.711	4647.524	19189.553	17368.453	7342.673
61	15040.182	9923.602	4784.708	19436.547	17866.02	7468.836
62	15681.71	10074.101	4841.002	19531.725	18390.703	7623.545
63	16091.686	10098.841	4760.983	19691.643	18943.539	7766.657
64	16298.848	10134.447	4689.159	19834.875	19081.924	7635.02
65	16486.764	10209.306	4668.435	20223.664	19317.48	7615.747
66	16298.761	10232.789	4639.139	20329.492	19082.104	7532.362
67	16015.696	10190.304	4608.041	20490.557	18912.273	7504.292
68	16009.422	10311.12	4809.688	20831.137	18756.691	7638.22
69	15586.254	10351.506	4909.137	20776.559	18321.379	7820.986
70	15321.838	10419.761	5067.087	20695.289	18094.369	8122.321
71	15179.971	10534.521	5357.714	20872.41	18171.484	8528.536
72	15110.523	10498.075	5515.058	20780.885	18311.725	8792.118
73	15587.981	10683.948	5700.466	20735.402	18415.914	9012.843
74	15584.567	10501.757	5709.368	20708.852	19055.324	9342.482
75	15812.83	10420.151	5722.556	20626.082	19493.91	9480.761
76	16094.533	10396.841	5757.922	20935.291	20196.979	9432.45
77	16230.636	10295.978	5593.535	20727.404	20528.246	9406.465
78	16067.844	10127.329	5500.251	20642.254	20636.033	9342.74
79	15918.817	9978.658	5452.851	20690.193	20747.953	9111.677
80	15317.285	9757.134	5410.614	20506.135	20679.701	9103.507
81	15058.579	9685.931	5470.162	20162.936	20329.973	9179.114
82	14772.521	9723.035	5727.793	20297.797	20123.643	9228.545
83	14224.747	9549.604	5819.677	19870.217	19769.746	9520.252
84	13816.193	9437.012	5988.648	19636.713	19615.105	9795.904
85	13710.36	9452.849	6282.858	19699.736	19214.979	9849.203
86	13302.538	9225.154	6315.239	19404.074	19160.736	10113.369
87	13181.11	9153.045	6405.413	19403.018	19341.662	10381.585
88	13305.833	9126.59	6558.423	19614.197	19615.768	10374.317
89	12960.291	8897.047	6418.875	19413.701	19688.65	10488.971
90	12762.461	8776.631	6407.064	19256.506	19998.668	10558.115
91	12483.953	8678.813	6433.507	19416.592	20114.551	10538.635
92	12317.688	8634.446	6365.404	18935.996	19496.26	10375.05
93	12002.271	8533.84	6383.935	18638.508	19197.812	10328.462
94	11385.948	8288.594	6394.574	18278.838	18909.322	10467.409
95	11043.764	8111.616	6472.978	17931.432	18705.709	10556.622
96	10774.631	7982.258	6541.665	17304.422	17946.232	10585.884
97	10415.631	7844.043	6706.51	16971.977	17840.117	10812.741
98	10183.116	7785.271	6894.577	16714.254	17180.75	10749.696
99	10119.746	7630.599	6947.336	16510.648	16931.389	10770.609
100	9981.258	7584.431	7122.425	16655.098	16899.188	10837.901
101	9785.26	7388.918	7082.82	16451.539	16782.221	10934.916
102	9737.578	7402.922	7252.246	16804.332	16951.424	10944.916
103	9842.297	7346.543	7239.231	16576.08	16566.826	10803.344
104	9700.371	7340.845	7326.3	16483.742	16386.066	10737.279
105	9436.973	7353.997	7529.801	16599.264	16502.742	11073.68
106	9268.138	7249.934	7556.85	16137.386	16058.404	11164.816
107	9185.434	7303.08	7774.026	15803.763	15564.689	11118.904
108	8919.831	7307.1	7913.659	15526.576	15286.891	11356.09
109	8539.361	7142.956	8006.491	15268.753	15049.104	11433.642
110	8481.799	7196.967	8149.021	15005.622	14723.288	11512.059
111	8203.263	6988.378	8037.969	14467.153	14135.969	11434.492
112	8175.011	6971.891	8175.608	14237.783	13823.69	11451.853
113	8151.862	6911.345	8308.924	14298.051	13698.632	11412.152
114	8123.054	6811.505	8303.039	14256.052	13538.472	11370.643
115	8030.05	6738.198	8430.795	14265.052	13431.039	11377.9
116	7984.708	6679.208	8517.383	14496.936	13608.014	11497.826
117	7954.21	6670.098	8615.104	14436.438	13400.812	11405.064
118	7964.332	6681.511	8748.569	14393.09	13390.817	11534.466
119	7926.393	6820.838	9004.439	14287.052	13302.264	11794.729
120	7861.692	6797.823	9099.495	13886.368	12856.439	11839.396
121	7835.472	6803.807	9204.432	13660.576	12828.449	12254.666
122	7649.789	6809.144	9416.517	13500.164	12731.828	12400.628
123	7675.143	6905.068	9551.717	13230.515	12389.873	12386.803
124	7582.676	6844.421	9588.51	13021.212	12077.982	12322.488
125	7504.734	6814.892	9551.921	12857.89	11977.918	12237.102
