TIME	20170615_W02	20170615_W03	20170615_W04	20170615_W06
0	1297.498	1357.15	1417.797	1339.409
1	1283.64	1352.738	1419.307	1350.814
2	1283.62	1352.992	1420.679	1353.639
3	1291.284	1354.039	1431.2	1376.392
4	1276.303	1366.698	1431.805	1386.187
5	1274.062	1390.077	1450.195	1389.558
6	1269.88	1412.396	1468.738	1398.371
7	1268.592	1443.14	1493.555	1401.818
8	1255.716	1454.072	1530.95	1404.904
9	1252.604	1489.008	1595.255	1426.417
10	1239.402	1501.058	1653.482	1460.731
11	1237.785	1514.005	1716.478	1503.851
12	1226.631	1521.011	1770.671	1549.685
13	1228.039	1516.636	1831.016	1602.485
14	1214.038	1500.648	1868.481	1647.209
15	1207.311	1504.137	1904.797	1688.77
16	1214.15	1489.639	1952.276	1719.301
17	1219.736	1494.784	1988.239	1770.164
18	1217.937	1511.316	2004.047	1791.589
19	1215.003	1523.081	2033.277	1808.842
20	1217.679	1552.901	2051.275	1834.989
21	1220.534	1583.487	2101.313	1846.198
22	1216.299	1617.32	2166.303	1852.251
23	1216.577	1648.8	2252.4	1880.22
24	1223.186	1681.281	2350.844	1924.257
25	1216.932	1692.344	2423.986	1982.519
26	1222.336	1693.844	2473.22	2059.992
27	1222.185	1691.835	2503.741	2161.489
28	1223.158	1683.349	2483.704	2232.119
29	1223.177	1696.217	2468.016	2309.699
30	1223.072	1713.375	2448.74	2350.229
31	1233.126	1738.344	2409.38	2372.62
32	1221.413	1758.625	2373.84	2376.869
33	1219.605	1808.323	2369.28	2358.323
34	1221.131	1854.805	2378.682	2332.907
35	1228.566	1933.584	2440.735	2322.876
36	1232.059	1984.618	2516.942	2301.83
37	1247.637	2053.961	2636.515	2301.085
38	1251.132	2098.238	2745.551	2340.829
39	1255.088	2117.376	2848.894	2406.378
40	1287.413	2135.552	2937.119	2510.699
41	1309.537	2137.6	2975.516	2622.635
42	1331.577	2160.362	2994.457	2713.698
43	1346.695	2162.176	2953.286	2803.8
44	1378.089	2148.939	2910.171	2847.538
45	1426.756	2153.523	2842.057	2877.809
46	1470.702	2193.193	2794.832	2872.384
47	1514.861	2230.658	2761.571	2852.723
48	1571.099	2285.451	2763.853	2834.658
49	1644.343	2335.538	2782.141	2811.286
