TIME	20170615_W07	20170615_W08	20170615_W09	20170615_W10	20170615_W11	20170615_W12	20170616_W02	20170616_W03	20170616_W04	20170616_W05	20170616_W06	20170626_W07	20170626_W08	20170626_W09	20170626_W10	20170626_W11	20170626_W12	20170630_W07	20170630_W09	20170630_W10
0	1514.626	1370.677	1535.626	1235.991	1487.938	1278.608	1269.822	1130.549	1746.414	1253.828	1382.331	1145.205	1131.927	1160.583	1289.802	1142.931	1139.806	1452.586	1281.392	1263.947
1	1519.988	1349.724	1531.836	1246.219	1499.79	1285.681	1268.797	1139.32	1787.422	1269.011	1393.705	1159.22	1133.419	1165.587	1320.453	1153.226	1130.606	1532.268	1321.094	1279.55
2	1548.777	1343.1	1533.667	1248.898	1529.298	1309.794	1281.144	1140.614	1795.81	1274.451	1395.426	1176.906	1131.526	1170.071	1357.812	1160.924	1130.48	1609.71	1338.857	1295.743
3	1587.275	1351.944	1548.573	1277.978	1559.174	1337.181	1287.69	1135.768	1787.699	1280.742	1393.689	1221.412	1145.248	1179.202	1414.503	1177.76	1130.543	1683.792	1334.616	1314.989
4	1602.496	1356.733	1564.975	1287.414	1580.314	1358.577	1301.231	1128.598	1779.956	1277.683	1397.945	1247.653	1147.255	1189.078	1464.421	1191.007	1132.646	1754.717	1338.863	1351.484
5	1640.313	1358.269	1609.135	1302.503	1599.831	1378.92	1336.175	1116.05	1786.686	1267.576	1398.468	1297.365	1167.126	1209.566	1519.615	1207.26	1133.842	1839.548	1353.083	1400.96
6	1655.723	1356.484	1647.88	1327.186	1622.309	1405.293	1385.426	1121.189	1801.887	1273.479	1399.737	1325.153	1179.111	1226.052	1566.199	1221.248	1142.572	1913.604	1354.889	1462.157
7	1661.32	1355.538	1698.846	1339.112	1646.686	1425.871	1408.353	1118.641	1820.693	1259.899	1391.75	1357.355	1200.777	1240.094	1611.969	1231.728	1153.26	1976.426	1364.839	1516.804
8	1674.713	1352.858	1772.642	1355.806	1675.216	1448.124	1446.492	1125.689	1881.533	1257.996	1393.098	1364.86	1219.227	1257.12	1647.504	1240.882	1157.881	2011.654	1362.105	1550.721
9	1712.012	1360.73	1841.484	1381.229	1694.256	1469.369	1473.416	1129.593	1939.659	1251.569	1391.657	1383.833	1249.443	1269.964	1673.699	1254.295	1169.907	2024.157	1354.512	1574.335
10	1747.547	1367.931	1910.854	1394.571	1728.194	1507.068	1481.97	1132.295	2021.094	1253.643	1395.695	1389.88	1275.168	1293.919	1702.401	1259.841	1191.245	2025.351	1361.96	1589.65
11	1779.529	1380.47	1969.482	1414.312	1761.392	1515.58	1502.83	1151.016	2107.249	1277.672	1404.463	1403.235	1287.185	1305.239	1724.524	1273.915	1201.096	2012.66	1369.378	1611.85
12	1811.803	1401.846	2002.7	1434.5	1795.954	1551.487	1495.502	1143.905	2157.498	1277.15	1413.525	1396.981	1296.476	1317.887	1730.992	1279.153	1211.816	1986.757	1396.149	1609.96
13	1823.122	1419.391	2004.715	1444.459	1817.111	1578.68	1485.338	1137.839	2180.107	1285.926	1419.823	1407.693	1306.252	1326.554	1756.049	1290.593	1228.5	1981.976	1407.595	1586.73
14	1833.906	1448.08	1999.746	1452.673	1815.492	1610.077	1465.965	1131.85	2173.423	1294.694	1425.402	1409.583	1305.458	1332.913	1788.193	1283.462	1230.491	2002.941	1421.547	1595.733
15	1851.719	1483.247	1991.527	1469.69	1838.181	1647.7	1453.267	1122.061	2172.145	1302.38	1448.075	1430.717	1305.081	1337.723	1848.396	1303.293	1244.305	2047.531	1448.237	1600.506
16	1868.296	1526.77	1981.243	1485.607	1842.748	1695.25	1453.143	1115.429	2136.251	1299.77	1435.988	1455.734	1306.829	1340.141	1918.999	1307.592	1262.952	2123.312	1469.964	1620.667
17	1890.656	1577.914	1972.431	1514.465	1859.054	1741.827	1457.634	1115.253	2105.965	1291.289	1446.083	1473.929	1305.167	1353.361	2006.522	1321.256	1265.588	2210.016	1483.849	1660.743
18	1900.641	1615.941	1961.969	1545.662	1867.552	1789.354	1487.237	1107.499	2070.605	1284.603	1428.484	1527.775	1314.247	1366.4	2092.513	1339.001	1273.32	2308.005	1494.243	1698.404
19	1912.044	1651.306	1974.136	1578.003	1862.466	1836.866	1521.563	1112.593	2050.679	1273.785	1426.195	1551.048	1318.46	1380.64	2171.438	1352.62	1277.194	2376.808	1491.565	1768.574
20	1930.092	1676.9	1995.097	1622.44	1883.615	1885.554	1542.761	1110.521	2039.627	1254.599	1408.917	1565.875	1334.648	1402.947	2233.587	1367.096	1278.998	2456.397	1495.9	1845.759
21	1938.677	1706.691	2041.811	1673.25	1887.3	1935.489	1575.678	1110.421	2077.627	1237.384	1393.411	1575.904	1357.161	1425.874	2286.931	1383.219	1289.314	2488.639	1503.492	1944.348
22	1966.145	1719.705	2090.714	1722.469	1885.603	1991.898	1604.101	1118.778	2142.446	1222.866	1382.557	1579.425	1390.847	1442.735	2316.405	1404.851	1291.062	2505.88	1501.621	2018.407
23	1987.62	1731.292	2170.766	1777.284	1918.944	2053.892	1618.175	1129.4	2243.24	1216.12	1371.63	1585.477	1421.993	1461.261	2324.933	1426.043	1309.823	2501.112	1521.585	2094.483
24	2029.164	1757.873	2228.507	1828.339	1942.927	2098.339	1624.394	1139.45	2358.186	1228.063	1383.213	1559.581	1449.014	1476.518	2319.136	1442.768	1323.389	2480.379	1537.933	2141.741
25	2068.216	1767.018	2267.534	1872.244	1959.231	2143.939	1605.926	1141.088	2454.569	1237.038	1400.009	1554.146	1467.885	1492.129	2312.849	1458.321	1346.984	2444.936	1554.966	2163.765
26	2098.301	1810.209	2283.834	1911.892	1970.552	2189.157	1591.961	1139.467	2508.591	1254.459	1421.509	1547.115	1483.645	1504.149	2269.851	1455.798	1369.768	2394.161	1582.132	2171.571
27	2128.976	1864.686	2285.309	1953.666	1969.63	2228.493	1579.327	1132.006	2546.986	1273.662	1439.165	1548.939	1487.404	1506.9	2248.252	1465.437	1406.607	2372.784	1609.51	2182.404
28	2127.974	1928.567	2277.909	1986.775	1971.382	2263.642	1568.23	1139.266	2559.595	1296.272	1468.575	1570.637	1481.074	1506.367	2242.298	1470.445	1449.461	2366.966	1629.658	2182.687
29	2141.064	2017.632	2271.898	2008.969	1981.333	2306.658	1557.063	1142.616	2551.664	1315.232	1489.319	1594.019	1473.437	1504.164	2247.535	1453.046	1484.609	2416.886	1660.164	2181.355
30	2149.289	2109.761	2251.478	2027.111	1981.831	2348.375	1564.065	1136.935	2508.132	1327.119	1509.64	1618.472	1462.748	1499.27	2265.398	1450.063	1509.238	2492.123	1681.741	2198.114
31	2144.415	2178.619	2218.077	2037.455	1983.746	2376.976	1589.609	1153.863	2455.745	1326.69	1514.289	1673.662	1464.752	1506.995	2319.127	1457.205	1542.95	2578.83	1710.406	2237.344
32	2132.123	2236.891	2203.833	2053.891	2001.846	2444.316	1619.472	1149.034	2397.385	1314.639	1510.424	1718.783	1458.783	1509.117	2398.272	1481.768	1566.499	2672.365	1722.386	2290.304
33	2143.609	2269.951	2202.075	2063.485	2041.266	2528.981	1663.662	1171.478	2375.914	1317.809	1519.617	1748.713	1453.556	1521.305	2489.515	1510.079	1578.611	2780.398	1734.295	2403.295
34	2182.011	2308.224	2238.865	2127.571	2098.367	2621.648	1724.918	1196.282	2405.76	1303.266	1515.195	1789.021	1474.7	1552.383	2572.49	1559.713	1594.674	2879.267	1740.419	2513.514
35	2256.93	2305.013	2282.933	2194.162	2146.887	2702.979	1800.16	1212.791	2485.368	1284.215	1513.432	1806.295	1493.095	1592.949	2628.556	1620.769	1595.885	2936.067	1757.751	2632.108
36	2369.465	2318.798	2372.086	2289.366	2228.27	2823.787	1870.538	1237.429	2596.997	1275.164	1530.458	1803.731	1544.742	1644.092	2687	1691.329	1608.793	2957.333	1770.432	2772.089
37	2523.866	2331.936	2473.675	2381.463	2288.501	2902.015	1956.285	1265.841	2764.702	1277.527	1562.009	1849.445	1598.97	1689.371	2713.675	1776.33	1635.928	2966.061	1806.318	2887.506
38	2657.137	2340.916	2556.506	2477.636	2357.297	2977.079	2022.185	1284.014	2923.048	1286.765	1623.316	1837.499	1667.728	1741.798	2712.363	1830.199	1651.462	2916.003	1827.11	2971.713
39	2783.528	2379.245	2638.883	2552.405	2414.848	3057.541	2071.18	1289.225	3061.274	1299.712	1666.474	1820.267	1716.26	1757.331	2703.08	1873.068	1680.165	2864.083	1847.938	3022.316
40	2868.427	2449.569	2705.73	2605.947	2446.586	3099.668	2072.594	1293.64	3144.931	1314.66	1710.634	1814.725	1761.419	1774.116	2692.48	1895.448	1716.578	2800.68	1878.351	3064.618
41	2932.781	2520.82	2746.937	2633.754	2464.552	3130.099	2087.143	1306.861	3192.299	1351.807	1751.385	1801.231	1792.253	1766.902	2663.583	1910.427	1769.406	2731.595	1906.742	3065.089
42	2941.443	2620.87	2758.464	2628.331	2452.938	3129.708	2074.272	1307.48	3169.606	1376.884	1776.226	1793.194	1818.287	1773.267	2620.81	1900.188	1818.821	2679.559	1927.296	3068.815
43	2938.261	2704.505	2751.279	2623.626	2435.979	3134.369	2057.224	1314.631	3123.345	1402.999	1781.641	1809.098	1819.742	1768.526	2607.37	1886.099	1857.976	2657.452	1939.457	3074.146
44	2893.101	2762.406	2711.537	2607.221	2409.314	3131.249	2026.743	1320.796	3044.12	1411.475	1770.467	1805.63	1807.561	1734.745	2605.377	1857.561	1886.336	2668.786	1960.83	3084.832
45	2823.23	2815.25	2658.164	2558.155	2392.046	3106.397	2005.146	1335.332	2980.005	1412.208	1745.341	1814.19	1784.173	1715.583	2609.635	1831.708	1920.581	2717.845	1979.687	3121.785
46	2758.245	2855.102	2622.557	2536.77	2395.896	3140.823	1981.427	1355.728	2897.56	1412.272	1729.3	1799.664	1752.293	1696.907	2670.878	1798.594	1935.871	2803.928	1995.488	3167.077
47	2716.498	2875.491	2605.55	2513.953	2431.582	3212.263	1975.991	1387.385	2844.77	1396.8	1708.222	1828.298	1740.309	1697.418	2759.658	1806.552	1937.51	2937.884	2032.756	3227.261
48	2683.118	2908.321	2586.834	2513.067	2503.745	3343.928	1988.312	1418.699	2842.389	1399.962	1702.42	1842.544	1733.106	1714.234	2864.663	1804.422	1931.543	3077.305	2078.406	3332.285
49	2674.566	2905.777	2614.696	2573.515	2621.723	3501.234	2027.64	1461.3	2923.57	1390.609	1722.888	1883.305	1738.936	1766.517	2974.508	1846.221	1928.123	3212.29	2142.089	3447.621
50	2738.092	2906.623	2683.572	2657.801	2739.281	3727.295	2103.032	1520.521	3065.841	1408.942	1771.66	1905.702	1782.167	1825.64	3078.214	1921.189	1915.364	3323.252	2196.486	3561.782
51	2856.096	2930.086	2773.432	2768.751	2885.828	3941.055	2174.443	1559.131	3253.733	1417.245	1840.831	1969.339	1848.869	1922.201	3161.891	2008.988	1916.55	3411.605	2246.593	3703.787
52	3022.862	2960.929	2866.936	2870.872	2988.799	4132.011	2249.236	1593.824	3448.702	1433.813	1931.911	2000.108	1935.79	1995.07	3214.988	2088.711	1910.814	3459.165	2288.802	3812.259
53	3179.899	3009.291	2974.08	2979.073	3060.766	4265.708	2311.787	1607.765	3637.379	1460.403	1990.407	2027.535	2024.041	2053.37	3238.543	2159.688	1919.557	3449.484	2341.072	3931.346
54	3339.645	3066.699	3064.033	3063.33	3098.089	4355.314	2352.504	1624.97	3751.821	1484.477	2054.897	2046.259	2113.367	2110.279	3236.217	2214.614	1940.376	3394.28	2364.991	4009.73
55	3439.692	3112.91	3132.239	3126.244	3094.238	4370.442	2355.318	1626.262	3805.651	1517.564	2077.279	2070.632	2205.03	2116.895	3198.264	2234.926	1954.224	3348.036	2388.297	4049.661
56	3491.29	3149.799	3153.9	3146.409	3040.906	4349.356	2354.977	1620.609	3792.106	1550.098	2099.781	2088.908	2227.172	2118.906	3145.405	2230.33	1995.581	3254.438	2392.356	4093.219
57	3498.112	3188.789	3165.442	3110.707	2972.252	4236.152	2317.974	1619.887	3744.508	1556.431	2087.809	2096.257	2251.033	2097.969	3089.636	2217.462	2034.576	3180.859	2404.815	4056.529
58	3449.032	3176.695	3161.813	3068.673	2874.292	4154.912	2270.157	1609.151	3642.824	1556.702	2048.272	2046.238	2207.368	2057.156	3031.119	2198.373	2057.651	3096.67	2381.814	4026.381
59	3371.847	3165.819	3091.021	2994.732	2806.034	4034.296	2229.023	1620.056	3539.252	1562.927	2004.472	2037.457	2169.193	2000.951	3017.742	2159.909	2073.237	3048.888	2379.885	3986.015
60	3264.775	3136.298	3047.48	2916.315	2756.949	3933.72	2185.64	1634.518	3431.307	1563.745	1955.667	2039.427	2129.288	1969.786	3021.635	2125.139	2083.237	3037.344	2369.865	3962.554
61	3149.347	3143.077	3007.269	2858.22	2744.927	3913.909	2149.919	1666.61	3336.064	1562.252	1914.731	2018.587	2104.999	1914.838	3076.063	2092.687	2086.421	3103.848	2393.547	3999.482
62	3077.459	3156.259	2996.359	2848.039	2773.128	3953.215	2137.373	1706.133	3319.245	1557.343	1893.602	2011.457	2069.309	1909.248	3144.814	2070.965	2097.489	3230.608	2421.611	4046.976
63	3020.928	3195.934	3019.083	2880.257	2861.405	4099.551	2150.986	1760.496	3371.174	1569.127	1918.286	2031.59	2057.257	1922.71	3300.408	2078.774	2079.965	3434.648	2459.728	4130.307
64	2977.884	3264.457	3071.006	2980.33	2973.694	4304.868	2177.143	1807.986	3506.147	1581.958	1969.471	2047.725	2061.312	1973	3465.942	2093.297	2069.881	3674.706	2515.336	4206.592
65	3006.629	3350.812	3142.164	3105.396	3060.159	4531.544	2234.921	1837.574	3700.221	1609.73	2088.858	2107.551	2095.714	2063.282	3625.164	2115.94	2070.82	3897.478	2543.105	4285.299
66	3028.655	3402.328	3238.706	3219.747	3129.714	4708.982	2295.476	1861.886	3952.935	1637.097	2215.5	2161.386	2134.703	2184.849	3723.202	2155.265	2061.791	4056.958	2592.953	4377.083
67	3049.123	3431.2	3323.446	3359.27	3154.507	4794.762	2362.107	1870.543	4154.571	1664.845	2340.417	2223.544	2193.026	2307.534	3805.111	2182.297	2062.479	4168.424	2600.175	4444.801
