TIME	20170617_W02	20170617_W03	20170617_W05	20170617_W06
0	1786.565	1674.961	1274.567	1480.927
1	1831.666	1692.595	1300.511	1518.608
2	1869.499	1715.355	1319.585	1551.213
3	1883.209	1750.203	1339.904	1570.495
4	1916.755	1833.691	1354.468	1592.186
5	1936.824	1928.312	1372.004	1612.415
6	1969.718	2032.657	1383.315	1616.021
7	2035.997	2145.179	1401.965	1631.023
8	2135.16	2249.096	1425.756	1638.984
9	2262.828	2328.934	1449.42	1673.532
10	2439.785	2379.477	1491.826	1716.136
11	2604.547	2415.49	1554.107	1775.45
12	2789.047	2444.128	1618.621	1860.508
13	2909.381	2455.176	1684.138	1939.795
14	2989.852	2462.678	1753.697	2020.964
15	3022.704	2475.962	1798.19	2083.312
16	3025.715	2495.59	1814.245	2121.123
17	2989.547	2575.037	1823.845	2151.291
18	2931.133	2685.609	1811.882	2160.691
19	2871.581	2817.489	1790.566	2154.079
20	2829.476	2975.669	1774.177	2125.751
21	2838.663	3126.097	1753.854	2115.861
22	2889.836	3229.968	1737.572	2106.405
23	3008.652	3303.862	1751.496	2109.776
24	3202.115	3329.334	1792.454	2161.415
25	3403.791	3310.833	1868.33	2268.889
26	3600.656	3270.288	1975.662	2376.932
27	3727.864	3212.673	2098.256	2502.95
28	3811.334	3175.235	2213.985	2621.337
29	3827.101	3131.485	2301.861	2719.711
30	3815.099	3129.213	2347.073	2772.841
31	3758.753	3178.531	2358.485	2775.023
32	3659.252	3285.918	2359.585	2773.481
33	3553.588	3414.728	2322.66	2717.267
34	3488.199	3594.518	2267.003	2659.797
35	3475.992	3741.883	2217.694	2628.499
36	3547.463	3869.81	2164.88	2590.657
37	3733.529	3951.476	2149.707	2620.53
38	3964.267	3974.717	2174.517	2739.478
39	4231.761	3951.991	2249.666	2907.779
40	4450.107	3890.401	2381.628	3109.678
41	4654.17	3826.542	2532.297	3311.91
42	4758.067	3768.05	2695.112	3463.213
43	4752.288	3720.889	2827.85	3569.688
44	4725.981	3683.75	2940.213	3572.482
45	4639.766	3685.454	2985.568	3561.042
46	4508.797	3751.295	2985.113	3479.637
47	4360.807	3843.488	2949.452	3401.41
48	4230.9	3963.439	2900.934	3287.083
49	4175.402	4077.954	2815.177	3198.638
50	4195.286	4187.166	2731.866	3156.682
51	4312.663	4279.599	2668.104	3186.426
52	4503.089	4356.071	2625.461	3274.205
53	4742.663	4402.182	2645.215	3472.388
54	5007.287	4420.626	2733.245	3688.78
55	5229.137	4410.291	2869.174	3880.628
56	5364.83	4391.124	3087.257	4050.176
57	5464.236	4389.729	3330.299	4161.432
58	5477.288	4388.161	3540.324	4159.554
59	5416.26	4443.872	3704.873	4135.154
60	5295.481	4484.27	3798.169	4089.119
61	5146.408	4556.58	3839.858	3939.419
62	4989.008	4652.761	3822.704	3843.561
63	4876.017	4760.022	3755.234	3758.51
64	4803.632	4812.042	3648.42	3667.786
65	4801.188	4875.01	3518.085	3632.653
66	4872.193	4909.753	3392.67	3670.482
67	5027.807	4931.151	3317.803	3776.798
68	5250.056	4987.789	3271.655	3922.167
69	5527.404	5030.132	3297.64	4142.168
70	5796.047	5061.254	3382.531	4348.124
71	6003.492	5142.247	3550.916	4509.744
72	6122.961	5239.974	3727.501	4592.497
73	6166.601	5288.349	3888.333	4680.035
74	6131.445	5393.708	4012.502	4645.034
75	6048.526	5507.903	4036.749	4600.422
76	5933.61	5608.881	4005.741	4496.277
77	5808.306	5685.961	3941.389	4453.178
78	5661.746	5716.179	3827.697	4332.19
79	5542.808	5702.56	3683.485	4263.07
80	5489.046	5617.573	3553.272	4195.456
81	5448.85	5518.558	3408.138	4186.629
82	5482.123	5394.975	3314.029	4206.463
83	5620.166	5337.393	3224.007	4291.671
84	5781.614	5305.903	3191.597	4433.476
85	5969.822	5281.38	3212.99	4619.087
86	6173.721	5294.178	3265.584	4817.484
87	6294.088	5365.657	3351.757	5014.184
88	6402.809	5408.267	3464.072	5191.986
89	6492.266	5432.708	3513.661	5302.055
90	6428.963	5445.356	3536.716	5295.646
91	6348.036	5433.684	3521.28	5296.842
92	6235.497	5402.905	3441.339	5222.156
93	6098.778	5275.694	3354.68	5072.996
94	5939.587	5099.573	3247.176	4947.029
95	5821.252	4953.805	3120.68	4825.542
96	5709.196	4786.844	2988.689	4689.665
97	5599.928	4649.331	2883.581	4589.133
98	5569.106	4515.737	2810.124	4604.253
99	5579.941	4418.864	2739.58	4681.283
100	5611.71	4351.122	2719.435	4840.71
101	5686.202	4329.211	2740.995	5082.797
102	5750.084	4293.593	2779.603	5369.42
103	5843.524	4296.963	2825.02	5632.417
104	5920.314	4280.751	2870.669	5842.256
