TIME	20170506_W02	20170506_W04	20170512_W01	20170512_W02	20170512_W03	20170512_W04	20170512_W05	20170526_W02	20170526_W03	20170530_W01	20170530_W02	20170530_W04
0	799.637	697.44	1291.968	1269.065	1289.529	1370.693	1277.696	1319.498	1323.515	1922.057	1148.02	1221.091
1	805.54	682.536	1297.226	1268.747	1288.612	1393.231	1284.473	1331.195	1341.305	1868.626	1133.579	1207.958
2	810.264	666.244	1290.278	1259.229	1297.046	1421.891	1287.016	1356.953	1356.122	1855.691	1132.25	1207.026
3	822.465	667.572	1275.312	1246.801	1300.617	1461.542	1305.331	1413.751	1386.788	1872.356	1135.224	1234.988
4	822.029	664.638	1264.769	1244.921	1301.919	1519.492	1323.112	1473.283	1404.021	1892.276	1127.358	1249.165
5	850.734	664.462	1268.503	1242.777	1307.111	1598.584	1328.609	1556.421	1432.196	1918.365	1123.653	1275.62
6	874.098	672.631	1277.923	1236.063	1305.938	1684.563	1353.694	1631.93	1479.137	1948.571	1123.172	1287.158
7	900.438	674.508	1291.384	1245.308	1315.383	1790.64	1367.627	1720.609	1540.1	1970.704	1128.496	1311.015
8	920.496	678.507	1311.55	1224.892	1301.474	1871.201	1386.586	1808.705	1618.578	2001.026	1135.88	1318.474
9	948.343	680.947	1337.353	1234.28	1299.072	1970.016	1426.716	1871.33	1713.919	1995.877	1149.763	1319.038
10	950.677	720.602	1378.097	1249.292	1300.629	2045.737	1453.223	1930.421	1818.971	2003.404	1160.256	1296.694
11	960.133	752.1	1406.6	1269.432	1317.449	2114.869	1496.888	1980.105	1926.145	2015.626	1177.61	1299.454
12	952.298	811.655	1431.422	1294.733	1323.467	2138.113	1517.027	2033.832	2020.354	2021.46	1184.832	1284.77
13	969.36	875.704	1448.008	1326.839	1342.937	2170.88	1558.636	2098.507	2087.978	2025.163	1188.818	1270.908
14	975.36	944.431	1445.428	1358.135	1362.961	2188.867	1582.361	2136.825	2133.944	2030.822	1188.349	1255.513
15	975.162	996.815	1442.396	1381.851	1388.92	2201.026	1600.415	2214.251	2171.671	2051.8	1194.001	1266.364
16	983.296	1050.054	1427.42	1395.334	1393.406	2224.626	1612.775	2294.076	2163.103	2095.327	1194.435	1274.231
17	971.249	1095.004	1414.679	1400.874	1410.06	2245.764	1647.782	2401.495	2151.096	2114.501	1191.241	1286.562
18	954.537	1123.388	1404.217	1405.421	1429.139	2315.513	1659.476	2535.724	2133.03	2118.357	1187.292	1280.242
19	953.734	1152.441	1388.389	1395.179	1443.643	2414.538	1678.381	2668.564	2131.109	2151.533	1186.142	1295.758
20	959.516	1175.321	1391.288	1386.27	1454.535	2546.2	1698.43	2824.588	2141.745	2196.932	1186.715	1286.626
21	957.799	1179.11	1415.189	1381.648	1473.509	2716.171	1727.733	2941.036	2179.662	2221.663	1192.935	1278.225
22	954.722	1205.914	1450.193	1386.916	1480.494	2861.862	1746.614	3038.023	2260.82	2261.833	1210.799	1262.081
23	952.283	1209.416	1496.131	1385.008	1475.666	3003.419	1764.534	3104.668	2347.349	2292.991	1227.47	1234.448
24	953.367	1258.596	1562.315	1398.925	1498.676	3148.258	1808.82	3147.42	2467.809	2311.683	1245.147	1212.386
25	932.38	1331.627	1615.786	1431.143	1516.362	3250.772	1849.977	3151.318	2584.064	2327.992	1273.361	1195.988
26	925.446	1419.145	1662.516	1480.255	1537.282	3312.17	1903.178	3135.572	2698.38	2337.557	1293.769	1184.152
27	916.194	1509.73	1681.001	1528.698	1561.352	3352.619	1949.714	3120.177	2804.639	2357.229	1309.461	1168.474
28	900.97	1606.029	1693.461	1598.391	1610.196	3413.768	2011.991	3118.114	2899.989	2365.791	1320.691	1175.132
29	889.128	1685.205	1696.888	1651.137	1655.202	3460.325	2078.82	3109.862	2925.225	2376.494	1321.761	1182.667
30	878.632	1756.726	1678.808	1687.084	1705.744	3488.745	2137.96	3141.798	2947.209	2390.22	1328.176	1194.007
31	871.145	1764.827	1657.887	1730.274	1768.794	3562.332	2197.076	3216.786	2951.878	2405.323	1324.356	1211.167
32	849.416	1811.075	1634.069	1754.531	1809.443	3690.419	2261.704	3332.939	2943.5	2420.11	1318.837	1259.178
33	849.501	1794.338	1629.54	1761.936	1863.626	3819.053	2303.652	3470.389	2906.735	2444.286	1328.334	1264.952
34	845.537	1770.267	1622.483	1755.97	1901.129	3975.164	2349.649	3622.456	2874.242	2469.456	1340.579	1276.077
35	845.718	1740.659	1643.419	1748.288	1940.504	4135.281	2381.266	3783.524	2848.493	2473.013	1349.982	1250.779
36	849.909	1714.448	1678.47	1740.269	1966.666	4329.01	2434.836	3952.347	2884.007	2493.543	1366.571	1243.054
37	856.019	1697.081	1736.177	1764.625	2012.014	4449.074	2499.227	4071.121	2936.546	2511.66	1408.565	1232.299
38	871.682	1735.346	1802.663	1802.815	2028.675	4556.751	2556.043	4158.389	3037.607	2511.01	1441.614	1220.973
39	891.012	1783.548	1877.578	1868.933	2054.779	4647.572	2611.496	4207.374	3162.155	2514.536	1480.464	1216.253
40	904.995	1887.904	1922.47	1940.828	2083.307	4690.155	2675.603	4231.081	3325.24	2488.38	1502.526	1204.003
41	920.392	1990.867	1954.913	2047.925	2102.905	4708.679	2748.774	4210.593	3546.365	2494.062	1534.269	1204.657
42	951.446	2148.201	1972.428	2161.541	2139.367	4716.274	2800.231	4188.18	3759.021	2458.779	1553.534	1209.104
43	975.159	2245.348	1954.863	2263.922	2171.953	4718.636	2854.41	4175.11	3942.966	2440.007	1568.54	1231.123
44	1012.215	2323.656	1933.373	2358.189	2213.816	4759.718	2911.711	4165.524	4112.5	2427.676	1570.677	1247.985
45	1042.817	2379.031	1899.954	2443.795	2241.288	4783.524	2988.645	4177.733	4247.397	2417.467	1559.729	1274.432
46	1069.422	2383.004	1860.903	2497.071	2264.783	4890.002	3045.14	4212.405	4337.963	2408.443	1563.475	1298.926
47	1075.655	2369.375	1825.726	2502.692	2299.482	4981.527	3108.907	4286.771	4376.8	2401.636	1555.814	1310.414
48	1076.48	2338.344	1810.52	2515.615	2317.046	5062.455	3143.332	4434.985	4405.11	2407.474	1562.157	1320.78
49	1085.533	2294.473	1822.239	2530.694	2342.948	5159.914	3190.375	4628.688	4337.789	2461.851	1581.343	1338.685
50	1062.832	2202.305	1859.481	2526.811	2362.728	5281.391	3254.679	4872.479	4299.991	2485.367	1611.236	1345.08
51	1074.657	2152.28	1927.844	2535.781	2377.306	5337.022	3299.763	5110.04	4278.694	2503.46	1655.328	1331.081
52	1096.9	2146.264	1997.614	2553.013	2376.031	5396.984	3364.079	5319.189	4270.747	2516.285	1709.52	1298.671
53	1136.714	2169.167	2065.943	2579.655	2374.039	5380.615	3414.257	5516.441	4352.153	2532.503	1770.155	1294.808
54	1173.87	2245.277	2118.021	2667.507	2401.068	5372.646	3492.198	5649.623	4475.092	2563.61	1822.585	1293.585
55	1200.403	2334.116	2170.021	2776.79	2424.997	5382.8	3594.326	5750.99	4618.417	2552.701	1858.236	1310.058
56	1253.117	2426.513	2184.934	2902.301	2434.525	5337.519	3652.304	5799.229	4832.581	2565.079	1874.18	1317.864
57	1292.982	2550.506	2180.596	3052.806	2461.648	5355.781	3702.208	5803.346	5035.791	2554.315	1867.455	1342.967
58	1360.522	2641.255	2151.204	3204.026	2477.391	5378.117	3754.713	5782.919	5184.584	2561.561	1869.531	1376.681
59	1407.573	2699.625	2119.291	3316.41	2505.399	5460.383	3789.701	5753.458	5351.665	2547.325	1858.602	1399.704
60	1455.579	2756.208	2092.708	3393.578	2512.286	5513.245	3800.275	5721.116	5506.419	2542.748	1836.527	1424.188
61	1471.878	2762.708	2055.669	3420.424	2505.023	5644.017	3825.693	5711.503	5540.93	2541.6	1826.698	1435.73
62	1500.184	2739.843	2037.462	3415.549	2501.293	5759.399	3845.512	5757.635	5544.028	2539.82	1823.61	1450.128
63	1515.868	2701.357	2050.567	3368.964	2499.958	5823.538	3865.383	5918.186	5525.49	2554.595	1845.729	1453.236
64	1545.778	2651.797	2090.672	3300.052	2501.287	5915.008	3914.206	6107.863	5509.392	2573.676	1876.201	1426.243
65	1484.328	2541.6	2152.506	3271.311	2506.434	5988.674	3968.811	6318.258	5476.895	2562.105	1927.504	1428.235
66	1562.882	2559.274	2212.844	3220.942	2509.703	6020.523	4023.578	6511.99	5433.739	2570.854	1996.998	1437.555
67	1605.31	2633.333	2288.183	3248.352	2517.608	6030.27	4116.057	6696.472	5391.144	2563.298	2067.537	1436.07
68	1627.543	2681.572	2366.059	3302.426	2534.74	6004.346	4222.129	6861.047	5394.025	2548.453	2122.444	1436.669
69	1656.303	2740.868	2417.206	3380.44	2536.998	5962.736	4322.393	6972.431	5440.117	2523.221	2148.115	1425.95
70	1666.625	2877.315	2452.55	3508.633	2549.574	5943.79	4414.142	7034.142	5487.828	2487.526	2167.244	1452.86
71	1701.444	2959.244	2453.947	3635.295	2575.749	5933.444	4471.471	7073.027	5524.258	2475.064	2153.676	1481.585
72	1738.836	3095.758	2469.556	3806.588	2589.022	5923.619	4526.302	7031.196	5561.319	2463.556	2121.113	1512.37
73	1743.881	3154.173	2439.778	3914.963	2602.698	5965.215	4524.323	7010.99	5548.553	2429.886	2090.617	1541.073
74	1773.111	3221.748	2430.959	4038.034	2615.099	6013.28	4507.276	6959.723	5505.302	2430.539	2053.712	1573.828
75	1818.225	3244.814	2405.908	4097.705	2619.81	6150.896	4503.174	6972.038	5431.2	2428.812	2033.307	1602.032
76	1854.531	3219.579	2397.255	4094.633	2616.047	6277.104	4499.441	6952.731	5333.852	2458.564	2024.872	1603.353
77	1853.598	3143.809	2401.756	4046.968	2598.206	6420.679	4513.386	6984.325	5213.594	2469.355	2046.66	1610.3
78	1877.405	3132.273	2434.409	3974.367	2603.884	6543.754	4551.205	6972.581	5108.321	2522.484	2090.648	1600.957
79	1889.638	3100.9	2486.533	3917.137	2601.143	6677.941	4622.552	7005.701	4996.344	2564.638	2174.188	1580.358
80	1906.556	3060.49	2545.358	3831.964	2609.995	6758.32	4737.778	7012.465	4881.059	2606.636	2265.751	1568.594
81	1898.889	3059.025	2608.546	3831.665	2640.164	6863.645	4876.883	7021.679	4781.366	2643.996	2363.963	1570.22
82	1937.245	3086.802	2675.27	3857.603	2670.232	6898.491	5035.561	6982.317	4703.716	2666.529	2438.694	1572.07
83	1899.815	3169.849	2745.264	3946.441	2713.42	6915.327	5193.068	6981.772	4661.162	2684.258	2485.312	1616.902
84	1926.032	3280.475	2806.318	4037.04	2761.712	6962.132	5336.524	6865.788	4572.191	2688.896	2501.341	1648.838
85	1904.59	3387.185	2857.457	4168.8	2793.594	6986.013	5404.752	6790.375	4448.359	2683.617	2483.6	1677.368
86	1903.579	3449.498	2884.083	4304.911	2828.034	6987.491	5503.426	6723.737	4346.645	2632.348	2446.218	1685.191
87	1890.457	3544.041	2894.419	4430.935	2863.911	6989.162	5557.906	6618.611	4251.913	2590.318	2399.883	1720.375
88	1909.737	3579.167	2894.181	4546.085	2873.011	7086.038	5563.583	6530.231	4138.952	2544.125	2348.562	1746.304
89	1906.287	3587.724	2871.15	4622.817	2885.821	7180.727	5555.624	6417.462	4039.71	2518.023	2305.336	1758.462
90	1943.673	3577.312	2865.51	4661.35	2889.794	7296.901	5538.34	6323.881	3916.514	2495.345	2288.743	1781.539
91	1949.014	3450.006	2863.109	4667.343	2883.646	7412.571	5485.982	6221.955	3791.665	2475.361	2300.184	1768.729
