TIME	20170506_W05	20170506_W06 	20170506_W07	20170506_W08	20170512_W06	20170512_W08	20170512_W09	20170526_W04	20170526_W05	20170526_W06	20170530_W06	20170530_W07	20170530_W08	20170603_W07	20170603_W08	20170603_W09	20170603_W10	20170603_W12
0	1113.482	899.873	757.825	908.145	1341.146	1569.421	1336.584	1195.349	1122.889	1212.545	1424.353	1231.411	1256.814	5142.496	4072.671	4975.348	4049.546	4255.375
1	1103.222	894.315	742.305	908.871	1342.122	1584.661	1333.999	1225.486	1156.741	1225.716	1383.559	1239.905	1267.699	5171.497	4111.785	5122.15	4040.139	4335.13
2	1098.469	898.654	739.214	926.321	1339.959	1580.237	1338.468	1237.391	1185.947	1223.76	1375.761	1260.335	1301.692	5200.392	4127.359	5270.295	4046.785	4407.512
3	1080.287	882.773	743.454	928.482	1343.534	1603.051	1338.465	1266.46	1222.61	1230.387	1383.07	1280.791	1360.177	5251.808	4148.559	5466.124	4033.16	4455.824
4	1085.738	891.237	750.284	943.231	1350.492	1621.152	1339.381	1284.158	1257.195	1238.942	1399.24	1292.1	1395.759	5370.973	4166.874	5586.028	4049.032	4518.958
5	1066.746	899.17	775.297	949.23	1360.899	1628.474	1340.696	1317.344	1300.95	1240.136	1422.955	1325.259	1463.664	5569.25	4201.325	5732.796	4045.814	4551.952
6	1072.01	909.941	810.804	951.58	1382.171	1654.833	1345.653	1370.21	1333.976	1235.096	1470.295	1357.07	1519.07	5768.806	4234.143	5837.735	4076.174	4581.049
7	1073.05	926.308	839.684	957.076	1392.873	1672.269	1334.926	1434.304	1371.473	1229.382	1504.096	1386.509	1578.278	6023.721	4294.839	5932.607	4126.972	4586.796
8	1094.227	955.347	902.404	982.366	1403.426	1692.412	1322.85	1501.675	1412.907	1236.209	1559.061	1423.152	1604.371	6207.5	4335.388	6000.244	4189.143	4574.715
9	1110.369	979.2	949.88	986.957	1418.366	1722.75	1321.459	1580.26	1461.306	1243.22	1580.048	1472.859	1644.179	6381.086	4409.203	5993.312	4248.629	4581.82
10	1179.023	1035.09	997.821	1009.979	1420.259	1759.449	1323.896	1652.307	1524.712	1261.593	1590.413	1526.395	1654.969	6440.889	4463.12	6035.916	4341.256	4566.222
11	1247.695	1098.072	1042.566	1051.87	1439.128	1812.454	1354.834	1705.751	1604.672	1266.341	1620.596	1587.057	1666.106	6461.236	4535.013	6016.945	4427.191	4602.058
