TIME	20190410_W01	20190410_W02	20190410_W04	20190410_W05	20190417_W01	20190417_W02	20190417_W03	20190417_W04	20190417_W05	20190429_W01	20190429_W02	20190429_W03	20190429_W04	20190429_W05
0	923.28	936.591	548.734	803.837	446.13	661.449	1623.356	925.624	1356.177	685.148	524.808	995.43	644.38	1429.901
1	871.757	941.124	537.352	822.892	442.371	700.891	1664.561	1005.85	1511.374	659.308	508.963	985.059	636.334	1527.972
2	855.775	903.967	534.23	846.781	439.608	738.355	1661.557	1058.124	1574.765	641.843	515.844	1006.383	639.401	1581.121
3	922.75	894.554	538.383	844.19	437.534	767.452	1613.102	1109.204	1689.744	620.65	521.927	1038.414	648.845	1572.11
4	931.243	879.526	536.553	806.673	429.072	800.992	1630.628	1145.518	1872.71	598.563	521.636	1108.494	659.917	1619.173
5	913.574	862.12	554.521	827.481	441.386	840.593	1711.061	1202.302	2014.046	593.304	540.686	1176.548	666.747	1622.867
6	922.393	860.359	553.344	788.803	452.298	884.251	1841.77	1246.173	2115.125	588.489	553.557	1292.564	678.625	1619.029
7	977.578	890.955	551.792	750.916	456.391	891.834	1991.646	1258.141	2190.161	592.562	543.473	1413.027	674.467	1633.638
8	1057.48	938.106	553.756	737.533	467.757	883.268	2183.917	1311.711	2219.684	610.109	546.508	1546.388	678.573	1617.69
9	1144.182	999.737	548.724	714.816	477.397	873.771	2361.996	1370.206	2251.249	640.047	552.729	1661.702	676.452	1661.312
10	1238.771	1061.446	549.935	720.371	505.379	890.29	2537.943	1387.971	2254.92	668.677	556.205	1746.907	690.871	1812.473
11	1333.263	1111.464	545.277	712.995	506.898	871.995	2677.833	1473.715	2181.579	681.489	562.168	1800.357	678.585	2003.679
12	1405.932	1152.779	540.452	713.529	502.702	857.51	2732.392	1509.787	2128.475	679.855	556.864	1822.178	657.556	2178.553
13	1442.407	1158.642	530.538	714.365	486.82	829.003	2718.898	1625.663	2022.916	668.774	550.944	1812.741	629.338	2420.732
14	1488.397	1161.682	522.937	707.728	485.376	853.412	2701.048	1756.871	2005.242	649.334	547.987	1793.283	631.764	2498.045
15	1500.007	1178.235	527.525	731.491	479.164	891.066	2634.583	1865.291	2082.612	618.678	560.353	1777.976	658.963	2577.047
16	1484.021	1162.135	541.765	732.073	483.543	946.312	2520.067	1995.753	2126.259	596.85	583.822	1799.555	710.988	2643.807
17	1474.458	1146.115	581.139	729.916	497.949	1009.529	2494.812	2131.916	2267.458	589.747	614.587	1852.766	728.225	2607.29
18	1475.46	1133.918	607.879	732.793	503.936	1083.908	2441.446	2209.58	2405.217	588.082	642.319	1934.275	756.284	2525.9
19	1455.607	1118.165	643.914	723.19	523.469	1135.074	2442.281	2304.115	2485.189	613.395	665.679	2094.506	770.91	2481.458
20	1478.297	1128.05	674.708	710.743	532.337	1176.068	2515.774	2368.586	2597.188	627.889	673.008	2252.207	768.406	2404.077
21	1524.262	1152.806	686.062	713.279	542.387	1193.728	2615.017	2362.764	2542.674	675.239	667.091	2417.329	763.856	2328.358
22	1653.497	1240.411	693.869	695.243	567.865	1215.826	2847.615	2391.773	2563.161	730.155	682.633	2615.068	759.486	2461.48
23	1829.903	1316.955	692.913	681.601	575.816	1187.095	3058.458	2428.076	2532.848	766.054	661.664	2748.221	727.946	2563.469
24	2023.973	1403.485	687.421	674.012	579.571	1164.401	3285.54	2447.102	2440.773	796.4	637.647	2792.999	707.361	2751.136
25	2223.351	1474.594	661.96	681.465	567.629	1125.837	3327.955	2458.098	2316.914	800.379	619.316	2775.269	671.6	3070.063
26	2379.845	1540.653	638.622	690.1	573.845	1116.025	3399.691	2495.334	2215.722	796.939	616.376	2741.737	675.84	3402.003
27	2498.905	1595.105	625.534	713.171	571.108	1105.521	3401.189	2576.726	2164.867	792.587	630.731	2692.272	680.57	3565.221
28	2569.918	1614.194	622.854	738.576	579.26	1109.044	3258.631	2632.346	2110.523	781.051	650.52	2628.946	717.988	3713.735
29	2612.003	1598.77	638.76	777.56	596.747	1149.547	3251.702	2825.65	2131.823	765.454	677.632	2564.502	749.77	3707.178
30	2602.173	1586.588	671.303	814.649	611.692	1219.454	3106.831	2997.969	2192.526	749.95	706.709	2578.843	768.036	3619.453
31	2563.244	1530.54	705.677	834.063	649.18	1316.414	3022.549	3113.24	2340.265	738.16	742.076	2653.9	768.667	3496.92
32	2526.538	1505.924	729.094	847.378	668.593	1396.599	2861.092	3267.828	2441.116	733.047	739.665	2813.516	791.429	3418.969
33	2467.721	1484.683	752.219	852.983	703.566	1494.74	2877.926	3276.146	2580.483	744.538	734.004	3031.593	790.494	3262.682
34	2465.222	1485.693	786.816	858.334	738.522	1581.063	2938.352	3316.007	2669.205	810.995	746.432	3298.876	797.494	3175.259
35	2519.182	1495.131	785.137	858.034	762.422	1615.38	3080.388	3327.25	2743.824	872.359	724.342	3495.532	782.584	3133.726
36	2671.372	1523.605	775.215	859.45	775.838	1632.298	3247.172	3282.019	2768.081	944.586	704.588	3692.429	752.252	3174.731
37	2860.916	1586.977	762.538	846.904	771.158	1575.599	3491.135	3216.641	2678.303	1004.25	676.292	3743.54	726.115	3423.964
38	3156.231	1660.059	736.23	853.351	775.376	1539.901	3733.74	3154.528	2634.077	1042.357	680.29	3738.024	723.49	3759.979
39	3518.679	1769.314	717.677	873.414	777.777	1504.509	3934.749	3064.773	2526.58	1065.76	688.728	3624.696	720.765	4140.377
40	3869.691	1846.281	732.049	904.331	781.557	1457.078	4028.351	3142.352	2434.291	1079.504	711.719	3499.068	769.079	4496.294
41	4208.278	1907.379	733.444	944.044	782.944	1443.498	4111.507	3242.908	2342.63	1060.184	728.146	3385.772	809.95	4609.538
42	4437.285	1963.291	748.988	976.773	785.605	1422.355	4008.979	3269.684	2289.358	1025.308	746.235	3355.184	840.189	4784.84
43	4535.287	1968.811	779.047	1011.315	813.969	1425.869	3974.531	3398.147	2292.737	993.263	755.593	3287.195	896.02	4758.085
44	4617.287	1970.199	825.885	1052.998	844.374	1473.01	3917.579	3557.682	2346.044	974.349	751.599	3330.974	926.541	4656.966
45	4555.676	1928.092	841.185	1087.379	867.361	1553.776	3757.225	3793.295	2423.259	955.895	751.05	3502.151	951.767	4479.301
46	4436.584	1908.436	881.887	1116.526	914.653	1676.385	3683.34	4002.054	2595.361	971.174	755.187	3696.83	953.291	4286.193
47	4291.999	1881.171	907.582	1123.165	952.895	1794.988	3555.263	4015.188	2742.98	1011.641	722.74	3916.566	947.498	4077.455
48	4191.203	1845.252	893.932	1129.214	968.753	1900.403	3571.871	4106.328	2843.59	1072.836	716.274	4198.042	920.618	3987.884
49	4087.148	1822.396	861.9	1114.604	975.566	1960.526	3628.121	4060.529	2887.233	1132.07	685.414	4359.893	876.896	3991.07
50	4098.638	1818.943	826.926	1101.03	971.216	1999.606	3824.908	3965.925	2960.333	1200.402	676.121	4458.904	849.529	4132.557
51	4255.744	1858.897	821.92	1107.136	972.76	2026.498	4100.214	4011.982	2951.831	1237.433	662.708	4449.33	847.268	4383.36
52	4527.001	1934.837	796.397	1125.723	956.245	2020.282	4408.637	3849.932	2873.729	1274.561	672.502	4364.376	856.587	4777.906
53	4848.343	2044.918	770.656	1161.097	968.509	1985.815	4758.31	3891.352	2810.253	1273.192	674.904	4226.24	894.615	5117.405
54	5193.68	2168.861	758.212	1206.867	954.85	1919.315	5083.075	3926.231	2710.188	1245.386	708.607	4072.45	932.823	5398.389
55	5478.582	2316.412	749.231	1238.755	961.32	1853.825	5394.284	3945.384	2619.429	1219.347	721.399	3954.727	977.357	5663.497
56	5676.205	2419.712	762.749	1306.782	961.94	1832.772	5455.502	4060.979	2549.281	1198.317	745.69	3927.068	1013.742	5722.663
57	5727.697	2504.986	776.09	1358.72	981.286	1793.589	5558.13	4204.118	2513.513	1151.794	741.45	3898.663	1032.592	5705.707
58	5749.523	2576.887	798.776	1410.53	1006.538	1829.64	5588.453	4309.522	2521.158	1143.49	767.451	3982.001	1032.437	5519.596
