TIME	20190410_W06	20190410_W07	20190410_W08	20190410_W09	20190410_W10	20190417_W06	20190417_W07	20190417_W09	20190417_W10	20190417_W11	20190429_W06	20190429_W07	20190429_W09	20190429_W10
0	1794.268	718.973	1555.996	1259.931	784.817	1222.592	634.994	582.528	1406.36	695.725	499.45	565.227	1035.231	636.843
1	1730.195	713.051	1618.235	1230.407	786.523	1269.771	677.041	617.847	1529.381	704.204	515.32	540.321	1026.875	659.983
2	1673.373	715.311	1669.631	1210.995	791.231	1280.393	654.653	653.613	1565.011	663.319	518.585	524.724	992.331	660.04
3	1609.696	754.062	1701.194	1219.679	792.145	1353.919	666.982	677.96	1640.344	632.253	527.012	523.289	970.99	658.692
4	1589.67	778.154	1719.802	1247.224	797.316	1474.089	676.557	709.55	1721.105	611.838	507.325	513.87	980.865	644.337
5	1640.061	834.138	1740.175	1317.3	785.037	1648.124	685.31	737.053	1803.532	588.101	512.509	538.826	986.152	622.877
6	1770.734	881.347	1756.121	1415.958	787.077	1862.024	681.077	759.019	1846.143	528.673	510.645	560.744	1043.43	619.808
7	1909.224	925.851	1781.884	1565.904	799.212	2096.553	711.802	768.223	1890.059	502.225	492.115	580.649	1118.182	592.714
8	2098.642	941.908	1802.313	1719.979	813.547	2242.951	726.253	762.673	1966.397	498.271	484.215	592.941	1259.325	591.873
9	2233.519	937.118	1840.65	1871.384	831.35	2386.099	730.289	778.627	2054.067	536.992	485.254	606.327	1404.339	609.471
10	2370.804	966.549	1936.347	2002.441	843.586	2437.296	742.547	770.376	2144.966	556.464	505.916	590.243	1555.064	615.803
11	2474.829	962.006	2044.012	2082.433	868.7	2467.315	751.161	753.484	2227.317	566.254	528.388	575.647	1694.392	639.755
12	2497.079	979.194	2205.788	2123.346	886.155	2411.556	764.551	728.874	2354.388	540.142	556.529	560.415	1815.774	663.258
13	2480.557	960.098	2348.515	2122.187	916.909	2336.477	767.801	722.079	2424.585	517.396	583.925	538.925	1871.318	698.5
14	2411.568	972.2	2546.353	2149.339	983.348	2218.088	792.651	714.768	2500.079	486.893	606.701	497.523	1928.611	701.631
15	2382.641	990.296	2660.98	2116.646	1044.414	2159.15	835.456	724.564	2569.689	474.359	608.676	490.295	1933.926	720.87
