TIME	20180127_LSM780_W02	20180127_LSM780_W04	20180127_LSM780_W05	20180127_LSM780_W06	20180127_LSM780_W07	20180203_NLO_W02	20180203_NLO_W04	20180203_NLO_W05	20180324_W02	20180324_W03	20180324_W04	20180329_W02	20180329_W03	20180329_W04	20180329_W05	20180329_W07	20180402_W02	20180402_W03	20180402_W04	20180402_W05	20180402_W06	20180402_W07	20180403_W02	20180403_W05	20180403_W06	20180413_W02	20180413_W03	20180413_W04	20180414_NLO_W02	20180414_NLO_W03
0	3123.528	2625.029	4025.203	1621.779	1365.203	1272.46	1234.594	1000.718	953.728	1866.497	865.644	761.188	992.286	723.433	677.188	807.843	1542.129	991.03	2195.191	421.323	971.477	934.655	2100.912	1789.466	936.186	1051.94	2398.333	2153.499	1103.352	1206.617
1	3515.356	2890.994	4548.935	1653.59	1363.573	1307.308	1238.345	1013.212	972.618	1953.017	868.455	749.789	957.861	736.659	683.253	800.628	1537.093	973.731	2241.995	414.778	954.033	924.475	2302.234	1869.5	920.835	1054.719	2397.03	2191.16	1109.47	1198.968
2	3862.783	3106.621	4869.894	1665.045	1418.013	1382.054	1262.306	1041.708	975.387	1928.152	885.751	754.921	935.796	771.506	686.728	811.922	1529.699	952.337	2250.733	417.193	938.63	917.462	2493.612	1925.477	912.042	1070.704	2411.23	2238.013	1088.333	1171.353
3	4204.72	3404.986	5259.98	1720.602	1497.511	1448.232	1261.125	1044.995	977.913	1926.379	924.214	764.615	925.839	812.168	712.192	829.308	1553.817	964.888	2339.201	420.985	942.705	922.014	2634.753	1947.287	925.798	1081.387	2473.789	2282.736	1084.746	1159.25
4	4422.249	3536.366	5362.081	1699.154	1549.941	1568.986	1280.22	1053.257	979.864	1861.192	924.443	780.28	903.205	842.884	756.94	859.053	1621.068	1002.852	2494.043	428.832	923.663	926.037	2769.118	1963.373	945.211	1102.927	2593.835	2364.086	1108.23	1151.121
5	4683.413	3715.372	5488.461	1740.193	1657.293	1702.457	1293.771	1046.328	982.006	1827.262	932.657	804.183	887.285	889.609	801.051	908.631	1707.137	1022.891	2658.954	423.58	883.163	923.8	2880.469	1938.27	966.276	1120.357	2766.879	2488.951	1133.74	1163.204
6	4844.916	3758.312	5384.678	1729.934	1744.805	1819.258	1323.612	1080.746	996.358	1794.277	940.246	832.352	886.497	921.102	835.099	975.828	1906.254	1113.511	2961.966	437.928	856.181	952.973	2987.063	1889.816	999.284	1130.222	3055.507	2702.104	1196.44	1197.238
7	4915.27	3803.982	5388.514	1740.647	1855.845	1994.178	1343.202	1078.5	1024.562	1770.23	913.988	882.681	882.056	957.426	872.838	1066.605	2062.975	1192.163	3193.467	436.606	790.312	944.806	3050.692	1860.935	1041.107	1142.876	3385.972	2972.465	1229.087	1253.956
8	4986.943	3837.629	5344.558	1734.658	1931.065	2084.054	1360.932	1096.042	1083.529	1797.91	906.193	955.139	923.561	1003.622	915.078	1159.707	2301.926	1311.715	3544.083	438.534	775.315	980.97	3155.287	1867.823	1078.708	1157.255	3723.048	3286.536	1254.934	1291.817
9	4922.783	3787.337	5317.991	1719.04	1993.276	2225.388	1419.519	1102.489	1142.848	1839.419	864.725	1037.178	946.843	1044.285	966.435	1253.276	2524.339	1420.406	3730.713	436.801	721.92	991.917	3314.957	1893.723	1125.561	1155.892	3991.231	3596.756	1256.606	1320.402
10	5072.524	3888.03	5515.455	1740.855	2056.661	2302.599	1505.841	1129.199	1224.378	1931.686	858.084	1130.247	989.242	1084.451	1014.601	1353.853	2659.465	1490.661	3842.343	439.766	693.622	1017.37	3554.894	1964.346	1159.673	1153.63	4174.85	3834.307	1301.577	1347.09
11	5172.944	3903.109	5803.378	1734.91	2106.244	2383.604	1594.525	1161.485	1293.418	2059.173	855.536	1201.233	1029.325	1143.658	1084.387	1452.374	2802.216	1559.083	4019.177	440.963	692.011	1048.679	3882.639	2060.948	1216.607	1115.401	4258.3	4023.378	1289.709	1361.485
12	5524.999	4066.088	6400.227	1766.823	2127.721	2447.422	1680.74	1165.525	1326.764	2158.185	851.083	1261.439	1077.266	1215.727	1168.54	1503.576	2791.829	1535.393	3887.722	439.987	691.489	1033.481	4219.41	2143.771	1267.158	1103.418	4270.672	4118.019	1216.723	1301.85
