TIME	20170616_W09	20170616_W10	201702616_W11	20180127_LSM780_W08	20180127_LSM780_W09	20180127_LSM780_W10	20180127_LSM780_W11	20190127_LSM780_W12	20180203_NLO_W07	20180203_NLO_W09	20180324_W05	20180329_W08	20180329_W09	20190329_W10	20190329_W12	20180331_W02	20180331_W04	20180331_W05	20180402_W08	20180402_W09	20180402_W10	20180402_W12	20180402_W13	20180402_W14	20180403_W08	20180403_W09	20180403_W10	20180403_W11	20180403_W12	20180403_W13	20180413_W05	20180413_W06	20180413_W07	20180413_W08	20180413_W09	20180414_NLO_W04	20180414_NLO_W05	20180414_NLO_W06	20180414_NLO_W07
0	1650.321	1491.963	1826.837	2198.923	1679.964	2327.127	2623.926	2964.096	1261.855	1362.063	917.849	883.748	1335.201	1283.081	852.809	842.376	933.961	847.44	999.662	1641.475	1941.934	791.878	2091.072	1507.096	1191.103	1772.568	1518.319	742.007	1053.626	2394.092	2146.413	1020.597	1625.135	1096.104	2229.296	3640.659	1628.6	994.596	1067.277
1	1682.07	1548.006	1851.806	2259.84	1693.894	2341.796	2642.894	2949.411	1273.364	1347.762	919.82	917.504	1356.584	1275.08	850.845	861.696	958.76	889.211	1007.613	1646.848	2000.452	794.848	2109.128	1496.053	1243.278	1954.715	1634.99	726.557	1023.255	2472.173	2264.434	1063.496	1629.586	1143.001	2270.53	3755.294	1645.275	1003.065	1085.161
2	1735.356	1590.8	1874.185	2310.452	1805.381	2420.632	2695.403	2955.305	1320.043	1409.046	931.964	953.677	1396.193	1252.302	841.521	906.674	990.576	930.837	1025.845	1675.502	2063.33	817.362	2171.607	1502.964	1342.597	2155.646	1783.307	728.046	1011.618	2534.261	2442.458	1098.164	1684.688	1168.193	2363.13	3805.772	1673.707	1014.4	1088.774
3	1801.585	1622.976	1871.816	2327.515	1974.671	2534.936	2770.225	2968.466	1397.548	1486.086	985.932	996.546	1465.089	1215.032	856.889	947.668	1037.749	979.303	1061.332	1762.819	2109.062	854.678	2296.933	1535.475	1416.951	2337.869	1977.397	739.429	1023.464	2603.255	2675.193	1139.951	1790.907	1211.408	2531.562	3920.312	1811.245	1084.609	1095.427
4	1883.796	1649.16	1880.806	2244.375	2161.842	2657.383	2801.911	2943.909	1480.356	1543.425	1050.862	1043.913	1571.604	1086.974	872.351	990.408	1098.522	1013.923	1090.486	1924.019	2154.171	867.423	2466.212	1568.223	1536.593	2514.369	2197.821	749.676	1041.821	2648.308	2923.798	1182.776	1919.672	1272.869	2780.465	3995.238	1844.968	1128.001	1076.45
5	1987.439	1677.47	1891.366	2229.804	2394.092	2838.15	2925.377	3016.62	1550.664	1623.739	1140.631	1094.046	1734.846	1013.105	893.299	1030.585	1142.529	1041.419	1072.24	2070.73	2191.552	888.723	2684.487	1669.228	1698.626	2675.988	2431.939	763.03	1088.376	2723.782	3158.525	1228.494	2049.349	1347.272	3081.008	4226.901	1779.7	1178.425	1082.861
6	2073.006	1693.81	1908.037	2143.661	2531.423	2934.022	2999.187	3068.919	1671.335	1675.134	1240.594	1154.114	1970.354	982.907	925.973	1082.568	1194.125	1077.138	1051.968	2313.246	2332.722	922.222	2952.194	1768.843	1889.663	2791.405	2642.413	771.997	1147.421	2831.791	3337.596	1297.566	2203.407	1436.218	3404.024	4735.846	1824.827	1226.549	1084.322
7	2158.054	1709.369	1972.906	2151.58	2679.85	3106.098	3205.782	3259.854	1743.301	1716.379	1305.331	1224.234	2233.678	981.328	976.445	1146.779	1233.738	1105.048	1024.557	2452.755	2416.632	923.054	3103.334	1842.768	2134.17	2909.637	2864.875	795.274	1184.29	3008.283	3455.857	1368.496	2344.156	1500.863	3699.058	5388.474	1906.456	1264.735	1094.422
8	2210.799	1728.519	2047.651	2167.705	2724.397	3157.789	3362.145	3419.634	1838.28	1694.351	1380.455	1297.836	2513.092	978.978	1055.508	1236.917	1270.427	1128.488	1022.119	2619.846	2649.699	939.587	3337.561	1981.044	2399.327	3008.635	3014.69	818.591	1219.746	3256.011	3527.13	1412.606	2473.48	1576.068	3913.139	6011.737	1955.942	1237.286	1090.8
9	2248.437	1777.679	2149.161	2259.353	2728.965	3226.28	3632.414	3708.224	1922.511	1668.727	1411.99	1375.814	2781.925	985.38	1153.793	1370.259	1292.267	1142.095	997.732	2681.033	2839.899	929.901	3343.983	2029.371	2626.607	3128.732	3142.655	835.398	1237.361	3522.138	3524.844	1511.577	2587.601	1628.243	4112.271	6678.008	2073.528	1245.17	1139.915
