TIME	20171005_DB_W02	20171005_DB_W03	20171005_DB_W04	20190530_W02	20190530_W03	20190530_W04	20190530_W05	20190531_W05	20190531_W06	20190531_W07
0	798.491	599.865	573.383	582.01	1469.562	530.971	849.714	2281.902	1838.93	1257.415
1	818.476	589.631	567.664	551.983	1459.219	509.088	753.794	2337.306	1838.131	1246.226
2	836.162	583.151	559.919	522.99	1460.207	512.206	795.556	2437.207	1801.961	1210.665
3	869.064	575.375	557.835	519.554	1474.48	512.69	834.651	2615.397	1775.365	1206.129
4	921.401	569.949	558.791	525.397	1470.186	507.066	860.924	2795.341	1737.739	1212.259
5	995.938	565.668	564.786	525.082	1445.935	515.023	868.701	2992.528	1757.271	1224.399
6	1080.694	566.215	575.615	544.449	1483.59	512.531	905.46	3138.592	1805.969	1287.093
7	1175.496	560.515	585.343	567.26	1464.429	501.463	930.302	3241.22	1907.808	1364.77
8	1270.321	552.133	591.757	597.653	1490.68	505.098	964.744	3301.406	2050.434	1440.537
9	1344.032	541.893	591.114	659.776	1566.012	501.347	997.051	3287.115	2205.102	1513.226
10	1406.898	541.506	604.174	725.007	1696.313	503.272	1004.266	3273.218	2349.667	1562.498
11	1436.187	550.381	612.463	753.229	1816.107	503.738	1004.451	3245.5	2393.598	1595.357
12	1457.113	549.257	613.295	791.093	1957.416	509.674	1032.209	3257.973	2471.332	1649.619
13	1450.408	555.29	608.32	807.364	2068.158	503.611	1032.084	3358.254	2496.114	1646.494
14	1450.477	561.537	604.29	814.254	2176.169	504.688	1068.095	3514.462	2460.721	1587.36
15	1449.659	565.021	607.979	783.62	2180.188	510.562	1085.259	3769.619	2407.256	1568.022
16	1455.643	573.341	611.339	756.119	2187.716	534.522	1113.6	4098.21	2350.855	1543.548
17	1485.101	575.914	614.705	733.55	2192.267	568.141	1172.037	4406.029	2270.242	1530.664
18	1546.45	575.64	621.712	736.94	2139.285	611.245	1235.176	4680.761	2214.623	1569.775
19	1646.593	569.113	630.452	737.107	2088.99	635.886	1300.538	4843.459	2220.656	1647.306
20	1777.472	568.907	648.466	747.838	2047.516	650.962	1384.74	4919.168	2296.703	1751.078
21	1900.566	567.467	664.169	763.318	2039.937	667.237	1439.892	4892.876	2424.617	1861.522
22	2004.867	563.866	688.943	830.103	2004.225	665.15	1471.184	4779.155	2609.407	1958.482
23	2080.559	562.061	708.748	909.654	2033.768	660.816	1488.787	4628.585	2808.249	2030.484
24	2136.89	566.117	722.719	1002.129	2108.324	657.182	1477.224	4466.846	2969.524	2058.007
25	2142.997	568.274	727.098	1103.77	2255.947	637.504	1462.068	4364.198	3085.686	2082.941
26	2137.32	570.848	724.102	1187.965	2430.53	646.654	1470.727	4362.249	3164.687	2073.079
27	2102.115	589.429	733.548	1257.425	2594.417	649.105	1492.189	4466.663	3149.33	2034.526
28	2092.256	603.24	738.687	1286.739	2698.616	648.492	1523.984	4728.4	3058.2	1962.309
29	2054.39	595.52	719.792	1277.547	2743.389	667.447	1553.633	5088.841	2971.271	1923.108
30	2090.598	604.034	725.65	1275.553	2739.86	700.41	1601.811	5517.818	2906.032	1915.947
