TIME	20171005_DB_W05	20171005_DB_W06	20171005_DB_W07	20171005_DB_W08	20171005_DB_W09	20190530_W07	20190530_W08	20190530_W09	20190530_W10	20190530_W11	20190530_W12	20190531_W01	20190531_W02	20190531_W03	20190531_W04		
0	960.785	1234.249	1104.324	1534.316	1683.352	614.231	552.87	845.874	1448.904	946.047	488.307	1790.776	2859.536	1977.51	2842.346		
1	1004.781	1339.875	1163.795	1619.612	1837.149	622.328	630.662	877.66	1391.715	950.103	485.029	1809.513	2944.914	1975.007	2809.006		
2	1048.159	1453.054	1240.559	1674.441	1995.587	643.602	631.437	893.53	1392.364	951.484	491.215	1841.906	2991.505	1944.852	2777.62		
3	1100.106	1552.422	1321.503	1723.931	2140.739	659.405	666.858	898.227	1411.779	952.486	484.581	1930.124	3062.988	1952.737	2812.135		
4	1144.906	1640.034	1433.066	1773.09	2270.384	671.489	662.928	891.912	1481.237	983.438	491.279	2033.92	3104.997	1991.716	2941.108		
5	1183.908	1704.803	1517.128	1796.766	2350.644	680.238	646.058	881.104	1582.469	1002.64	499.194	2194.222	3118.09	2084.894	3118.216		
6	1212.442	1745.076	1600.338	1858.121	2397.855	679.71	660.352	858.839	1687.004	1015.977	513.784	2411.259	3132.705	2240.751	3408.301		
7	1232.906	1763.282	1665.568	1929.077	2408.988	673.089	679.501	828.129	1827.38	1062.534	530.815	2622.063	3117.324	2473.851	3740.988		
8	1235.248	1750.231	1707.727	2024.631	2369.9	662.79	724.021	804.23	1965.483	1087.638	530.095	2779.013	3107.713	2702.935	4022.044		
9	1229.255	1757.062	1731.214	2145.049	2348.624	636.088	761.209	777.823	2057.258	1125.533	556.505	2896.255	3150.905	2914.136	4265.057		
10	1227.437	1800.67	1726.532	2302.33	2325.74	624.254	804.096	784.591	2096.244	1152.6	569.387	2983.923	3238.985	3080.255	4422.645		
11	1239.899	1866.965	1745.875	2477.419	2325.656	616.617	861.26	767.708	2127.986	1182.41	563.696	3034.506	3421.698	3174.413	4421.27		
12	1244.134	1964.985	1764.703	2627.679	2363.799	608.997	956.089	820.136	2109.507	1219.557	559.843	3074.74	3717.676	3234.326	4450.733		
13	1260.443	2090.333	1780.924	2738.823	2450.007	624.934	1053.568	868.781	2074.61	1269.079	548.555	3138.991	4071.794	3234.402	4374.453		
14	1293.064	2259.397	1812.006	2787.149	2582.483	638.759	1140.077	912.202	2007.482	1287.512	523.005	3227.222	4359.688	3214.988	4241.379		
15	1345.356	2432.409	1867.49	2796.033	2746.899	656.001	1201.731	933.001	1948.42	1330.48	508.605	3302.07	4571.448	3130.279	4079.344		
16	1424.639	2616.172	1940.754	2769.508	2896.54	673.681	1277.648	979.204	1921.664	1371.917	512.86	3465.219	4734.035	3091.264	4016.088		
17	1513.719	2774.237	2011.134	2715.45	3021.295	691.906	1309.278	1016.936	1942.923	1405.1	512.981	3635.183	4768.757	3098.925	3998.292		
18	1601.503	2901.718	2097.375	2650.215	3088.187	695.253	1330.501	1029.42	1976.522	1430.366	529.041	3858.36	4754.643	3128.918	4076.209		
19	1687.232	2986.371	2144.334	2580.044	3079.69	693.179	1326.931	1019.797	2047.444	1433.482	532.964	4086.411	4651.78	3225.093	4222.729		
20	1744.661	3048.991	2180.178	2548.189	3055.065	689.975	1308.109	998.559	2231.166	1450.735	537.724	4286.563	4530.205	3401.929	4496.585		
21	1778.838	3061.312	2185.339	2554.65	2969.391	670.046	1276.562	958.292	2453.315	1459.494	555.034	4455.732	4391.414	3629.82	4786.557		
22	1790.106	3041.582	2175.349	2640.18	2893.151	657.298	1229.752	921.496	2614.017	1484.111	569.116	4508.761	4274.819	3871.594	5043.266		
23	1783.202	2990.15	2166.607	2792.567	2823.177	649.114	1200.408	898.018	2756.929	1514.115	576.763	4486.418	4249.74	4085.333	5286.57		
24	1770.284	3000.318	2145.692	2979.533	2774.23	634.676	1192.631	875.455	2833.253	1567.511	566.309	4425.909	4323.816	4210.118	5440.308		
25	1741.522	3040.122	2135.774	3195.523	2792.568	639.785	1234.444	877.757	2940.212	1663.231	595.085	4341.901	4575.151	4235.899	5482.501		
26	1749.929	3160.903	2136.398	3389.622	2899.48	657.285	1338.761	925.688	2965.319	1754.587	587.213	4297.766	4929.314	4276.128	5490.07		
27	1757.385	3318.835	2160.144	3522.031	3073.736	686.736	1478.823	986.266	2908.959	1852.88	582.449	4286.824	5329.029	4235.404	5347.676		
28	1787.143	3503.527	2190.729	3585.378	3288.478	724.261	1647.67	1056.808	2854.704	1914.595	565.582	4329.303	5673.752	4187.345	5176.964		
29	1846.715	3722.95	2245.052	3591.451	3506.904	740.628	1767.174	1112.616	2762.036	1977.073	571.941	4413.045	5924.115	4098.561	5017.123		
30	1924.016	3911.327	2306.232	3562.868	3666.002	766.138	1862.656	1184.761	2679.398	2008.128	582.203	4553.206	6056.589	4064.245	4928.999		
31	2012.255	4045.896	2350.221	3478.46	3761.209	795.608	1914.043	1226.103	2617.792	2021.008	595.964	4674.743	6046.159	4025.745	4854.538		
32	2075.98	4124.392	2386.033	3344.057	3790.182	805.988	1920.082	1214.851	2584.967	2012.151	605.543	4772.539	5918.657	4029.863	4837.212		
33	2116.853	4151.407	2402.138	3193.923	3764.659	803.915	1870.102	1208.155	2563.541	1962.494	627.872	4844.492	5758.372	4050.318	4848.407		
34	2134.938	4132.783	2394.434	3065.054	3661.58	797.541	1803.585	1151.896	2623.658	1922.478	643.161	4929.336	5513.71	4169.318	4881.476		
35	2155.605	4063.21	2389.298	2957.39	3562.35	785.001	1741.298	1109.131	2760.852	1882.148	678.91	5025.021	5297.292	4343.675	4966.169		
36	2138.792	3980.161	2373.384	2897.411	3443.887	770.673	1661.824	1025.498	2969.995	1855.192	704.462	5038.146	5101.398	4596.351	5089.626		
37	2147.59	3895.695	2353.187	2898.706	3370.341	759.381	1600.686	971.016	3218.896	1874.566	708.858	5056.47	4988.682	4862.937	5264.62		
38	2121.818	3852.119	2361.529	2964.417	3321.3	760.149	1551.733	967.369	3585.497	1933.362	719.185	5055.233	4977.699	5099.037	5488.446		
39	2123.27	3850.025	2393.972	3111.195	3374.458	770.793	1564.498	988.613	3836.071	2077.14	745.2	5040.895	5141.771	5311.854	5730.165		
40	2156.329	3940.289	2454.116	3284.928	3469.193	817.89	1689.297	1055.052	4150.89	2252.086	752.625	5097.094	5513.957	5505.715	5997.555		
41	2182.895	4148.484	2532.48	3529.082	3651.986	858.862	1849.007	1130.923	4324.263	2467.85	744.848	5232.881	5981.275	5662.072	6282.254		
42	2234.2	4377.276	2628.844	3773.072	3852.38	903.242	2097.635	1209.774	4308.882	2629.886	717.655	5466.15	6477.811	5742.03	6446.318		
43	2324.149	4650.14	2714.966	3966.745	4052.605	938.266	2300.133	1281.353	4332.544	2789.727	728.586	5618.928	6818.638	5737.481	6487.905		
44	2423.851	4910.612	2794.64	4087.25	4188.161	973.238	2490.029	1333.434	4254.117	2810.884	727.044	5786.592	7016.026	5704.681	6497.592		
45	2521.686	5089.173	2815.915	4131.711	4218.867	986.871	2571.039	1372.315	4142.403	2836.532	734.93	5861.181	7084.663	5576.63	6442.097		
46	2596.305	5194.252	2787.714	4093.161	4221.382	1004.567	2662.994	1347.131	4007.879	2782.19	725.317	5837.182	6998.288	5379.755	6329.458		
47	2638.956	5175.465	2754.279	3990.427	4123.865	997.437	2622.837	1317.823	3848.072	2708.107	731.309	5761.62	6834.001	5224.214	6154.492		
48	2662.271	5105.056	2687.732	3823.128	4009.015	983.373	2529.11	1297.207	3673.54	2592.655	746.282	5680.465	6585.679	5091.903	5993.426		
49	2654.912	4988.835	2625.892	3655.571	3878.052	959.66	2422.796	1236.083	3531.942	2443.685	761.528	5593.574	6307.374	5023.243	5772.706		
50	2607.751	4820.53	2576.094	3515.078	3761.801	932.804	2291.993	1189.521	3441.355	2345.453	788.694	5545.379	6029.518	5036.073	5614.902		
51	2564.612	4692.631	2538.146	3355.066	3672.714	925.583	2158.793	1166.229	3424.671	2280.818	830.633	5544.152	5799.458	5226.574	5493.729		
52	2501.401	4530.393	2531.843	3244.262	3629.917	930.33	2080.98	1129.885	3521.875	2287.992	872.355	5575.427	5639.091	5490.613	5459.408		
53	2435.796	4426.557	2570.332	3155.074	3668.287	951.353	1988.062	1143.606	3725.419	2366.064	929.32	5708.475	5613.501	5891.874	5549.586		
54	2399.066	4403.216	2658.385	3119.829	3803.131	996.674	2011.608	1181.014	4109.849	2552.863	958.882	5917.11	5797.162	6417.42	5769.311		
