TIME	20180119_W02	20180119_W03	20180119_W04	20180119_W05	20180127_DB_W02	20180127_DB_W03	20180127_DB_W04	20180127_DB_W05	20180518_W02	20180518_W03	20180518_W04	20180518_W05	20180518_W06	20180519_W07	20180519_W02	20180519_W03	20180519_W04	20180519_W05	20180519_W06	20180519_W07
0	3555.424	2265.727	2541.548	3985.799	1295.935	962.97	790.98	1162.551	1431.147	2944.131	1771.968	1899.721	2249.28	2901.184	1519.071	2119.539	2501.796	1075.385	1440.547	1580.859
1	3568.857	2333.106	2541.698	4039.263	1319.711	981.791	809.433	1172.342	1525.467	2953.735	1753.867	2056.796	2369.358	3081.654	1529.127	2222.253	2515.597	1063.235	1528.325	1666.159
2	3532.981	2338.486	2511.386	4166.5	1344.206	1007.033	827.956	1184.747	1693.64	3044.913	1808.975	2307.116	2542.437	3240.577	1556.881	2370.083	2542.84	1079.249	1633.363	1750.246
3	3562.177	2318.317	2534.368	4282.998	1388.049	1039.689	860.888	1192.236	1859.914	3130.154	1856.166	2620.592	2788.082	3396.785	1580.198	2547.658	2619.242	1062.792	1725.726	1829.891
4	3654.236	2271.677	2556.591	4462.358	1424.958	1085.78	903.869	1226.36	2032.849	3247.405	1897.088	2922.243	3074.324	3566.519	1605.286	2742.103	2756.522	1055.157	1819.065	1898.36
5	3710.022	2260.723	2673.28	4842.773	1487.494	1145.582	946.897	1271.232	2092.333	3387.56	1958.698	3187.854	3359.105	3670.217	1634.211	2930.788	2957.231	1057.062	1926.755	1966.453
6	3785.725	2240.757	2710.947	5237.229	1560.969	1197.783	982.119	1325.911	2205.003	3675.968	2097.073	3374.533	3529.783	3716.831	1648.469	3084.138	3209.024	1089.981	1951.31	2047.083
7	3828.225	2261.405	2754.064	5752.479	1637.367	1273.615	1029.228	1405.898	2259.564	4024.335	2299.612	3515.973	3774.773	3929.582	1622.849	3170.446	3531.193	1136.556	2032.327	2135.012
8	3894.343	2298.769	2781.088	6308.237	1729.862	1370.989	1044.617	1499.693	2293.039	4327.472	2513.971	3542.798	3851.353	4150.311	1633.15	3207.794	3815.987	1171.343	2104.795	2187.593
9	3895.451	2362.295	2826.329	6972.841	1832.497	1488.604	1068.121	1612.202	2320.966	4610.941	2810.1	3577.98	4003.603	4599.602	1594.965	3225.99	4021.818	1224.441	2239.616	2247.818
10	3962.897	2446.056	2816.1	7434.239	1918.202	1589.015	1069.361	1697.234	2421.457	4777.74	3073.955	3563.005	4033.386	5081.047	1575.583	3183.19	4131.706	1281.799	2471.998	2352.708
11	3992.625	2467.464	2746.212	7826.19	2025.522	1695.333	1076.369	1777.872	2643.394	5018.316	3344.597	3525.24	4027.741	5611.812	1557.629	3197.818	4153.128	1369.49	2739.516	2486.408
12	4028.63	2493.987	2733.694	8179.017	2076.309	1748.501	1081.389	1838.842	2844.589	4996.693	3561.382	3657.479	4160.007	6109.009	1582.014	3222.644	4107.539	1445.764	3011.764	2678.763
13	4118.925	2520.138	2763.395	8421.279	2178.04	1834.808	1129.138	1905.546	3163.903	5010.615	3670.782	3825.07	4298.999	6569.301	1603.562	3283.637	3980.852	1484.274	3271.421	2884.558
14	4124.156	2506.948	2787.961	8591.302	2229.348	1881.223	1167.836	1938.316	3440.371	4992.479	3778.966	4206.235	4603.609	6821.259	1654.382	3451.161	3893.943	1538.891	3485.093	3170.718
15	4229.029	2494.582	2833.467	8684.016	2219.033	1876.047	1204.711	1940.63	3676.685	4908.567	3793.428	4700.159	4930.744	6931.921	1700.538	3651.836	3844.506	1628.632	3650.913	3422.891
16	4411.464	2485.799	2897.192	8807.378	2148.459	1791.709	1175.55	1870.015	3847.477	4975.145	3859.719	5175.055	5260.909	6818.608	1762.48	3889.265	3891.148	1760.506	3785.727	3678.654
17	4497.709	2404.89	2953.823	9042.496	2136.762	1770.063	1207.949	1829.641	3879.321	5102.138	3898.102	5573.642	5661.987	6791.405	1798.332	4139.911	4098.379	1855.849	3823.566	3911.786
18	4719.721	2383.747	3062.713	9563.812	2143.502	1758.201	1245.435	1829.086	3901.113	5329.272	3898.433	5767.467	5953.278	6667.726	1844.284	4344.44	4438.922	1993.712	3845.819	4106.276
19	4900.821	2373.362	3167.444	10421.305	2168.123	1781.815	1279.226	1836.679	3784.135	5609.748	3877.779	5808.261	6114.305	6633.871	1877.284	4538.77	4827.737	2158.051	3832.26	4260.865
20	5250.352	2428.236	3265.268	11280.696	2216.441	1820.48	1296.232	1855.021	3740.686	6079.729	4024.391	5872.762	6183.451	6761.578	1859.385	4559.045	5179.843	2380.709	3854.575	4394.033
21	5549.143	2482.718	3253.812	12063.689	2276.006	1895.782	1301.526	1902.478	3707.152	6504.604	4132.2	5702.752	6112.795	7027.73	1828.889	4481.204	5400.73	2619.352	3923.658	4459.282
22	5741.885	2532.578	3285.234	12869.656	2364.154	2000.486	1294.918	1968.4	3726.838	6963.398	4437.625	5599.916	6090.768	7439.28	1797.852	4429.786	5549.876	2899.502	4094.125	4576.814
23	6027.817	2614.956	3273.336	13383.709	2472.614	2102.824	1288.46	2045.344	3804.577	7195.784	4574.32	5430.897	5979.308	8126.978	1771.791	4354.462	5579.81	3162.135	4347.849	4674.504
24	6245.126	2711.231	3294.826	13659.729	2586.896	2199.544	1275.798	2133.624	4077.692	7363.062	4790.972	5466.438	6028.871	8835.879	1733.65	4230.429	5474.891	3321.347	4540.307	4644.676
25	6433.111	2770.311	3307.689	13536.971	2643.278	2257.74	1263.667	2200.097	4406.299	7429.888	5069.972	5685.085	6140.755	9343.297	1741.746	4259.713	5349.641	3502.216	4962.945	4985.17
26	6548.455	2753.671	3354.541	13339.884	2713.499	2287.635	1262.839	2265.791	4846.174	7519.284	5306.929	6222.472	6377.889	9689.841	1768.689	4307.426	5228.659	3605.778	5231.606	5239.915
27	6601.08	2747.697	3500.007	13195.655	2743.885	2279.209	1261.309	2280.7	5149.629	7426.183	5503.676	6853.528	6746.723	9784.118	1794.645	4511.346	5170.33	3603.317	5371.8	5592.993
28	6796.358	2772.802	3692.283	13020.237	2809.86	2309.199	1338.859	2366.714	5472.616	7324.108	5681.702	7590.551	7244.745	9760.802	1850.444	4734.163	5139.171	3517.718	5307.875	5856.587
29	6931.623	2728.028	3817.153	12763.188	2802.094	2274.897	1389.091	2363.884	5601.979	7289.266	5856.902	8202.309	7778.633	9722.862	1896.841	5112.754	5458.237	3588.772	5320.093	6309.463
30	7120.675	2683.807	3968.469	12990.129	2787.219	2250.309	1423.249	2367.412	5572.414	7349.251	5958.456	8441.785	8074.227	9317.774	1944.999	5449.27	5877.626	3594.05	5228.664	6587.839
31	7405.566	2667.571	4064.868	13603.875	2750.198	2173.172	1413.327	2283.691	5540.914	7494.389	6100.512	8625.526	8537.413	9163.165	1942.938	5686.196	6379.717	3624.156	5093.138	6829.657
32	7701.604	2680.821	4142.329	14493.789	2742.837	2176.126	1427.46	2265.952	5341.635	7706.82	6132.646	8492.1	8793.369	9034.319	1952.202	5823.598	6827.963	3786.503	4930.153	6958.959
33	8261.545	2778.28	4218.673	15372.777	2764.675	2212.534	1447.12	2254.083	5246.395	8232.196	6394.494	8315.957	8872.327	9053.359	2034.998	6168.303	7351.993	4177.099	4908.707	7147.476
34	8832.825	2856.382	4217.342	16374.292	2837.427	2314.742	1448.879	2292.599	5057.034	8760.041	6569.548	8090.396	8919.673	9520.824	2026.989	6221.456	7538.742	4498.244	4896.096	7188.483
35	9463.215	3021.218	4244.203	16955.621	2919.152	2442.376	1453.296	2319.026	5029.086	9132.059	6726.666	7841.516	8567.758	9894.511	2040.998	6167.376	7604.482	4837.627	5061.145	7256.79
36	9951.556	3095.305	4180.967	17073.424	3034.062	2608.055	1447.696	2406.843	5090.075	9540.333	7040.64	7697.258	8489.365	10635.56	2051.99	6094.309	7522.61	5160.243	5392.392	7345.979
37	10273.486	3151.31	4188.261	16966.197	3144.959	2743.996	1438.095	2500.738	5331.539	9864.046	7240.426	7762.918	8358.641	11202.643	2116.899	6029.659	7309.301	5327.707	5827.293	7456.596
