TIME	20180119_W06	20180127_DB_W08	20180127_DB_W09	20180127_DB_W11	20180127_DB_W13	20180518_W08	20180518_W09	20180518_W10	20180518_W11	20180518_W12	20180518_W13	20180519_W08	20180519_W09	20180519_W10	20180519_W11	20180519_W12	20180519_W13
0	2852.429	959.824	1037.892	1178.027	901.848	1573.546	2861.151	917.496	1715.592	1451.415	1243.005	1094.952	2522.371	1183.181	1066.28	2482.057	1169.594
1	2946.53	975.621	1039.527	1215.065	910.509	1649.835	3069.693	1031.924	1908.832	1559.736	1223.387	1120.06	2590.21	1184.802	1121.968	2646.012	1188.552
2	3114.924	1007.137	1039.557	1260.971	921.316	1725.134	3310.98	1090.885	2058.823	1672.826	1217.846	1144.904	2724.273	1169.916	1193.512	2804.006	1197.734
3	3271.037	1026.254	1057.255	1304.402	953.542	1808.086	3662.419	1146.347	2215.328	1758.123	1180.611	1162.493	2940.174	1152.28	1280.63	2888.769	1206.576
4	3509.577	1050.613	1098.527	1360.013	991.963	1872.342	3882.675	1199.136	2327.925	1897.542	1187.793	1193.748	3220.707	1123.078	1333.75	2918.283	1217.994
5	3727.921	1077.782	1148.555	1426.426	1040.822	1921.961	4098.497	1293.745	2435.52	2034.543	1181.075	1218.47	3535.771	1133.684	1432.752	2943.786	1251.552
6	3901.915	1106.353	1205.41	1517.318	1093.605	1926.177	4232.513	1367.384	2461.143	2150.641	1208.874	1232.604	3774.937	1190.668	1550.8	2915.637	1301.384
7	4086.472	1131.136	1295.022	1619.046	1163.806	1899.642	4202.043	1398.151	2454.735	2248.345	1228.307	1222.939	3931.934	1208.85	1596.644	2915.392	1399.702
8	4210.691	1167.784	1375.021	1727.233	1249.94	1886.884	4257.319	1438.874	2496.728	2268.81	1216.271	1231.743	4042.823	1232.76	1614.439	2900.259	1508.91
9	4292.868	1209.081	1444.092	1834.544	1320.704	1900.535	4204.729	1463.959	2594.515	2259.908	1251.823	1242.967	4056.205	1247.415	1596.059	2985.878	1678.215
10	4331.125	1270.4	1519.627	1962.233	1409.393	1919.114	4214	1515.895	2807.847	2300.397	1272.485	1261.213	4031.516	1242.896	1588.363	3192.83	1891.546
11	4455.777	1333.119	1582.11	2063.212	1498.981	2017.725	4343.164	1560.475	3068.815	2370.424	1263.25	1292.301	3937.375	1230.123	1595.982	3462.037	2097.541
12	4599.258	1384.086	1630.188	2126.541	1587.611	2133.616	4631.827	1581.682	3366.822	2523.039	1257.025	1342.028	3831.492	1197.309	1597.312	3779.962	2304.951
13	4873.257	1458.413	1706.838	2201.993	1657.846	2330.273	5096.442	1602.875	3709.929	2775.682	1249.489	1407.005	3769.084	1188.672	1629.902	4010.315	2468.741
14	5147.359	1466.65	1707.384	2215.983	1711.03	2501.048	5563.325	1652.971	3878.341	3010.582	1243.623	1489.391	3856.731	1195.857	1687.084	4221.279	2657.315
15	5408.135	1480.809	1702.964	2181.297	1736.556	2669.317	6147.877	1824.302	4069.132	3298.87	1253.185	1551.612	4023.105	1194.453	1753.675	4301.197	2778.565
16	5690.313	1454.701	1681.953	2156.354	1769.68	2729.531	6444.062	1953.193	4133.668	3506.678	1230.941	1616.604	4387.39	1216.946	1848.912	4318.427	2870.684
17	5960.44	1447.642	1702.269	2157.807	1812.185	2864.484	6835.864	2180.394	4121.669	3642.261	1244.585	1649.516	4755.724	1249.554	1923.013	4227.521	2918.409
18	6222.893	1436.284	1734.702	2179.428	1850.936	2892.979	6806.807	2338.503	4068.972	3773.689	1267.039	1671.337	5036.567	1265.704	1967.302	4097.9	2932.781
19	6334.609	1439.984	1795.401	2189.718	1910.128	2943.43	6867.684	2465.677	3915.637	3734.404	1268.715	1690.792	5310.226	1303.226	2051.142	4054.559	3043.944
20	6264.468	1427.115	1862.411	2194.087	1961.427	2918.047	6646.412	2527.038	3805.747	3722.152	1294.305	1674.406	5392.082	1304.974	2079.438	3928.357	3033.392
21	6207.802	1429.582	1956.772	2230.203	2034.818	2924.757	6564.646	2623.062	3893.848	3699.311	1294.879	1650.771	5356.501	1296.121	2079.175	3884.187	3119.759
22	6132.879	1452.629	2077.804	2278.17	2107.164	2926.301	6423.906	2658.225	4068.741	3671.179	1304.433	1646.164	5255.737	1279.877	2057.181	3942.856	3285.672
23	6087.205	1493.411	2196.809	2379.483	2210.733	3016.043	6517.572	2671.339	4419.376	3699.899	1319.86	1685.104	5119.784	1247.229	2026.688	4142.825	3522.174
24	6051.114	1569.199	2288.463	2476.951	2304.203	3169.622	6696.785	2658.745	4888.524	3821.154	1322.106	1675.231	4828.702	1214.782	1986.036	4471.181	3800.119
25	6201.532	1615.996	2353.041	2575.243	2421.513	3402.226	7213.742	2701.243	5444.906	4101.301	1309.045	1802.609	4865.185	1210.709	1985.541	4829.475	4044.741
26	6450.656	1688.892	2413.78	2675.532	2494.616	3771.134	7926.275	2749.97	5866.484	4421.43	1302.798	1911.04	4924.926	1223.131	2070.211	5391.66	4438.603
27	6804.056	1735.285	2441.577	2773.045	2594.356	4174.545	8665.772	2703.958	6102.914	4777.648	1307.406	2025.75	5174.289	1263.088	2139.282	5722.888	4578.702
28	7262.751	1831.172	2467.497	2864.054	2660.678	4541.751	9258.803	2820.868	6211.925	5214.692	1292.559	2153.265	5554.757	1291.526	2252.073	5889.506	4651.419
29	7625.388	1859.302	2444.044	2916.407	2689.853	4896.679	9799.009	2992.621	6101.769	5504.622	1319.412	2283.133	6145.817	1362.422	2370.86	5984.176	4678.926
30	8030.042	1867.991	2425.445	2915.578	2683.378	4985.838	10011.187	3263.001	6105.563	5756.697	1359.098	2335.302	6550.895	1435.11	2480.39	5874.644	4611.376
31	8229.78	1836.814	2398.753	2954.264	2698.4	5034.321	9824.411	3424.825	5900.198	5825.929	1406.253	2389.475	6957.542	1499.523	2597.118	5743.576	4452.854
32	8352.93	1815.569	2384.125	2992.83	2697.268	5027.294	9734.496	3606.342	5678.098	5764.892	1445.803	2385.694	7148.865	1539.619	2666.275	5576.607	4370.661
33	8150.735	1788.407	2364.138	2996.631	2697.701	4870.741	9293.475	3726.499	5395.229	5664.678	1484.39	2421.878	7191.08	1594.442	2716.247	5356.769	4241.111
34	8084.629	1776.545	2349.625	2983.947	2709.412	4815.583	9007.942	3761.779	5220.843	5382.89	1500.975	2416.147	7044	1563.27	2714.899	5180.045	4143.963
35	7870.457	1763.052	2324.112	2971.313	2742.151	4550.512	8652.289	3846.677	5397.044	5277.728	1512.997	2428.965	6904.582	1546.946	2620.317	4952.477	4038.809
36	7706.272	1760.342	2325.925	2966.15	2784.004	4382.447	8365.775	3750.194	5646.557	5217.442	1547.194	2461.087	6662.699	1550.781	2664.958	5061.026	4240.531
37	7561.038	1779.211	2323.578	2995.767	2877.693	4197.057	8385.318	3621.538	6180.241	5186.95	1542.958	2528.416	6440.722	1528.803	2608.022	5127.281	4444.738
38	7696.939	1820.655	2340.129	3075.309	3019.467	4022.327	8606.224	3543.796	6825.395	5365.698	1545.672	2628.428	6260.09	1528.466	2530.861	5383.283	4716.881
39	7930.769	1874.092	2391.917	3213.355	3219.717	4053.05	9307.27	3535.553	7456.933	5697.309	1554.879	2792.979	6284.583	1594.725	2563.087	5865.444	5284.266
40	8368.755	1945.129	2462.208	3389.595	3424.531	4120.012	10025.678	3624.134	8077.532	6256.722	1583.091	2961.818	6508.562	1648.023	2586.384	6301.672	5676
41	8871.035	2040.856	2567.658	3604.782	3640.551	4440.178	10778.392	3691.549	8415.812	6843.247	1645.242	3171.862	7010.925	1747.461	2674.119	6850.693	6038.941
42	9502.467	2151.188	2701.688	3859.49	3890.694	4990.853	11724.913	3904.689	8479.199	7240.234	1699.564	3313.956	7496.342	1852.089	2801.651	7206.887	6200.819
43	10286.739	2284.966	2851.108	4061.927	4101.083	5558.381	12203.564	4217.551	8436.668	7716.486	1781.984	3488.314	8141.321	1973.66	3030.895	7418.042	6248.988
44	11012.653	2377.045	2979.254	4224.298	4234.712	6267.029	12481.149	4554.337	8176.834	7848.229	1851.309	3571.882	8612.643	2047.397	3298.63	7479.787	6240.035
45	11460.193	2464.674	3062.684	4353.549	4364.59	6719.765	12652.519	4979.77	8061.649	7998.346	1931.652	3535.724	8756.542	2078.091	3540.315	7396.061	6082.493
46	11639.009	2508.594	3110.319	4386.425	4432.031	7130.797	12385.765	5175.217	7757.131	8004.666	2006.69	3605.938	9048.991	2148.947	3809.781	7315.206	5946.913
47	11561.766	2543.128	3121.505	4371.754	4474.735	7289.689	12047.09	5427.253	7486.384	7755.914	1999.949	3553.294	8940.204	2138.234	3907.484	6999.167	5756.4
48	11452.398	2517.584	3068.93	4321.773	4497.706	7202.935	11543.302	5420.037	7191.542	7503.608	2035.383	3513.755	8721.791	2140.204	3999.235	6773.012	5567.773
49	11262.694	2502.586	3030.497	4219.465	4474.93	7175.64	11150.065	5434.337	6985.336	7155.813	1991.152	3526.28	8521.466	2145.244	4044.483	6566.72	5408.468
50	11162.551	2448.094	2943.231	4096.394	4466.605	6929.698	10640.015	5337.941	7077.782	7012.58	2033.776	3492.94	8224.501	2137.798	3961.012	6302.829	5194.911
51	10740.761	2410.661	2860.426	3987.768	4506.378	6482.299	10133.284	5210.291	7280.033	6869.778	2029.041	3350.759	7689.422	2118.389	3828.423	6074.38	5111.751
52	10504.213	2362.448	2759.189	3893.768	4600.086	6186.314	9990.436	5085.478	7555.008	6688.933	2027.887	3358.814	7395.465	2135.4	3684.917	5985.817	5138.034
53	10127.729	2345.867	2670.074	3847.437	4784.23	5845.979	9894.901	4917.709	8228.97	6838.408	2078.394	3471.068	7385.416	2200.825	3614.444	6059.244	5481.556
54	10126.862	2359.517	2627.801	3905.415	5065.421	5499.407	10129.663	4757.307	8967.476	7092.388	2164.828	3459.032	7164.162	2272.271	3448.977	6138.6	5805.128
55	10483.013	2424.39	2612.748	3998.102	5361.637	5244.996	10915.947	4768.149	10001.862	7523.74	2244.222	3631.871	7448.673	2375.625	3387.412	6489.707	6432.925
56	11193.271	2555.525	2680.906	4201.19	5708.345	5060.614	11736.234	4834.892	10671.927	8088.933	2371.472	3742.536	7624.603	2454.61	3365.656	6833.382	6943.232
57	11963.694	2694.353	2772.664	4399.316	6006.457	4883.427	12559.379	4870.363	11083.709	8811.228	2529.754	3791.575	7846.233	2459.96	3349.335	7170.093	7460.586
58	12927.996	2909.856	2996.403	4632.423	6332.292	4850.707	13515.52	4961.688	11489.544	9471.949	2633.608	4009.626	8458.106	2552.671	3511.683	7631.028	7926.494
59	13904.945	3083.765	3188.71	4797.921	6452.009	4973.961	14525.101	5220.176	11566.001	9952.615	2726.602	4120.152	8871.3	2605.036	3693.156	7946.77	8199.69
60	14540.738	3247.495	3392.629	4881.819	6494.052	5138.012	15110.043	5456.868	11688.424	10482.515	2785.465	4220.732	9219.989	2625.231	3911.729	8103.377	8223.625
61	14967.737	3339.014	3542.424	4899.227	6423.087	5196.554	15166.313	5652.807	11591.223	10585.154	2774.83	4283.251	9363.55	2615.879	4133.172	8138.026	8171.799
62	14865.434	3430.602	3674.444	4893.623	6336.965	5355.822	14973.667	5691.084	11028.809	10374.104	2781.247	4306.333	9382.635	2627.174	4299.238	7993.594	7943.589
63	14778.834	3459.097	3715.355	4778.127	6208.087	5305.682	14503.288	5618.164	10521.996	10217.661	2787.034	4238.66	9188.146	2631.509	4330.936	7764.325	7670.953
64	14732.89	3430.544	3710.441	4636.261	5988.868	5291.295	14005.244	5524.566	9878.505	9810.656	2740.321	4083.056	8792.266	2616.21	4263.551	7375.129	7305.238
65	14202.207	3294.414	3638.395	4480.098	5821.705	5232.587	13568.007	5424.978	9536.599	9408.973	2690.298	4101.565	8760.904	2687.991	4271.427	7248.334	7081.734
66	13773.365	3199.224	3516.795	4323.459	5643.874	5023.816	13003.023	5280.521	9188.239	9119.059	2697.798	3929.844	8305.598	2681.357	4099.834	6823.76	6719.456
67	13306.62	3099.794	3398.784	4183.489	5563.865	4826.159	12259.661	4998.223	9033.311	8856.575	2753.413	3894.396	8138.096	2723.284	3985.379	6705.861	6529.211
68	12902.169	2971.447	3281.499	4010.679	5501.12	4648.681	11832.259	4809.936	9270.488	8665.256	2854.08	3797.508	7775.616	2726.992	3826.279	6548.452	6352.143
69	12526.971	2883.967	3164.96	3932.196	5551.469	4442.48	11656.121	4622.189	9912.861	8515.774	2952.727	3765.155	7584.928	2745.724	3637.682	6502.779	6372.452
70	12743.053	2874.819	3063.293	3874.688	5616.474	4225.879	11439.468	4410.441	10861.932	8667.995	3141.952	3852.737	7537.185	2790.095	3529.538	6623.408	6553.459
71	12853.049	2909.674	2999.735	3863.885	5801.223	4066.257	11550.298	4337.689	12035.118	9027.25	3361.806	3957.039	7613.354	2828.041	3413.516	6872.588	6848.149
72	13130.173	2971.116	2922.864	3862.429	5917.464	3894.011	11999.532	4319.94	13294.637	9404.593	3481.622	4161.35	7793.467	2845.973	3371.306	7146.345	7240.026
73	13678.163	3112.065	2939.415	3916.394	6056.206	3838.292	12557.059	4291.146	14208.131	9832.629	3602.054	4346.201	8099.388	2920.704	3331.05	7514.879	7737.087
74	14001.403	3226.996	2926.9	3913.53	6080.896	3767.326	13278.771	4401.849	15364.681	10482.637	3713.706	4677.98	8727.225	3044.988	3407.955	8043.606	8295.511
75	14345.216	3370.46	2947.137	3932.815	6084.696	3774.746	13917.076	4504.307	15604.844	10780.201	3773.409	4912.889	9217.382	3129.664	3455.294	8399.726	8619.039
76	14360.703	3455.948	2956.667	3957.99	6036.789	3664.375	13924.692	4548.214	15903.682	11053.228	3730.961	5074.138	9755.401	3197.012	3504.995	8601.659	8839.502
77	14530.948	3546.086	2986.447	3957.731	5956.446	3653.078	13888.835	4502.317	15356.99	11002.903	3731.386	5121.227	10015.421	3235.959	3514.34	8695.373	8811.285
78	14332.64	3542.585	2974.602	3896.628	5786.924	3604.742	13557.74	4434.287	14844.016	10899.531	3616.512	5069.062	10058.875	3231.17	3493.931	8656.233	8792.378
79	14010.666	3532.507	2950.554	3820.93	5611.563	3533.952	13245.062	4411.067	14506.458	10744.853	3527.399	4922.31	9884.752	3179.681	3437.237	8481.425	8604.962
80	13311.986	3419.631	2879.26	3729.749	5454.894	3525.355	12858.264	4276.384	13728.894	10310.961	3477.587	4773.892	9704.686	3146.921	3367.224	8248.267	8320.048
