TIME	20170929_W07	20170929_W08	20170929_W09	20170929_W10	20170929_W11	20170929_W12	20190619_W06	20190619_W07	20190619_W08	20190619_W09	20190619_W10	20190702_W06	20190702_W07	20190702_W08	20190702_W09
0	1457.756	1009.786	692.518	1196.649	1524.879	1098.474	886.162	1287.73	1482.095	744.263	929.062	722.139	1543.62	1023.004	1145.415
1	1521.014	996.44	702.328	1218.562	1579.338	1118.281	891.173	1281.509	1453.966	753.779	951.855	739.193	1467.851	981.702	1108.072
2	1575.704	1015.178	716.147	1245.226	1665.172	1150.643	906.954	1275.014	1455.372	769.425	970.828	764.072	1430.246	947.827	1087.29
3	1628.65	1038.359	730.019	1276.151	1745.829	1162.638	928.107	1271.112	1465.715	771.052	983.201	778.727	1385.351	931.431	1034.86
4	1689.166	1048.583	752.283	1275.629	1825.057	1170.305	930.279	1282.988	1482.477	773.684	997.282	799.402	1362.828	934.518	988.045
5	1729.163	1041.043	766.738	1274.29	1874.297	1181.675	910.147	1353.606	1575.964	798.093	1016.439	802.624	1370.49	915.956	945.207
6	1759.698	1041.64	796.645	1280.215	1915.395	1182.102	891.009	1439.093	1707.991	805.568	1004.728	800.446	1426.203	902.255	926.383
7	1786.276	1042.469	809.295	1253.743	1897.584	1186.211	876.869	1569.386	1868.47	828.46	1014.051	806.028	1519.042	936.235	916.879
8	1820.688	1043.378	822.863	1230.199	1875.587	1186.491	887.073	1711.956	2001.269	838.064	1024.247	804.138	1686.116	964.186	940.338
9	1859.175	1041.884	832.893	1228.511	1826.356	1171	864.712	1824.416	2129.13	851.789	1042.948	831.435	1848.213	1014.231	999.388
10	1916.353	1021.097	839.758	1234.35	1766.897	1159.326	834.536	1890.026	2227.132	856.44	1074.345	859.413	1967.499	1085.05	1083.225
11	1965.747	1009.964	839.77	1233.953	1721.555	1161.926	840.388	1918.873	2238.297	872.757	1128.814	902.683	2079.597	1171.063	1183.41
12	2060.419	1018.303	834.451	1260.464	1706.091	1158.164	840.742	1926.764	2262.638	883.253	1189.164	979.908	2148.497	1253.932	1264.048
13	2160.23	1029.392	855.288	1289.826	1752.977	1202.584	856.224	1891.462	2224.188	922.481	1265.39	1037.781	2190.795	1321.001	1341.544
14	2324.762	1077.575	905.93	1325.469	1829.531	1250.497	893.965	1864.603	2214.432	951.74	1345.73	1135.987	2206.732	1376.018	1361.495
15	2480.367	1093.052	941.533	1376.741	1955.651	1283.615	921.958	1836.831	2184.455	965.34	1419.984	1195.154	2177.891	1395.026	1372.659
16	2619.528	1101.497	956.881	1384.178	2039.885	1310.65	944.318	1807.035	2204.09	978.315	1420.291	1266.056	2140.175	1413.803	1353.869
17	2698.302	1094.397	966.19	1724.338	2128.025	1500.3	944.295	1815.394	2221.152	985.172	1429.037	1303.892	2088.87	1409.978	1334.456
18	2791	1086.11	979.96	1670.615	2195.51	1565.37	942.765	1869.275	2324.292	1014.296	1405.039	1313.055	2032.699	1375.596	1261.777
19	2851.944	1079.914	982.74	1551.231	2251.659	1615.373	933.53	1983.381	2428.016	1031.903	1388.859	1305.892	2020.6	1352.777	1196.623
20	2882.242	1078.676	990.316	1454.503	2215.634	1617.972	930.236	2093.194	2587.186	1076.555	1367.21	1268.968	1967.612	1309.463	1166.303
21	2862.101	1065.192	987.547	1464.712	2178.537	1606.193	916.487	2168.517	2695.615	1114.416	1360.724	1250.368	1958.653	1288.324	1143.554
22	2830.797	1051.811	1007.604	1470.816	2112.145	1512.837	914.75	2235.75	2740.089	1152.031	1391.475	1219.957	1976.068	1293.928	1118.888
23	2786.976	1044.441	1026.24	1477.69	2040.737	1361.821	900.275	2267.341	2797.584	1191.908	1432.579	1213.421	2023.465	1339.159	1121.371
24	2771.992	1053.49	1005.662	1492.117	2005.907	1199.105	907.723	2255.943	2789.43	1229.566	1510.754	1185.695	2104.808	1399.218	1148.803
25	2778.639	1057.359	1017.059	1507.196	2031.292	1224.263	926.44	2224.312	2728.67	1248.526	1600.734	1179.188	2202.15	1506.873	1214.86
26	2821.489	1083.199	1037.547	1547.718	2099.285	1275.652	966.34	2144.526	2658.188	1295.211	1669.561	1191.997	2293.773	1607.664	1299.507
27	2913.408	1118.419	1044.213	1613.019	2178.029	1330.573	1008.134	2110.586	2598.262	1359.77	1745.478	1228.162	2363.719	1732.062	1376.417
28	3081.084	1160.56	1073.841	1693.292	2330.044	1378.865	1041.196	2086.61	2536.529	1386.16	1766.675	1305.686	2439.496	1789.706	1471.665
29	3313.442	1208.1	1186.964	1791.561	2515.507	1465.882	1072.058	2087.937	2539.292	1435.853	1768.017	1380.071	2502.083	1879.036	1558.404
30	3624.398	1283.176	1331.031	1896.964	2688.705	1528.062	1114.86	2205.493	2613.949	1483.657	1768.106	1510.34	2566.43	1938.428	1602.89
31	3870.106	1298.401	1428.463	1968.164	2860.301	1557.8	1149.998	2330.405	2693.581	1520.199	1748.393	1610.519	2582.443	1945.763	1615.903
