TIME	20170605_W01	20170605_W02	20170605_W03	20170605_W05	20180415_780_W02	20180415_780_W03	20180415_780_W05	20180421_DB_W02	20180421_DB_W03	20180421_DB_W05	20180421_DB_W06	20180421_NLO_W02	20180421_NLO_W03	20180421_NLO_W04	20180422_780_W02	20180422_780_W03	20180422_780_W05	20180429_DB_W02	20180429_DB_W03	20180429_DB_W04	20180429_DB_W05	20180505_780_W02	20180505_780_W03	20180505_780_W04
0	1619.628	1347.54	1315.091	2162.163	1493.682	1126.096	2777.67	1896.036	1258.231	1296.359	1414.495	1234.625	1117.31	1099.448	1472.098	1064.303	2040.676	3148.385	1648.192	1514.148	1291.827	1058.723	1126.402	723.534
1	1597.339	1332.331	1339.936	2243.406	1583.267	1150.391	2959.453	1967.648	1284.843	1260.04	1360.739	1232.281	1129.323	1114.831	1629.27	1126.782	2040.368	3123.244	1598.801	1582.317	1271.881	1036.07	1189.289	720.693
2	1609.98	1334.908	1391.699	2311.083	1668.773	1182.517	3124.999	2066.091	1302.757	1297.08	1347.341	1275.345	1135.873	1112.427	1930.456	1210.191	2093.224	3101.066	1607.17	1644.332	1271.741	1046.118	1214.576	747.546
3	1604.854	1327.946	1427.269	2369.175	1797.88	1243.08	3240.433	2178.213	1312.072	1367.302	1385.224	1282.619	1149.005	1134.115	2084.403	1298.773	2159.46	3124.415	1643.323	1693.916	1282.565	994.647	1221.684	742.393
4	1621.213	1323.532	1464.689	2419.398	1931.839	1268.832	3296.935	2295.385	1324.395	1426.627	1446.499	1307.305	1162.498	1122.766	2261.347	1446.014	2357.279	3189.564	1703.12	1758.019	1334.548	987.557	1256.102	745.852
5	1629.344	1313.419	1483.634	2446.601	2106.754	1323.16	3379.428	2397.65	1320.512	1483.241	1515.913	1402.484	1201.005	1131.971	2456.992	1542.291	2561.837	3291.312	1796.116	1820.998	1417.354	961.163	1289.37	737.618
6	1654.513	1318.095	1500.469	2467.21	2181.319	1359.644	3399.656	2521.195	1339.585	1577.707	1610.106	1532.187	1230.318	1151.57	2526.041	1621.579	2886.348	3452.451	1947.423	1939.379	1568.606	913.783	1298.034	721.754
7	1695.183	1330.421	1514.288	2471.801	2290.833	1423.917	3569.561	2626.347	1376.171	1663.504	1718.077	1702.899	1240.74	1151.394	2587.508	1662.197	3219.472	3698.291	2086.533	2090.273	1731.258	929.722	1355.88	720.171
8	1747.687	1359.361	1533.508	2481.89	2358.422	1499.213	3761.409	2714.915	1433.229	1765.83	1763.608	1916.655	1297.839	1141.041	2603.081	1630.266	3437.675	4046.135	2252.458	2272.46	1939.813	937.7	1380.553	718.644
9	1810.447	1384.952	1544.703	2514.856	2380.43	1509.79	4102.204	2843.372	1501.454	1838.414	1796.069	2124.006	1366.444	1174.086	2698.162	1616.688	3598.742	4475.917	2405.02	2489.706	2162.427	988.701	1463.568	725.04
10	1887.219	1424.851	1573.358	2632.737	2429.235	1500.268	4464.223	2959.418	1608.859	1919.696	1798.481	2269.382	1415.82	1201.674	2849.26	1624.379	3683.635	4917.546	2516.445	2751.1	2399.634	1041.227	1553.836	713.456
11	1959.693	1462.541	1607.325	2748.123	2440.067	1495.57	4821.455	3171.247	1734.767	1993.12	1798.26	2487.712	1445.562	1228.548	2986.452	1637.896	3704.891	5309.758	2612.974	2957.726	2567.121	1045.709	1642.105	714.213
12	2024.335	1496.036	1662.439	2869.594	2544.707	1506.327	5189.34	3436.784	1793.02	2076.849	1779.924	2708.159	1519.42	1279.443	3284.602	1716.112	3719.583	5633.614	2698.518	3282.069	2725.598	1111.427	1788.348	743.459
13	2104.979	1533.437	1742.012	3031.579	2619.978	1482.057	5314.25	3788.002	1870.12	2171.29	1802.944	2747.763	1556.9	1317.28	3550.766	1796.076	3672.201	5874.064	2763.638	3489.529	2851.289	1113.962	1875.671	736.671
14	2179.52	1580.24	1858.153	3131.006	2811.147	1499.497	5524.471	4173.657	1897.714	2292.453	1828.587	2769.03	1636.424	1332.387	3814.577	1948.925	3687.787	5967.889	2849.947	3630.826	2899.511	1116.164	2012.552	769.89
15	2240.253	1632.314	2016.48	3303.865	3017.094	1524.983	5470.049	4490.341	1910.967	2423.794	1870.807	2846.965	1733.388	1353.847	4109.112	2096.735	3877.47	5999.469	2942.541	3838.321	2978.046	1096.839	2103.363	781.667
16	2298.689	1654.097	2125.799	3325.68	3204.627	1599.527	5418.496	4784.203	1901.896	2551.234	1944.549	2888.612	1767.518	1337.076	4155.232	2170.714	4084.631	5970.983	3057.564	3921.455	2986.885	1076.761	2146.128	769.318
17	2341.047	1688.777	2226.012	3322.448	3487.688	1666.041	5409.592	5015.668	1884.269	2679.414	2056.34	2923.434	1857.6	1321.975	4217.245	2265.262	4510.596	5889.535	3226.1	3869.25	3007.196	1077.646	2238.132	779.918
