TIME	20190501_W01	20190501_W02	20190501_W03	20190501_W04	20190501_W06	20190503_W01	20190503_W02	20190503_W03	20190503_W04	20190503_W05
0	1586.926	1416.267	1330.12	1013.625	1260.646	989.39	548.065	1181.614	1170.951	530.015
1	1604.533	1404.233	1354.056	1024.793	1245.444	1008.271	546.664	1159.916	1126.987	523.43
2	1636.109	1401.205	1390.248	1058.928	1262.114	1052.493	545.284	1114.734	1069.404	525.317
3	1641.616	1400.748	1404.351	1086.923	1309.83	1113.227	557.306	1100.985	1058.628	530.476
4	1645.712	1368.177	1402.505	1119.173	1387.872	1177.52	587.578	1096.252	1037.703	535.993
5	1662.155	1389.335	1408.943	1156.896	1478.504	1266.404	618.704	1121.043	1039.531	564.772
6	1690.509	1424.738	1412.797	1177.643	1562.464	1345.348	638.073	1196.15	1060.182	567.879
7	1729.634	1464.17	1414.177	1202.769	1610.423	1380.802	656.775	1303.721	1084.861	579.476
8	1796.956	1550.493	1412.062	1217.43	1623.725	1442.503	675.297	1458.997	1114.81	584.346
9	1912.074	1656.061	1417.795	1225.17	1636.541	1449.011	694.736	1608.193	1137.661	573.245
10	2065.863	1786.745	1455.024	1249.714	1601.302	1449.609	681.021	1757.554	1179.478	556.767
11	2196.28	1934.927	1516.662	1288.573	1560.795	1453.915	679.779	1877.852	1213.036	558.033
12	2341.709	2034.011	1603.208	1343.091	1546.61	1471.845	709.662	1919.514	1237.932	547.399
13	2402.87	2118.994	1716.879	1396.838	1532.582	1482.454	692.593	1983.954	1272.555	551.278
14	2440.917	2186.514	1805.1	1487.11	1533.163	1558.141	711.066	2002.392	1309.179	560.1
15	2450.636	2229.648	1874.769	1575.578	1574.359	1618.264	732.939	1981.988	1342.043	587.112
16	2414.51	2290.975	1936.88	1666.332	1614.262	1782.195	802.343	1992.489	1414.971	639.439
17	2345.859	2278.32	1979.688	1715.738	1686.096	1918.379	866.47	1981.741	1465.752	676.918
18	2289.111	2291.047	1990.896	1738.621	1752.76	2099.93	916.818	1952.454	1489.769	691.358
19	2254.709	2330.78	1980.217	1754.628	1816.319	2180.565	978.402	1919.961	1495.771	692.424
20	2279.908	2412.297	1981.281	1771.205	1824.772	2317.408	1080.097	1992.161	1501.944	689.617
21	2352.037	2525.056	1965.286	1789.648	1817.301	2390.556	1150.242	2114.783	1509.895	677.213
22	2495.565	2718.961	1963.186	1821.498	1782.896	2418.309	1236.487	2269.308	1518.5	650.925
23	2647.176	2942.502	2051.883	1883.975	1760.792	2422.006	1299.16	2435.986	1527.321	609.036
24	2806.294	3081.887	2119.212	1985.236	1720.321	2359.297	1334.953	2586.269	1521.455	594.56
25	2888.706	3264.175	2230.022	2126.055	1717.352	2273.443	1366.472	2692.098	1536.283	574.967
26	2921.338	3399.487	2377.666	2325.731	1721.888	2259.887	1388.453	2756.195	1551.721	572.52
27	2931.919	3438.158	2463.769	2496.15	1735.921	2219.682	1375.415	2772.388	1582.746	565.281
28	2887.945	3458.267	2521.959	2611.507	1813.232	2266.414	1373.694	2694.41	1616.86	584.441
29	2812.198	3435.305	2552.806	2725.318	1899.018	2342.617	1385.225	2654.62	1665.44	631.599
30	2698.863	3364.378	2547.622	2796.541	1968.703	2521.359	1425.983	2557.208	1714.042	686.665
