TIME	20180324_W03	20180329_W04	20180402_W04	20180403_W02	20180413_W03	20180413_W04
0	24893.57	4578.651	8543.076	9547.597	6341.361	4032.77
1	25222.082	4495.793	8372.878	9253.464	5923.134	3970.896
2	24130.533	4406.585	8163.008	9148.428	5483.687	3892.877
3	23448.949	4351.887	8369.36	8894.61	5332.029	3720.745
4	22126.834	4281	8301.312	8805.8	5092.823	3646.898
5	20992.789	4330.524	8185.738	8655.956	5045.896	3659.627
6	19913.307	4576.423	8518.705	8589.313	5119.703	3902.329
7	18874.279	4643.661	8655.401	8450.56	5197.458	4014.592
8	18529.594	4770.831	8854.282	8574.133	5140.882	4232.007
9	18146.902	4832.758	8833.558	8572.868	5201.22	4459.02
10	18401.219	5000.414	8831.937	8909.47	5329.387	5183.958
11	18664.648	5251.181	8910.602	9490.783	5346.351	5499.305
12	18510.064	5454.005	8542.782	9783.574	5404.299	5725.518
13	18747.537	5621.487	8472.191	10216.772	5490.059	6203.931
14	18114.688	5826.617	8491.245	10589.455	5371.064	6573.032
15	17672.855	6156.497	8206.827	10852.425	5626.366	6830.247
16	17138.258	6330.43	8519.339	11010.215	5588.874	7238.458
17	16444.16	6378.75	8719.538	10910.907	5877.808	7587.798
18	15976.824	6582.365	9187.578	10681.01	6141.652	8302.347
19	15056.686	6746.563	9384.409	10691.77	6515.434	9239.226
20	14716.43	6835.642	9806.615	10466.474	6572.17	9599.766
21	14063.679	6737.014	9533.653	10258.197	6908.786	10448.487
22	13727.395	6638.324	9512.113	9866.314	7263.761	10884.074
23	13771.242	6457.006	9570.42	9773.31	7344.501	11738.837
24	13572.464	6124.454	9132.581	9757.837	7438.229	11924.108
25	13888.729	6123.236	9387.989	10008.579	7219.761	11989.563
26	13884.967	6161.495	9040.863	10666.339	7156.906	12295.293
27	14155.17	6066.553	9362.037	11175.83	7066.068	12414.323
28	14018.375	6188.125	9425.148	11473.093	7158.992	11952.609
29	13513.901	6391.746	9672.263	11841.385	7248.737	11575.526
30	13089.367	6686.824	10614.657	11577.258	7543.197	11644.307
31	12465.342	7039.392	10492.582	11302.173	8043.421	11354.485
32	12121.962	7513.469	10852.288	11208.948	8398.066	11681.561
33	11948.911	7236.021	11135.279	11048.609	9197.863	12113.679
34	11813.314	6957.736	10870.601	10581.564	9071.093	12489.093
35	12002.95	6908.854	11109.905	10437.581	9276.841	12657.92
36	12326.128	6618.896	10799.15	10696.28	9130.351	13207.888
37	13142.378	6779.725	10334.908	11110.846	8742.073	13209.081
38	13807.914	6586.365	10195.765	12049.946	8710.307	13430.715
39	14156.937	6381.267	9806.826	13040.09	8508.67	13235.079
40	14477.778	6231.227	10589.811	13827.45	8414.253	12925.79
41	14106.931	6149.271	10685.004	14743.963	8340.767	12595.677
42	13643.256	6321.25	11791.13	14874.651	8475.817	12472.506
