TIME	20170616_W09_center	20170616_W11_center	20180721_LSM780_W12	20180324_W05	20180329_W09	20180402_W09	20180402_W10	20180402_W13	20180402_W14	20180403_W08	20180403_W09	20180403_W13	20180413_W05	20180413_W07	20180413_W09
0	4836.485	3804.206	7356.342	8813.452	5237.819	3351.291	5405.92	4509.474	9729.812	18653.58	5932.225	5216.386	2934.421	5855.64	8039.953
1	4821.094	3823.078	7409.942	8292.868	5274.929	3081.914	5062.547	4351.098	9514.021	17087.342	6168.502	5277.456	2774.204	5621.693	7655.913
2	4824.833	3613.954	7742.578	7776.462	5341.874	3096.084	5124.325	4266.292	9550.485	15931.376	6176.798	5182.021	2800.787	5428.104	7388.736
3	4825.939	3621.143	8030.276	7678.333	5544.487	3256.171	4716.012	4258.598	9705.437	14723.825	5977.89	5156.871	2886.09	5243.837	7398.398
4	4868.373	3602.292	8133.244	7680.427	5626.523	3314.067	4588.923	4373.63	9601.678	14242.18	6355.199	5180.347	2906.283	5143.187	7592.728
5	5034.65	3522.423	8368.049	8072.6	5678.907	3507.457	4515.455	4453.802	9939.881	14096.489	6887.926	5210.663	2975.175	5014.723	7596.843
6	5146.671	3478.769	8528.562	8572.21	5987.582	3468.57	4646.487	4458.204	10205.278	15042.915	6883.692	5315.113	3011.983	4876.263	7914.977
7	5222.954	3605.584	9038.779	8660.674	6265.099	3551.836	4584.734	4280.282	10073.956	16052.27	6859.533	5384.747	3226.904	4876.679	8064.369
8	5163.862	3611.709	9277.856	8886.983	6479.901	3392.06	4597.675	4370.319	10317.732	17450.125	6684.724	5558.634	3251.744	4792.985	8501.547
9	5084.295	3689.145	9697.039	8665.979	6747.149	3438.409	4548.319	4439.371	10020.254	17930.186	6763.564	5700.786	3290.684	4756.384	8969.424
10	4956.85	3753.645	9547.286	8403.226	7022.347	3385.907	4521.197	4380.608	9947.743	18123.908	7180.404	6062.625	3356.102	4826.384	9447.256
11	4977.851	3758.17	10269.004	7931.293	7202.417	3332.064	4634.447	4519.36	9950.02	18082.391	7237.009	6327.764	3458.091	4758.196	9654.782
12	4955.286	3739.61	10518.672	7602.593	7328.267	3327.298	4639.889	4497.494	9874.54	17886.305	7564.836	6302.47	3778.772	4799.25	9834.536
13	4850.669	3836.596	10224.018	7414.186	7381.132	3391.374	4581.88	4798.056	10153.751	17461.482	7724.326	6481.533	4064.493	4830.718	9888.943
14	4827.904	3909.627	10283.469	6951.159	7419.883	3370.966	4403.875	4754.561	10037.172	16687.977	7725.042	6266.894	4414.476	5051.03	9955.291
15	4882.554	3801.834	10136.363	6889.299	7548.808	3534.092	4255.551	4738.393	10303.456	16089.323	7864.636	6324.282	4970.947	5205.434	10468.604
16	5017.292	3744.63	9733.448	6834.474	7708.468	3575.296	4452.087	4929.295	10711.626	15374.216	7954.607	6165.136	5894.944	5505.264	10552.174
17	5139.75	3734.011	9678.252	6915.028	7682.754	3666.58	4408.052	4867.762	10846.682	14739.911	8443.941	6204.736	6756.593	5719.571	10906.291
18	5191.829	3698.016	9894.26	7077.637	8137.511	3751.292	4578.687	5139.768	11320.068	14400.431	8201.699	6288.678	7395.511	5903.039	11667.849
19	5286.649	3796.519	10099.892	7266.519	8228.177	3846.961	4775.195	5133.183	10954.156	14424.073	8246.939	6159.471	8164.729	5932.521	12250.15
20	5315.93	3939.479	10209.381	7397.471	8363.204	3900.426	4749.781	5555.74	10934.991	14500.063	8257.703	6038.361	8611.316	6203.928	12218.857
21	5459.517	3932.599	10600.638	7302.792	8544.979	3962.718	4928.979	5766.518	10489.808	14650.869	8199.435	6143.533	8904.4	6383.104	12375.12
22	5450.834	4107.209	10648.011	7254.733	9262.14	3986.292	5063.554	5667.659	10425.011	15087.27	8762.694	6130.482	8814.964	6232.592	12282.725
23	5218.036	4365.994	10782.137	7244.305	9888.68	4166.062	5153.994	6344.273	10325.768	15371.18	8937.641	6428.915	8820.335	6324.526	12263.523
24	5138.151	4586.703	11032.952	6929.627	10309.636	4194.808	5437.875	6403.248	10368.24	15504.727	9168.127	6914.006	8480.462	6534.734	12182.26
25	4952.595	4632.258	10987.059	6776.682	10884.114	4158.205	5905.982	7008.615	10674.277	15527.957	9650.477	7480.132	8282.381	7077.283	11991.707
26	4881.335	4727.511	11344.344	6626.455	11311	4448.196	5821.042	7148.119	10764.246	15099.491	10209.868	7741.09	8445.426	7379.986	11914.685
27	4587.778	4713.731	10825.915	6577.073	11550.316	4824.453	5857.395	7517.473	10936.351	14350.035	10802.203	7909.306	8595.138	7833.795	11718.765
28	4663.387	4746.333	10781.339	6483.178	11851.135	5013.092	5631.206	8097.981	10977.984	14215.449	11309.032	7750.136	8811.912	8242.66	11691.276
29	4765.904	4776.741	10381.568	6390.781	11914.241	5209.767	5727.859	8622.818	11181.602	13496.809	11797.487	7556.562	9183.99	8625.288	11047.537
30	4740.666	4714.886	10110.354	6293.168	12142.254	5576.431	5968.954	8964.361	11326.479	12940.974	12024.536	7302.568	9662.209	8876.271	11330.395
31	4806.409	4742.926	10013.615	6090.971	11909.356	5669.143	5874.268	8812.655	11226.978	12362.065	12070.578	7064.2	9792.884	9109.756	11355.759
32	5036.718	4746.734	9950.813	5858.206	11440.602	5910.864	5726.506	8837.052	11702.164	11892.562	12148.073	6794.641	9958.607	9395.702	11464.884
33	5090.867	4845.459	10408.471	5761.641	11081.646	5781.256	5901.616	8928.458	11540.344	11410.182	11832.206	6584.667	9748.366	9781.799	11904.821
34	5313.832	4931.204	10796.012	5682.625	10749.572	5715.239	5862.397	8854.825	11722.239	10814.325	11522.212	6490.852	9441.358	10232.062	12620.155
35	5540.044	5175.591	11707.08	5601.142	10991.187	5665.062	6097.974	8903.925	11902.055	10562.469	11149.44	6467.31	9262.372	9984.782	12848.572
36	5776.079	5384.381	12244.478	5517.886	11084.312	5801.401	5950.487	8792.866	12016.979	10143.997	10797.168	6801.089	8916.933	10113.62	12945.721
37	5827.548	5628.699	13312.076	5625.373	11756.419	6045.621	6299.347	8850.341	12933.372	10107.915	10402.4	7125.153	8510.313	10499.02	12874.334
38	5913.592	5735.772	14348.597	5616.039	12601.051	6005.405	6357.116	9028.855	12781.439	10500.17	10299.83	7636.671	8376.299	10872.518	12860.94
39	5844.286	5920.882	15072.162	5588.774	13238.81	6400.524	6469.146	9428.191	13796.855	10794.995	10574.043	8069.488	8778.425	11826.888	12542.583
40	6028.239	6095.281	15692.474	5682.288	13771.16	6443.744	6396.522	9773.512	14071.355	11289.645	11202.855	8651.431	8978.577	12363.992	12678.984
41	6094.883	6130.811	15854.771	5648.927	14070.105	6801.532	6609.742	10179.07	14683.858	11845.094	11588.037	8815.53	9380.612	13052.617	12674.956
42	5795.538	5872.782	16239.236	5690.18	14241.406	6818.321	6600.824	10250.232	14992.314	12259.827	11902.193	9000.821	10172.763	13384.945	12781.52
43	5802.142	5713.705	16275.454	5584.755	13765.654	6782.516	6248.234	10006.16	14789.327	12209.812	12221.788	8930.545	10385.652	13968.885	12767.118
44	5582.857	5635.939	15852.761	5415.663	13800.017	7074.009	6264.047	9978.455	14909.103	11931.241	12507.955	8812.372	10476.372	14015.792	12606.488
45	5508.8	5506.506	16010.021	5229.715	13159.524	6866.429	6141.975	9367.795	14440.536	11393.251	12136.803	8736.841	10482.338	13676.755	12608.267
46	5492.534	5389.355	15808.195	5044.915	12626.949	6686.45	6048.026	8947.439	14286.934	11271.968	11683.366	8391.096	10204.438	13474.733	12616.5
47	5516.019	5196.488	16258.257	4882.964	12367.674	6587.483	5700.441	8750.205	14370.845	11066.009	11313.892	8294.645	10139.041	13181.063	12757.607
48	5654.694	5186.708	16161.615	4672.746	11758.344	6491.067	5463.605	8396.579	14294.442	10687.28	10859.588	8079.372	9905.118	13028.16	12778.082
49	5988.88	5297.499	17012.422	4540.877	11397.2	6453.958	5648.624	8500.639	14751.553	10516.85	10434.403	7989.897	9377.841	12454.064	13252.544
50	6355.907	5495.055	18143.051	4527.559	11062.533	6337.861	5664.017	8651.482	15140.549	10082.822	10052.519	8247.436	9109.677	12636.536	13757.096
51	6465.659	5937.04	20179.861	4671.237	11268.284	6485.203	5718.161	9140.682	16477.176	9918.625	9700.705	9000.703	8959.297	13080.353	14126.96
52	6745.771	6286.373	21714.189	4965.708	11825.854	6964.117	6084.333	9572.897	17580.436	10004.448	9536.319	9313.827	9124.772	14031.159	14612.499
53	7023.638	6580.299	23005.678	5114.433	12506.657	6992.779	6127.818	9840.229	17172.141	10267.274	9461.415	9583.767	9309.671	14525.491	14661.176
54	7208.485	6787.529	23846.234	5335.306	13229.314	7118.747	6522.313	10180.797	17219.553	10648.989	9502.294	10056.479	9743.208	15527.883	14755.824
55	7130.889	6681.862	24149.939	5364.089	13507.083	7269.72	6494.627	9993.753	16772.846	10907.539	9720.881	10186.052	10117.343	16162.223	14737.8
56	6943.584	6645.474	24001.986	5452.003	13473.353	7314.215	6644.042	9869.497	16417.215	11142.647	9913.119	10187.433	10108.087	16205.469	14590.248
57	6706.687	6561.794	23052.668	5337.061	13256.037	7298.49	6539.378	9660.13	15875.838	10922.811	10014.548	9835.208	10290.178	16055.043	13825.507
58	6622.795	6280.299	23003.875	5225.666	12765.969	7067.266	6141.082	9113.389	14725.597	10823.171	10021.633	9235.659	10126.947	15806.992	13299.096
59	6344.091	5960.781	21941.783	5010.595	12487.884	6796.905	5997.133	8981.432	14093.614	10609.935	9946.867	9014.578	9748.712	15170.104	13040.957
60	6149.348	5927.065	21583.432	4789.169	12025.902	6621.541	5746.889	8345.84	13516.666	10405.335	9749.302	8724.461	9531.744	14769.1	12488.251
61	5903.944	5591.912	20813.092	4628.817	11500.529	6140.721	5505.32	8070.898	13090.808	10012.942	9393.403	8479.807	9070.285	13770.59	12064.927
62	5875.041	5698.029	20798.584	4311.454	10791.462	6015.626	5737.641	8452.858	13883.636	9743.993	8866.498	8551.843	8718.755	13276.353	11846.89
63	5855.825	5675.097	21686.438	4217.801	10319.843	5814.803	5512.775	8744.167	14379.399	9515.888	8507.292	8858.295	8501.869	13067.192	12093.52
64	6166.407	5714.213	22036.896	4226.062	10108.538	5803.533	5900.949	9340.78	15920.329	9274.74	8213.388	9043.36	8288.631	12892.128	12667.514
65	6577.571	5905.13	23574.523	4398.26	10286.987	5880.567	6320.942	9720.104	16427.781	9430.493	8175.706	9483.563	8219.167	13617.77	13270.482
66	6958.839	6058.937	23901.521	4541.686	10711.96	5961.228	6520.278	9778.243	16516.67	9572.525	8363.728	9848.42	8340.478	14533.334	13617.806
67	7200.412	6127.525	24806.691	4575.519	10923.649	6114.002	6943.179	9987.771	16881.834	9877.799	8580.525	9858.082	8561.395	15403.495	13852.444
68	7435.366	6160.838	24985.855	4637.405	10903.874	6072.634	6848.234	9695.941	16412.494	9997.225	8912.474	9901.251	8694.42	15778.154	13909.722
69	7289.867	6049.94	24894.578	4626.473	10988.192	5930.295	7125.685	9760.333	16083.203	10150.622	9104.146	9571.841	8845.338	16340.785	13586.905
70	7100.06	5943.741	24258.785	4528.193	10882.033	5910.216	6891.372	9126.569	14783.391	10144.661	9295.886	9230.232	8658.226	16475.484	13350.839
71	7088.742	5611.538	23257.77	4352.831	10729.371	5584.94	6702.313	8880.597	14338.592	10153.95	9239.699	8684.236	8721.687	16141.936	12741.649
72	6936.763	5432.439	22504.977	4119.531	10453.13	5601.709	6513.477	8379.245	13740.345	9766.704	9201.808	8458.682	8577.478	15725.215	12209.318
73	6507.221	5203.768	21038.707	3932.716	9800.003	5359.277	6277.492	8099.633	12794.172	9421.404	9028.974	7929.865	8394.79	15012.771	11669.665
74	6202.736	4950.567	20186.162	3710.657	9280.501	5291.321	5941.487	8050.353	12901.853	9064.393	8770.698	7582.983	8139.756	14500.073	11248.439
75	5908.734	4870.246	19261.293	3610.125	8974.116	4928.22	5814.18	7645.223	13094.513	8752.731	8608.082	7431.103	7678.416	13747.597	11107.806
76	5845.521	4893.624	19100.783	3509.488	8653.292	4935.989	5533.809	7923.546	14241.454	8717.832	8439.507	7614.059	7651.268	13193.683	11252.849
77	5878.154	5037.112	18987.402	3472.291	8454.85	5078.887	5294.756	8071.656	15256.268	8731.588	8261.111	7943.389	7436.561	13037.183	11536.265
78	5838.519	5280.284	19624.748	3550.813	8501.521	5024.971	5510.358	8287.473	16368.148	8663.675	8235.903	8195.919	7467.502	13454.903	12218.841
79	6098.106	5673.208	20444.691	3583.684	8646.651	5067.554	5805.413	9077.7	17368.854	8868.217	8248.688	8379.528	7462.241	13759.691	12941.458
80	6413.393	5905.293	21662.982	3694.175	8955.979	4909.072	5828.078	8941.115	17483.043	9112.993	8393.735	8603.877	7604.562	14608.036	13504.628
81	6540.563	5944.958	22481.055	3689.674	9145.44	5344.365	6015.396	9083.671	17740.414	9181.802	8510.235	8751.701	7639.309	14871.597	13800.851
82	6586.38	5987.648	21792.881	3602.737	9313.094	5138.517	6027.694	8818.795	16427.559	9359.221	8603.462	8824.526	7768.986	15018.871	13463.904
83	6643.97	5851.089	22013.738	3521.143	9296.129	5084.071	5873.879	8696.227	15895.246	9231.067	8617.597	8347.537	7579.481	14729.826	13381.414
84	6681.366	5620.481	21220.078	3372.31	9237.895	5025.235	5890.987	8300.062	15430.213	9378.637	8649.883	7998.032	7393.958	14383.812	13095.118
85	6608.056	5452.911	20677.602	3353.857	9140.324	4982.53	5606.952	7866.893	14562.536	9198.918	8536.6	7907.145	7452.012	13842.695	12539.148
86	6355.338	5336.147	20089.592	3244.847	8934.144	4899.225	5513.432	7598.514	13903.579	8899.013	8442.928	7488.908	7171.487	13300.14	11927.958
87	6202.447	5224.62	19316.801	3073.978	8736.377	4551.325	5143.719	7198.861	13454.662	8695.709	8002.914	7139.926	6810.789	12958.229	11639.541
88	6043.258	5123.053	18936.131	3025.186	8327.508	4462.527	5110.372	7213.698	13973.148	8434.183	7893.842	6859.558	6612.863	12365.579	10869.105
89	5950.74	4998.74	18398.689	2999.505	8062.541	4377.057	5008.562	7254.597	14509.301	8328.693	7596.559	6611.735	6425.259	11947.513	10353.501
90	5961.515	5058.926	18769.365	2990.101	7745.708	4282.944	4880.625	7496.665	15746.475	8249.886	7493.969	6739.669	6275.057	11666.521	10327.393
91	5980.942	5225.252	18486.602	3062.461	7865.751	4404.307	5078.404	7801.216	16928.023	8382.938	7466.79	6980.374	6274.802	11795.405	10598.048
92	6120.303	5348.124	18978.711	3127.249	8010.446	4084.888	5039.867	7722.137	17519.746	8531.185	7781.223	7348.433	6154.494	12044.286	10972.107
93	6450.813	5549.723	19139.717	3184.166	8173.702	4210.792	5252.245	7960.253	18107.939	8772.034	7912.806	7595.437	6146.522	12593.216	11419.992
94	6431.032	5781.025	19391.844	3222.201	8440.769	4111.638	5253.181	8018.841	17772.395	8916.693	8200.193	7674.289	6317.491	12957.183	11464.674
95	6520.245	5727.174	19659.65	3200.635	8603.015	4231.93	5110.751	7646.089	17182.572	8712.805	8293.438	7624.127	6417.214	13155.162	11470.917
96	6504.304	5764.758	19674.973	3176.089	8611.274	4128.466	5344.677	7750.888	16963.072	8572.443	8146	7609.524	6371.774	13262.135	11416.178
97	6495.784	5480.411	19900.816	3168.15	8671.32	3986.908	5115.555	7234.176	15943.498	8577.861	8039.451	7244.129	6453.23	13150.375	11161.766
98	6238.158	5251.186	19584.83	3002.709	8502.253	3821.547	5057.47	6948.428	15416.725	8386.2	7911.415	7093.148	6537.247	12976.27	10920.124
99	6277.58	5171.169	19791.943	2941.631	8157.358	3813.009	4854.714	6716.142	14471.479	8193.938	7735.883	6712.02	6532.353	12462.053	10582.282
100	6192	4988.094	19440.164	2834.4	8116.759	3591.903	4599.331	6312.882	13877.512	7956.593	7656.914	6498.714	6521.938	12316.781	9917.751
101	6046.786	4927.038	19735.199	2686.5	7921.853	3537.193	4479.42	6306.624	13940.903	7731.909	7440.623	6261.024	6310.817	11608.374	9594.517
102	5968.461	4839.446	19635.346	2639.176	7494.704	3440.148	4313.577	6134.988	14115.416	7500.883	7386.258	6118.69	6296.155	11258.001	9216.577
103	5997.905	4869.166	20036.561	2621.383	7454.8	3509.133	4371.96	6284.552	15421.332	7481.265	7331.754	6054.86	6461.599	11063.628	9068.726
104	6094.321	4779.214	20472.314	2638.639	7375.261	3413.935	4247.833	6276.915	16171.819	7485.827	7344.346	5992.538	6256.496	11051.287	8876.839
105	6191.777	5065.828	21771.314	2704.213	7313.7	3264.031	4201.153	6551.23	17396.412	7516.291	7433.679	6062.35	6248.139	11260.078	8938.091
106	6396.981	5065.157	22127.471	2731.213	7408.015	3168.162	4209.769	6398.538	17824.141	7541.413	7444.347	6032.298	6336	11379.169	9252.499
107	6535.115	5105.755	23045.07	2747.543	7644.417	3097.412	4204.479	6349.572	17827.502	7456.681	7314.445	6084.244	6265.264	11551.396	9119.33
108	6719.519	5234.352	23366.723	2733.813	7704.08	3208.128	4198.389	6550.203	18286.115	7422.897	7319.951	6061.097	6187.954	11764.437	9160.24
109	6873.546	5069.988	23615.682	2691.623	7533.056	2985.625	4070.811	6200.792	17091.979	7404.426	7329.864	6124.363	6229.546	11593.078	9138.168
110	6985.709	5053.803	23735.145	2630.895	7455.134	3056.668	4088.679	6161.8	16673.963	7365.237	7119.242	5990.458	6064.66	11440.757	9034.233
111	7091.408	4982.478	23351.215	2550.495	7347.953	2983.968	3847.071	5989.234	15544.52	7187.947	6879.165	5808.29	5986.269	10865.567	8744.086
112	7058.878	4918.912	24436.24	2458.363	7079.795	2876.508	3789.859	5810.351	14741.559	6979.391	6744.667	5765.245	5991.761	10513.752	8616.854
113	7294.198	4810.237	23725.26	2364.418	6978.262	2841.185	3710.073	5588.274	14417.341	6814.593	6578.598	5753.325	5811.888	10236.609	8465.804
114	7348.481	4766.009	23265.785	2332.537	6795.687	2814.046	3519.656	5457.601	13528.175	6660.631	6273.209	5577.25	5752.993	9821.56	8325.593
115	7374.986	4753.524	22786.727	2291.291	6694.14	2776.304	3569.457	5308.658	13826.989	6542.189	6267.197	5651.509	5671.736	9576.051	8219.594
116	7544.552	4788.758	22546.422	2307.199	6533.57	2734.451	3391.439	5345.863	14098.547	6609.383	6279.053	5363.97	5785.186	9402.04	8216.552
117	7707.786	5041.359	22304.727	2238.073	6468.049	2657.558	3279.232	5307.475	14860.202	6610.821	6218.013	5320.596	5798.795	9155.394	8095.13
118	7734.905	5114.376	21899.619	2230.508	6531.704	2731.76	3459.972	5393.883	16205.594	6720.861	6231.043	5313.883	5733.058	9109.56	8128.025
119	7884.654	5331.958	21476.543	2230.544	6653.957	2688.016	3344.505	5452.449	16867.787	6866.278	6301.298	5254.578	6005.752	9061.533	8127.607
120	7978.343	5470.691	20221.602	2271.402	6722.945	2661.364	3443.855	5525.686	17922.137	6968.116	6260.281	5207.608	5915.772	8990.754	8057.332
121	7822.825	5427.692	19911.078	2291.361	6737.007	2709.376	3344.926	5409.659	18195.035	7007.501	6455.135	5075.332	5904.414	9064.888	8260.116
122	7638.286	5414.49	18924.34	2284.914	6711.442	2816.883	3415.749	5696.352	18973.152	7105.343	6198.619	5097.498	5872.592	8986.499	8150.536
123	7547.363	5469.387	18134.752	2249.546	6721.272	2780.367	3399.71	5525.001	18699.545	7158.982	6144.286	4902.108	5729.69	9007.414	7909.513
124	7454.647	5232.074	17282.928	2252.698	6679.405	2775.559	3389.911	5473.812	18539.385	6937.571	6085.103	4914.542	5836.85	8482.836	7742.011
125	7222.175	5133.352	16275.514	2193.682	6584.732	2553.042	3215.652	5360.511	17979.215	6757.92	5806.795	4868.828	5945.787	8286.176	7574.656
126	7219.366	5076.723	15842.982	2148.79	6384.732	2542.244	3070.112	5273.332	17133.889	6674.461	5724.698	4727.342	5879.891	7958.82	7350.089
127	6870.029	4969.397	14699.41	2160.728	6218.527	2700.945	3137.886	5094.379	17259.338	6653.62	5634.759	4682.985	5903.03	7711.819	7261.47
128	6468.756	4946.198	14183.185	2167.973	6108.759	2711.042	3050.246	4997.541	16648.279	6540.091	5588.159	4609.278	5931.545	7494.572	7111.152
129	6261.969	4914.603	13334.492	2187.974	6047.587	2664.596	3089.243	5044.691	16826.408	6514.209	5621.564	4460.177	5846.05	7285.624	6837.441
