TIME	20180421_DB_W02	20180429_DB_W02
0	5248.778	15228.55
1	4932.358	13627.869
2	4832.128	12411.022
3	4831.042	11227.707
4	4828.131	10518.474
5	4573.357	10034.737
6	4640.172	10196.28
7	4488.386	9982.062
8	4595.878	10111.349
9	4799.235	10512.276
10	4531.75	10904.061
11	4750.857	10979.973
12	4943.687	11202.496
13	4997.014	11454.403
14	5192.033	10913.542
15	5479.123	11190.145
16	5617.75	10759.349
17	5796.017	10613.756
18	5722.748	10675.176
19	5813.572	11060.923
20	5803.329	10773.662
21	5862.998	11148.858
22	5749.31	11626.617
23	5922.463	12078.863
24	6258.448	12763.678
25	6435.457	13135.521
26	6582.261	13289.666
27	7202.362	13360.179
28	7649.315	13337.343
29	8111.65	12989.53
30	8540.705	12894.868
31	9040.138	12990.719
32	9290.461	12897.469
33	9415.298	13162.966
34	9190.734	13974.193
35	9408.98	14575.822
36	9270.87	15152.855
37	9164.283	15975.857
38	9517.123	17038.551
39	9673.873	17266.037
40	9978.1	17485.49
41	10529.666	17621.674
42	10875.425	17122.342
43	10859.84	16362.994
44	10984.36	15675.576
45	10760.029	15548.864
46	10683.409	15412.097
47	10340.026	15339.711
48	10263.586	15675.041
49	10016.467	16083.146
50	9646.472	16189.879
51	9503.733	17196.344
52	9742.928	17457.041
53	9880.347	17802.213
54	10302.954	17191.42
55	10200.183	16887.748
56	10312.006	16098.752
57	10117.608	15884.038
58	9972.594	15168.729
59	9545.666	14762.976
60	9252.345	14693.495
61	8901.643	14952.838
62	8659.17	15297.091
63	8446.539	15668.33
64	8401.99	16577.449
65	8243.328	16691.107
66	8329.7	17058.453
67	8286.155	16988.359
68	8435.719	16739.27
69	8219.983	16121.284
70	8086.272	15340.535
71	8023.217	14924.964
72	7743.949	14681.284
73	7577.833	14420.241
74	7347.621	14099.04
75	7075.39	14244.857
76	6944.539	14784.021
77	6725.076	14924.346
78	6576.235	15314.966
79	6550.768	15853.279
80	6565.802	15577.624
81	6573.895	15611.246
82	6468.025	15269.439
83	6258.457	14643.419
84	6068.885	14578.334
85	5859.937	14204.714
86	5834.525	13666.496
87	5319.672	13169.391
88	5393.194	13152.925
89	5111.504	13154.434
90	4992.756	13691.155
91	5093.187	14318.525
92	4804.095	14574.102
93	4687.654	15045.949
94	4533.353	14530.608
95	4350.123	14450.309
96	4349.837	14485.308
97	4296.669	14111.665
98	4140.212	13573.313
99	3897.837	13254.23
100	3786.483	12579.269
101	3839.234	12395.436
102	3506.313	12051.219
103	3493.77	12082.384
104	3439.204	12345.98
105	3436.554	12523.731
106	3263.395	12694.846
107	3205.215	12796.929
108	3102.392	12831.625
109	2964.053	12896.105
110	2921.26	12608.133
111	2891.733	12702.535
112	2749.975	11980.548
113	2686.938	11795.958
114	2714.683	11299.801
115	2658.262	10623.253
116	2611.335	10477.562
117	2565.459	10561.968
118	2518.077	10098.108
119	2488.91	10287.904
120	2438.281	10083.7
121	2393.656	10105.745
122	2287.316	10233.977
123	2364.431	9905.604
124	2291.32	10041.932
125	2297.838	9762.112
126	2266.531	9794.326
127	2306.043	9634.372
128	2257.901	9384.876
129	2243.267	9347.901
