TIME	20180415_780_W06	20180415_780_W07	20180421_DB_W09	20180421_DB_W12	20180421_NLO_W05	20180429_DB_W08
0	18091.152	5374.311	7633.423	4283.022	4121.348	3868.71
1	19033.605	5941.933	6923.338	4271.553	3607.908	3750.502
2	19576.654	6461.573	6381.9	4220.618	3448.532	3672.664
3	19280.137	7449.097	5814.636	3971.006	3520.681	3592.625
4	18180.545	8023.877	5059.238	4151.575	3743.034	3599.784
5	17278.758	8788.754	4682.57	4102.744	3611.62	3363.055
6	15975.424	9709.628	4643.053	4030.227	3565.886	3311.537
7	15982.983	10506.424	4561.041	4151.665	3499.457	3244.141
8	15917.279	10605.978	4726.817	4229.364	4084.831	3169.37
9	16397.248	10775.811	4703.155	4256.031	3770.518	3045.04
10	16909.506	11311.871	4746.149	4297.784	4321.287	3061.05
11	17867.402	11608.063	5025.064	4537.643	4308.102	3128.309
12	18328.693	12768.393	5198.84	4649.96	4227.264	3168.812
13	18289.49	13127.703	5147.761	4799.687	4231.197	3267.259
14	18383.244	14201.404	5373.135	4883.729	4482.265	3359.969
15	17689.723	15708.744	5738.587	5023.255	4816.678	3409.916
16	17042.422	16222.697	6042.43	5311.499	4995.747	3314.306
17	16284.928	15907.896	6444.458	5602.403	5515.247	3353.436
18	15111.732	15605.42	6772.005	5614.808	5941.129	3578.306
19	14542.399	15827.882	6882.481	6087.096	6125.54	3566.662
20	13773.574	14901.654	6545.477	6154.647	6619.436	3796.928
21	13776.601	14912.277	6385.628	6501.037	6547.772	3883.979
22	14352.721	14575.058	6075.315	6470.513	7110.71	4025.145
23	15016.004	14312.976	5534.74	6555.612	7652.225	4117.206
24	16203.508	14223.088	5350.408	6543.572	8231.719	4353.658
25	16555.619	14396.241	5086.185	6621.095	9545.562	4668.449
26	17494.654	15324.422	4848.125	6503.465	8663.304	4804.353
27	17415.979	16072.284	4954.827	6418.339	9650.166	4916.624
28	17195.533	16979.83	5070.76	6937.203	8795.43	5078.787
29	16608.238	16799.008	5323.437	7270.283	9407.313	5309.637
30	16560.531	17557.068	5705.852	7864.715	9585.104	5647.387
31	15802.268	17176.328	5227.473	8515.195	9844.674	5590.288
32	15496.694	16450.164	5450.909	9093.758	10119.015	5749.481
33	15361.627	16281.859	5304.211	9311.02	11886.683	5746.651
34	15298.917	15365.164	5117.792	9102.376	12903.403	5663.928
35	16432.188	14520.481	4198.954	9362.912	12848.915	5967.317
36	17883.951	13849.192	3822.615	9024.248	13738.341	5939.547
37	19894.275	13745.308	3889.387	8789.728	14326.005	6078.31
38	20173.57	13164.936	3785.159	8526.841	14051.132	5971.55
39	21078.535	12955.288	3665.997	8145.801	13823.073	5903.944
40	21052.221	12624.104	3454.782	7740.713	13447.027	5651.045
41	20082.18	12749.997	3529.296	7494.853	12325.359	5703.627
42	19395.096	12284.403	3485.062	7538.029	12834.92	5760.232
43	18356.621	12006.01	3634.73	7602.877	12707.606	5957.576
44	17509.248	12200.773	3754.004	7681.015	12521.621	6179.204
45	16374.513	11623.962	3583.957	7767.108	11827.12	6076.856
46	16359.847	11651.326	3648.291	8326.04	11846.472	6235.256
47	16719.592	11847.046	3599.9	8339.599	12330.295	6348.323
48	17515.773	11243.41	3518.102	9040.206	13026.656	6334.505
49	18682.305	11623.18	3454.126	8743.449	13527.219	6228.943
50	19946.428	11560.81	3741.927	9017.61	14689.099	6131.994
51	20862.57	11924.069	4048.818	9250.4	15360.86	6156.484
52	21199.193	11441.12	4161.448	9077.346	14461.906	6008.396
53	20633.828	11652.353	4445.415	9023.93	14201.945	5890.735
54	20432.227	11551.747	4360.245	8769.567	14777.03	5875.518
55	19406.066	10979.765	4394.767	8452.146	13887.003	5967.289
56	18406.844	10729.745	4023.049	8034.105	13083.058	5871.606
57	17258.674	10300.418	3935.818	7865.006	12393.238	5818.749
58	16165.008	9874.399	4103.005	7511	12145.59	5754.168
59	15066.663	9686.79	4260.543	7250.923	11824.034	6011.416
60	14752.948	9389.594	4162.501	7099.834	11584.529	5955.446
61	14494.75	9128.207	4431.478	6898.917	12683.635	6078.322
62	14881.888	9168.748	4446.303	7188.796	13075.166	6327.456
63	15394.06	9160.262	4563.644	7304.709	13919.574	6522.79
64	15735.641	9486.72	4935.668	7699.152	14717.811	6441.997
65	16671.941	9819.991	4930.794	7935.277	15140.769	6699.812
66	16577.953	9758.067	5254.99	8299.471	15904.631	6727.077
67	16756.104	10042.613	5246.804	8251.447	15691.943	6591.599
68	16310.971	9931.364	5425.24	8443.259	15195.724	6553.456
69	16073.182	10201.813	5685.179	8713.898	14986.951	6551.792
70	15554.043	10115.554	5488.279	8728.812	14406.54	6407.708
71	14917.764	10099.823	5385.927	8705.18	14356.473	6361.623
72	14532.613	9945.082	5215.169	8865.693	13614.376	6151.558
73	13449.286	9475.578	5317.98	8908.034	13184.248	6119.704
74	13067.584	9306.614	5033.726	8821.054	13072.534	6120.92
75	12236.251	8766.606	5055.161	8681.659	12702.672	5943.36
76	12313.678	8619.253	5293.296	8293.242	12234.095	6040.31
77	11994.866	8473.913	5191.451	8293.354	12703.521	6066.837
78	12449.722	8191.645	5287.875	7793.836	13108.695	6232.609
79	12645.18	8049.663	5190.117	7922.475	13722.863	6370.552
80	12855.65	8130.953	5779.388	7757.415	14069.567	6463.02
81	13277.128	8335.451	6075.78	7573.531	14996.1	6802.64
82	13595.941	8168.222	6435.11	7584.897	15509.704	6774.194
83	13941.307	8241.645	6456.135	7115.294	15917.321	7057.583
84	14062.333	8515.161	6697.325	7474.235	16669.887	7049.07
85	13951.771	8661.902	6524.192	7332.232	16218.682	7187.093
86	13613.959	8514.546	6441.657	7429.919	16436.26	7151.211
87	13366.624	8627.073	6325.428	7270.985	16149.319	6859.429
88	13019.808	8646.544	6415.645	7130.474	15091.484	6774.581
89	12163.387	8292.878	6159.102	7440.942	14776.477	6608.432
90	11997.154	8054.337	6142.181	7442.635	14418.143	6082.502
91	11326.629	7836.147	5837.776	7452.693	13828.371	6088.758
92	10946.137	7591.727	5768.876	7407.075	13563.066	5780.62
93	10584.3	7331.75	6068.654	7683.088	13062.401	5736.925
94	10299.633	7075.32	6210.208	7840.884	12570.164	5740.99
95	10354.117	7073.166	6372.073	7733.778	12238.484	5608.488
96	10375.405	6878.024	6707.1	7501.749	12096.322	5725.18
97	10855.262	6643.129	6886.014	7914.05	12260.138	5663.931
98	10621.721	6337.62	7334.615	8029.538	12354.031	5729.719
99	10982.922	6505.253	7222.081	7951	12600.316	5661.648
100	11491.39	6448.875	7236.824	7846.104	12832.568	5996.994
101	11607.611	6210.639	7289.462	8042.63	12892.658	5957.093
102	11889.507	6281.667	7374.326	7713.811	12893.261	5770.567
103	11728.753	6624.994	7235.496	7514.547	13104.942	5780.901
104	11970.934	6674.633	7370.259	7486.117	13440.734	5839.052
105	11360.321	6775.835	7408.683	7292.925	12892.795	5567.009
106	11211.55	7003.329	7652.391	7051.609	12648.991	5405.486
107	10950.332	7054.876	7645.807	7204.061	11856.151	5262.772
