TIME	20171014_W03	20171014_W05	20171014_W06
0	1077.651	725.443	666.004
1	1165.976	717.199	675.216
2	1251.284	709.053	675.409
3	1352.056	706.117	675.876
4	1446.183	708.134	682.214
5	1507.376	699.958	679.037
6	1542.474	700.294	685.299
7	1547.977	705.026	689.51
8	1545.279	707.761	696.215
9	1537.61	702.762	713.371
10	1519.747	698.464	731.541
11	1500.557	684.442	738.69
12	1511.184	676.788	756.091
13	1558.646	689.086	770.355
14	1637.766	679.054	769.117
15	1745.434	683.405	771.098
16	1858.731	673.556	753.572
17	1989.615	677.545	739.21
18	2063.611	682.966	733.708
19	2099.198	687.697	728.508
20	2120.217	690.037	720.919
21	2089.522	693.683	720.481
22	2044.48	694.59	732.599
23	1999.256	690.876	740
24	1954.306	688.614	767.904
25	1929.579	689.671	793.716
26	1973.1	694.6	828.495
27	2032.067	693.632	848.752
28	2170.194	715.508	879.423
29	2348.846	719.419	897.3
30	2538.963	738.349	906.632
31	2695.854	740.686	903.918
32	2824.003	752.923	914.797
33	2871.148	759.324	940.756
34	2880.502	766.68	968.386
35	2828.868	767.242	1016.975
36	2771.519	774.552	1081.483
37	2690.94	778.242	1157.737
38	2627.036	786.827	1233.526
39	2607.152	793.593	1305.473
40	2617.906	808.439	1372.359
41	2694.051	830.957	1426.674
42	2810.621	864.768	1472.087
43	2980.073	896.404	1526.762
44	3179.595	926.466	1556.685
45	3347.909	958.468	1601.547
46	3442.126	962.499	1641.311
47	3524.753	970.315	1717.104
48	3547.526	987.927	1835.454
49	3529.431	987.534	1984.781
50	3472.486	993.534	2169.088
51	3387.759	1010.39	2348.474
52	3335.094	1041.526	2543.836
53	3274.587	1066.736	2681.398
54	3276.919	1109.855	2775.8
55	3341.481	1159.197	2839.816
56	3423.968	1219.468	2867.616
57	3546.798	1269.935	2865.548
58	3703.85	1321.182	2855.366
59	3880.984	1339.304	2859.571
60	4076.902	1346.833	2894.795
61	4210.898	1342.041	2968.777
62	4344.312	1323.553	3100.852
63	4435.186	1312.146	3283.561
64	4443.522	1313.927	3470.964
65	4449.82	1322.543	3680.958
66	4405.167	1366.218	3843.16
67	4365.719	1421.324	3947.896
68	4360.645	1486.717	4012.608
69	4339.27	1579.201	4021.711
70	4367.239	1650.792	3993.214
71	4454.704	1718.085	3913.461
72	4583.342	1762.799	3835.171
73	4718.062	1791.609	3765.836
74	4868.821	1782.429	3763.778
75	4996.693	1758.05	3807.327
76	5091.205	1725.674	3920.674
77	5132.75	1704.218	4120
78	5199.302	1707.789	4339.874
79	5183.288	1735.2	4560.063
80	5186.826	1772.93	4763.043
81	5167.581	1863.069	4911.719
82	5164.469	1974.469	4979.345
83	5167.276	2070.163	5006.654
84	5215.829	2154.674	4965.079
85	5312.179	2246.161	4889.682
86	5424.907	2266.18	4786.534
87	5497.435	2274.857	4689.146
88	5575.537	2269.56	4645.25
89	5630.916	2246.876	4660.149
90	5613.392	2206.735	4722.045
91	5555.962	2171.998	4836.664
92	5492.064	2162.297	5040.882
93	5451.957	2187.625	5224.154
94	5295.585	2254.086	5405.861
95	5230.123	2329.185	5554.551
96	5162.125	2431.201	5680.735
97	5128.814	2537.231	5764.996
98	5131.05	2621.333	5800.942
99	5143.323	2674.302	5835.306
100	5160.627	2701.042	5834.188
101	5174.765	2706.177	5849.67
102	5171.938	2689.343	5824.861
103	5150.701	2657.381	5846.168
104	5044.324	2613.847	5917.89
105	4964.255	2593.823	6029.987
106	4864.201	2583.457	6173.569
107	4785.327	2603.726	6332.853
108	4710.546	2661.998	6488.537
109	4636.877	2727.073	6694.567
110	4576.62	2826.985	6885.074
111	4525.315	2914.706	7029.315
112	4492.71	2983.713	7200.726
113	4447.315	3032.576	7343.769
114	4406.465	3055.597	7438.171
115	4369.938	3087.1	7489.71
116	4312.323	3049.633	7512.584
117	4228.761	3036.412	7526.601
118	4174.76	3030.303	7595.997
119	4101.758	3030.491	7613.459
120	4025.165	3023.064	7645.5
121	3959.977	3043.081	7711.376
122	3902.092	3088.292	7848.486
123	3869.209	3135.847	7982.158
124	3834.103	3172.531	8095.858
125	3803.746	3245.631	8224.302
126	3768.082	3283.444	8346.239
127	3726.389	3285.738	8399.257
128	3663.147	3288.538	8392.078
129	3602.634	3291.835	8413.961
130	3508.449	3279.365	8335.074
131	3424.004	3271.182	8297.678
132	3352.285	3271.432	8196.535
133	3295.354	3284.748	8100.08
134	3261.618	3307.656	8050.573
135	3238.956	3339.718	8035.119
136	3207.445	3360.765	8010.895
137	3182.77	3388.747	8048.583
138	3181.23	3418.8	8137.682
139	3170.839	3441.679	8228.915
140	3142.614	3460.925	8266.144
141	3123.035	3467.52	8320.773
