TIME	20171014_W07	20171014_W09	20171014_W10	20171014_W11	20171014_W12
0	974.207	817.976	1058.319	1860.444	1071.468
1	1011.221	847.725	1075.514	2009.483	1135.248
2	1053.957	888.004	1095.668	2225.931	1187.622
3	1102.399	912.451	1128.424	2520.017	1243.886
4	1173.408	959.427	1197.078	2822.312	1285.611
5	1230.324	991.702	1278.571	3116.266	1319.675
6	1352.25	1021.02	1385.569	3366.875	1325.997
7	1499.506	1061.458	1522.435	3545.343	1346.996
8	1714.172	1075.802	1648.156	3634.619	1349.643
9	1935.561	1100.056	1787.467	3681.186	1371.864
10	2158.118	1101.19	1904.035	3650.638	1380.642
11	2360.339	1118.308	2008.145	3590.742	1417.9
12	2519.432	1120.353	2081.949	3523.643	1484.485
13	2641.656	1137.754	2155.093	3493.533	1565.78
14	2692.003	1155.662	2215.416	3527.497	1655.652
15	2703.555	1176.602	2240.912	3671.15	1747.071
16	2651.874	1219.434	2277.692	3918.613	1835.49
17	2623.361	1278.654	2318.59	4220.594	1905.35
18	2588.063	1338.016	2356.76	4521.514	1961.935
19	2581.786	1392.21	2424.933	4776.719	1980.593
20	2621.735	1431.065	2529.32	4971.112	1986.33
21	2701.304	1450.453	2675.117	5027.421	1995.912
22	2834.844	1457.596	2887.218	5053.471	2009.552
23	3011.005	1446.631	3115.72	4955.821	2019.139
24	3193.373	1436.276	3345.976	4851.866	2069.738
25	3355.741	1446.495	3574.039	4695.705	2145.011
26	3491.966	1428.346	3729.58	4563.567	2266.036
27	3566.116	1435.37	3854.711	4464.062	2428.586
28	3620.008	1462.867	3912.109	4468.78	2618.056
29	3583.034	1484.879	3917.534	4569.195	2815.138
30	3506.812	1514.32	3877.165	4763.786	2977.704
31	3413.727	1558.323	3851.14	5034.708	3111.86
32	3344.344	1624.588	3799.027	5303.382	3223.073
33	3255.465	1663.015	3711.812	5498.781	3279.644
34	3187.91	1697.199	3640.575	5635.651	3288.086
35	3123.214	1712.819	3561.719	5695.08	3257.279
36	3071.215	1722.301	3487.221	5661.777	3252.917
37	3033.365	1751.827	3469.786	5597.25	3221.812
38	3027.109	1749.749	3501.78	5512.999	3234.309
39	3043.745	1732.97	3587.528	5412.898	3298.978
40	3082.926	1726.309	3735.381	5316.519	3411.998
41	3156.585	1713.299	3930.212	5240.592	3549.876
42	3251.951	1719.317	4162.995	5288.216	3767.497
43	3404.144	1689.941	4417.215	5387.882	4034.195
44	3552.157	1722.598	4622.43	5558.215	4297.529
45	3683.38	1755.84	4785.654	5808.452	4514.72
46	3800.609	1783.213	4886.124	6067.151	4733.383
47	3896.56	1797.431	4911.647	6187.942	4862.319
48	3923.908	1835.551	4844.083	6273.652	4889.334
49	3903.173	1856.628	4747.35	6240.241	4853.792
50	3828.016	1861.046	4606.708	6167.724	4813.209
51	3738.772	1853.015	4455.02	6077.614	4719.522
52	3637.479	1850.086	4272.587	5954.64	4616.759
53	3509.42	1844.022	4132.225	5827.526	4557.606
54	3385.164	1817.283	4011.651	5728.843	4529.241
55	3294.515	1813.704	3943.488	5650.439	4572.932
56	3224.883	1809.429	3961.904	5656.937	4711.426
57	3195.002	1820.939	4090.269	5770.972	4920.665
58	3233.202	1831.16	4299.193	5955.774	5183.202
59	3334.452	1842.461	4581.588	6250.458	5447.094
60	3465.561	1842.871	4867.464	6548.588	5739.318
61	3622.645	1851.044	5119.829	6854.378	5960.806
62	3747.794	1855.312	5275.144	7064.012	6072.68
63	3834.527	1833.373	5320.214	7147.803	6101.894
64	3865.022	1843.805	5303.453	7148.556	6015.519
65	3844.833	1831.943	5211.916	7017.113	5836.18
66	3792.725	1826.963	5054.373	6861.558	5685.618
67	3694.775	1802.003	4891.02	6646.249	5485.463
68	3578.406	1764.944	4726.606	6464.208	5324.942
69	3460.52	1738.203	4544.637	6285.446	5223.769
70	3355.397	1727.897	4421.715	6074.979	5206.494
71	3251.98	1712.972	4313.265	5949.667	5225.181
72	3185.141	1721.486	4306.734	5913.314	5365.394
73	3205.367	1757.664	4337.163	5975.448	5547.066
74	3251.893	1772.729	4428.919	6134.085	5778.921
75	3361.32	1786.376	4536.898	6286.951	5941.906
76	3498.549	1802.463	4668.567	6440.932	6018.807
77	3663.164	1811.662	4748.735	6592.948	6029.335
78	3818.254	1827.306	4733.722	6649.792	5910.129
79	3921.527	1816.497	4711.986	6604.468	5741.934
80	3968.185	1805.491	4610.194	6488.06	5512.305
81	4023.204	1784.081	4466.695	6352.697	5262.383
82	3996.424	1763.085	4309.834	6160.305	5030.492
83	3944.915	1726.661	4124.95	5969.593	4813.778
84	3887.128	1722.757	3977.222	5761.312	4658.509
85	3796.798	1712.132	3847.351	5554.783	4569.325
86	3730.113	1708.559	3744.674	5379.172	4493.682
87	3660.24	1733.319	3687.509	5237.088	4534.881
88	3616.328	1765.112	3669.427	5178.325	4558.205
89	3604.38	1808.772	3699.676	5161.185	4625.3
90	3625.762	1842.125	3723.58	5196.522	4658.886
91	3651.853	1878.625	3742.393	5214.494	4691.175
92	3705.856	1908.237	3746.889	5216.521	4667.024
93	3783.603	1914.914	3704.986	5158.157	4599.054
94	3814.549	1898.794	3636.652	5041.737	4435.637
95	3854.667	1881.122	3542.49	4922.867	4270.948
96	3846.224	1854.539	3424.849	4776.571	4098.231
97	3820.136	1821.577	3303.5	4639.607	3902.138
98	3758.954	1800.668	3167.862	4463.998	3750.52
99	3691.26	1764.246	3072.246	4286.2	3626.93
100	3616.667	1745.644	2981.533	4108.667	3549.94
101	3534.394	1747.952	2924.596	3951.678	3482.006
102	3457.63	1762.83	2929.591	3823.836	3462.227
103	3397.453	1790.223	2959.403	3745.322	3513.67
104	3340.51	1817.476	3003.23	3666.805	3539.2
105	3309.161	1871.771	3046.11	3589.855	3539.767
106	3253.862	1899.512	3102.192	3528.837	3536.23
107	3225.341	1929.177	3124.345	3488.016	3512.581
108	3208.887	1942.831	3133.129	3437.648	3454.026
109	3177.492	1937.433	3120.236	3347.718	3357.109
110	3146.455	1930.895	3080.032	3287.072	3282.028
111	3089.006	1914.267	3020.706	3194.402	3144.053
112	3029.219	1876.886	2952.853	3077.976	3006.448
113	2971.02	1844.676	2878.886	2977.771	2892.464
114	2870.126	1816.14	2815.897	2870.795	2798.021
115	2806.147	1792.544	2754.791	2759.071	2758.837
116	2714.278	1786.904	2729.69	2683.837	2765.179
117	2645.174	1796.433	2727.007	2619.76	2800.207
118	2589.705	1815.492	2756.633	2550.569	2850.898
119	2531.236	1852.435	2818.775	2513.607	2912.334
120	2495.152	1871.835	2877.914	2455.585	2939.138
121	2451.403	1896.263	2936.898	2419.771	2979.404
122	2433.314	1915.905	2980.39	2405.236	2990.344
123	2410.424	1920.174	3003.932	2368.639	2972.981
124	2378.384	1923.663	3001.272	2334.831	2926.189
125	2366.883	1911.943	2968.672	2300.055	2855.133
126	2339.588	1887.322	2929.289	2267.903	2753.522
127	2303.766	1869.573	2877.466	2212.754	2664.703
128	2254.574	1844.724	2807.313	2166.01	2577.698
129	2216.633	1815.197	2746.967	2119.421	2507.688
130	2168.049	1796.035	2700.547	2073.188	2475.319
131	2125.434	1803.475	2652.501	2043.317	2458.877
132	2085.84	1795.181	2636.558	2023.815	2504.743
133	2083.579	1818.999	2651.892	2011.429	2565.341
134	2062.184	1848.59	2682.865	1999.652	2652.634
135	2043.893	1864.433	2717.142	1971.237	2714.683
136	2032.391	1878.202	2775.511	1960.089	2772.08
137	2033.904	1901.944	2817.566	1964.099	2797.156
138	2030.32	1905.377	2843.641	1935.105	2803.172
139	2037.311	1918.529	2862.502	1934.989	2777.99
140	2031.926	1899.35	2845.075	1920.268	2730.994
141	2031.556	1904.936	2819.031	1904.873	2648.322
