TIME	20200209_W02
0	831.184937
1	835.36731
2	820.257202
3	831.026978
4	827.49585
5	811.728455
6	829.848328
7	855.912109
8	895.624939
9	911.405151
10	962.678589
11	991.413452
12	1019.638428
13	1049.524536
14	1067.709839
15	1101.380127
16	1135.36792
17	1168.516357
18	1192.106323
19	1234.403564
20	1264.069824
21	1283.849487
22	1290.160034
23	1301.240723
24	1305.668579
25	1315.47229
26	1345.816162
27	1374.599731
28	1437.179932
29	1462.505859
30	1581.371338
31	1660.58374
32	1773.539795
33	1831.882324
34	1881.218262
35	1964.132935
36	1984.779785
37	2000.049683
38	2120.980469
39	2230.818848
40	2383.150391
41	2455.740723
42	2679.827148
43	2823.453857
44	2998.908203
45	3142.511719
46	3227.867676
47	3289.120605
48	3287.296387
49	3380.281006
50	3336.249756
51	3499.083008
52	3576.078613
53	3704.071289
54	3914.582275
55	4096.581543
56	4396.157227
57	4413.249023
58	4471.664551
59	4671.078125
60	4657.72168
61	4567.155762
62	4565.108398
63	4615.508301
64	4576.702148
65	4646.865234
66	4716.402832
67	5038.576172
68	5161.242188
69	5234.643555
70	5580.989258
71	5666.393066
72	5645.046875
73	5653.875488
74	5573.102051
75	5476.529297
76	5501.689453
77	5399.469727
78	5598.116699
79	5863.413086
80	5839.681641
81	6099.534668
82	6256.845703
83	6480.916992
84	6578.575195
85	6789.969238
86	6865.60498
87	6866.15918
88	7072.490234
89	7049.562988
90	7068.225098
91	7104.71875
92	7169.875
93	7135.242676
94	7323.604004
95	7356.336426
96	7455.918945
97	7399.390625
98	7512.513672
99	7636.70459
100	7774.926758
101	7679.880371
102	7822.14502
103	7893.316895
104	7931.997559
105	7992.692871
106	8111.490234
107	8053.569336
108	7956.816895
109	7972.591309
110	7929.802734
111	7973.597656
112	8031.100098
113	8197.189453
114	8310.216797
115	8504.723633
116	8650.30957
117	8806.863281
118	8704.306641
119	8720.728516
120	8826.297852
121	8749.185547
122	8612.118164
123	8447.084961
124	8615.058594
125	8577.739258
126	8706.624023
127	8744.227539
128	8848.667969
129	8937.896484
130	9074.586914
131	9097.451172
132	9178.571289
133	8986.189453
134	8940.110352
135	8704.595703
136	8635.945312
137	8582.094727
138	8531.72168
139	8504.567383
140	8631.495117
141	8710.205078
142	8753.246094
143	8727.018555
144	8827.804688
145	8775.689453
