TIME	20200209_W03	20200209_W04
0	454.95462	760.086792
1	464.647125	741.103027
2	494.02594	720.374756
3	543.235596	710.782532
4	594.822021	704.406006
5	645.529236	706.992493
6	715.391235	710.715271
7	779.127808	733.533447
8	854.398865	774.195374
9	908.138794	842.226501
10	954.30249	925.923462
11	1010.79303	978.852539
12	1069.495361	1066.978638
13	1121.505615	1120.811157
14	1184.885132	1125.343262
15	1263.64209	1125.338623
16	1342.581665	1108.030029
17	1400.3302	1103.893311
18	1465.7052	1066.715576
19	1501.355835	1045.194946
20	1484.386963	1028.951782
21	1453.526123	1014.963196
22	1396.117798	1004.530823
23	1423.514893	994.690186
24	1305.413452	1032.718384
25	1275.115356	1059.72998
26	1226.443359	1109.796997
27	1219.338989	1183.41748
28	1293.610229	1263.916016
29	1405.659424	1330.333008
30	1595.861572	1405.736572
31	1711.04895	1444.953613
32	1815.916504	1487.442627
33	1963.969971	1468.089233
34	1953.208374	1428.857666
35	1903.191284	1384.476685
36	1864.873291	1327.549316
37	1830.853027	1280.821655
38	1722.804932	1220.966064
39	1557.395874	1184.775879
40	1493.349243	1206.449829
41	1514.813354	1251.186523
42	1615.683594	1365.557129
43	1785.07666	1497.214478
44	2053.484375	1610.852661
45	2240.054932	1671.168457
46	2381.668945	1721.09375
47	2567.977051	1726.469727
48	2561.896973	1703.037109
49	2541.334717	1629.424316
50	2495.613037	1589.647461
51	2304.685791	1477.470337
52	2088.875977	1387.213989
53	1947.830322	1361.302979
54	1906.499756	1385.729126
55	1941.212402	1464.755249
56	2077.036377	1614.829834
57	2233.800537	1716.526001
58	2464.739014	1840.408691
59	2698.584229	1951.049805
60	2918.21167	2007.193726
61	3056.518066	1994.433594
62	3049.367676	2021.25
63	3033.735107	1929.881348
64	2855.154541	1821.317505
65	2691.833252	1702.357666
66	2464.874023	1595.193604
67	2393.522705	1561.046143
68	2265.22876	1588.562622
69	2359.912598	1632.832153
70	2425.468262	1782.850708
71	2633.457764	1905.213379
72	2925.047607	2040.086792
73	3196.061768	2205.395264
74	3382.865723	2365.865234
75	3611.043213	2455.25415
76	3678.82959	2521.274658
77	3713.909912	2479.447998
78	3598.18457	2418.804688
79	3461.283447	2348.841064
80	3350.702393	2326.59375
81	3378.906494	2302.693604
82	3494.418701	2383.516602
83	3583.137451	2556.572754
84	3869.722412	2661.833984
85	4114.349609	2835.824463
86	4341.038086	3040.261963
87	4582.728516	3164.736328
88	4823.587891	3381.070801
89	5047.256836	3442.382324
90	4972.32373	3406.827637
91	4828.177734	3346.986328
92	4665.163086	3233.908936
93	4530.859375	3211.510986
94	4452.01709	3189.375488
95	4522.10498	3172.062256
96	4537.944824	3223.97998
97	4704.062012	3314.108154
98	4845.766602	3438.76123
99	5020.932617	3607.219238
100	5180.897461	3717.520996
101	5251.918457	3682.662109
102	5370.255859	3773.293945
103	5180.360352	3647.858154
104	5069.302734	3533.113525
105	4911.578613	3408.213135
106	4657.629395	3305.242676
107	4653.834473	3194.095459
108	4664.726562	3074.69458
109	4736.861816	3020.187744
110	4758.742188	3054.575195
111	4928.493652	2981.107666
112	5052.686035	2998.168945
113	5144.601074	3060.668945
114	5203.243164	3041.214111
115	5206.192383	3065.157471
116	5127.208008	2913.169922
117	4851.560547	2785.380371
118	4733.992676	2649.493408
119	4524.208984	2549.491455
120	4463.560059	2466.869385
121	4360.705078	2411.819336
122	4323.745117	2374.680664
123	4391.080078	2347.158936
124	4424.696289	2320.745361
125	4484.298828	2310.679932
126	4549.895996	2339.694092
127	4667.538574	2324.968506
128	4705.415039	2302.518066
129	4555.902832	2231.70874
130	4420.724121	2172.802734
131	4239.200195	2086.715576
132	4094.833496	2020.975586
133	3992.51123	1983.5896
134	3899.61377	1949.833984
135	3829.27832	1889.394897
136	3840.918213	1904.653931
137	3835.63623	1871.573486
138	3859.536133	1882.983032
139	3874.147461	1886.22168
140	3889.576416	1894.040283
141	3882.015625	1880.446045
142	3806.138428	1855.13147
143	3702.849121	1798.777954
144	3574.868164	1762.553223
145	3436.924072	1720.30542
