TIME	20200220_W01	20200220_W02	20200220_W03	20200220_W04	20200220_W05
0	1038.570801	759.157043	957.655518	793.739075	980.197449
1	1050.269897	780.763611	963.924805	763.998047	982.770752
2	1074.894897	782.348145	990.22052	724.865967	947.08667
3	1053.30188	784.646362	999.041138	707.523071	921.798462
4	1052.239258	802.590088	991.687073	685.707947	900.573364
5	1032.120239	811.088013	1010.253235	661.998901	886.740845
6	1031.9823	834.73999	1007.792908	668.041016	855.717896
7	1049.169067	878.756653	1021.556702	657.371277	827.418945
8	1032.930542	934.349365	1022.674744	656.620667	844.289856
9	1042.489502	998.164917	1019.241455	648.429443	839.459656
10	1061.21875	1090.375244	1013.444092	655.828003	797.697266
11	1140.087158	1181.511353	1008.899475	694.075745	816.971436
12	1232.2677	1270.15332	1022.647217	727.433533	843.220825
13	1324.008789	1332.456055	1040.498413	743.436157	852.540466
14	1394.026001	1361.19165	1076.810425	794.3573	840.377441
15	1481.242188	1383.293701	1115.328979	818.875244	847.686829
16	1519.135254	1394.674316	1165.545532	836.193787	835.448486
17	1569.621826	1422.18457	1202.678711	806.628906	810.735413
18	1569.384766	1363.858887	1236.267822	797.226196	743.71814
19	1560.120728	1342.416382	1262.00293	784.13031	728.984192
20	1564.694336	1331.247681	1248.927734	793.085022	701.287109
21	1546.930664	1367.13208	1244.189819	789.775452	672.26062
22	1549.901123	1421.947144	1232.115479	863.121582	661.28418
23	1556.562378	1531.583862	1209.264282	914.884644	660.766479
24	1596.530029	1643.993896	1170.984009	995.579773	661.096924
25	1684.065552	1822.843506	1143.26416	1068.190063	686.802979
26	1811.279785	1969.708984	1131.416626	1168.117554	715.945129
27	1957.829956	2081.298096	1132.427124	1295.298828	758.06897
28	2115.776611	2102.031006	1165.966064	1458.848633	775.455566
29	2244.776611	2156.499268	1216.852417	1611.584961	762.112915
30	2326.791016	2080.098877	1257.666626	1745.275269	742.799622
31	2384.643311	2092.36377	1298.720459	1864.974854	729.443726
32	2376.635254	1997.67395	1343.261719	1970.749146	715.55719
33	2352.872314	1959.354492	1354.823608	2062.313965	684.882019
34	2312.70874	1962.662476	1353.905273	2130.552002	640.988342
35	2263.688721	1976.466187	1364.485474	2174.429688	635.668579
36	2214.595459	2071.570801	1347.278076	2199.04834	623.929626
37	2190.302979	2238.199463	1340.226318	2230.62085	640.603027
38	2213.989746	2409.347656	1323.944702	2237.124756	659.57373
39	2306.091797	2625.841309	1324.90564	2305.847412	703.912598
40	2421.727539	2788.792725	1339.161621	2409.107666	741.321533
41	2564.683594	2930.265381	1383.981079	2570.14624	774.06665
42	2762.348633	3062.499023	1438.201904	2695.286621	785.767822
43	2937.064941	3002.762451	1522.814697	2888.571289	799.369263
44	3092.93457	3019.031494	1588.64917	3083.23999	793.381104
45	3235.258789	2922.838135	1672.928223	3180.22876	796.907288
46	3261.212402	2918.56543	1698.472534	3222.179688	776.024963
47	3302.569824	2890.671143	1747.783203	3307.386475	758.856323
48	3238.856689	2924.841309	1753.710693	3302.82251	754.257812
