TIME	20200220_W06	20200220_W08	20200220_W09	20200220_W10
0	947.582092	238.663849	933.436829	682.427856
1	924.964783	238.340668	905.238464	696.986938
2	931.30304	237.486282	889.889709	697.436218
3	938.632996	237.49942	876.447815	716.401611
4	976.494019	240.330078	874.233398	736.584351
5	1038.164551	245.799911	873.067383	774.851746
6	1104.30127	248.448608	890.441406	818.997681
7	1206.024414	252.41011	920.996582	880.912354
8	1256.805542	251.147858	971.263123	953.684448
9	1286.427124	260.275818	1065.292358	1014.85144
10	1322.775269	260.77179	1189.458252	1070.942261
11	1336.644165	264.862152	1335.016113	1122.116699
12	1351.610107	270.04187	1471.714844	1167.702881
13	1309.440308	275.162659	1609.504883	1194.523315
14	1256.392212	282.510468	1714.802856	1209.512695
15	1296.279175	283.980225	1755.967407	1210.720703
16	1231.62915	284.369202	1763.136719	1160.806885
17	1234.236816	284.893127	1730.848755	1120.912964
18	1239.156616	275.593811	1639.949829	1087.281128
19	1265.071045	277.318878	1583.886108	1086.204346
20	1318.111084	272.240204	1523.666382	1069.804443
21	1339.634155	274.008911	1482.297119	1090.708252
22	1432.266846	271.916382	1468.000244	1124.907715
23	1486.760132	275.665588	1457.114014	1160.243164
24	1525.550415	275.422577	1490.935791	1191.605103
25	1568.323975	274.244202	1563.102661	1205.369995
26	1432.025757	278.942474	1658.163086	1218.635376
27	1471.463257	282.541656	1798.739624	1232.305054
28	1423.675781	287.010345	1956.904297	1248.358765
29	1417.79834	298.063782	2086.48999	1258.386963
30	1318.555176	309.572083	2223.193848	1263.567505
31	1406.180176	322.564636	2338.890381	1294.890869
32	1513.187256	327.731018	2436.612793	1287.965576
33	1613.492432	324.707733	2385.399658	1267.043579
34	1661.509399	324.372009	2303.589844	1271.561279
35	1756.372559	322.583679	2225.531982	1290.665283
36	1820.266357	324.950165	2155.459229	1289.624756
37	1909.140503	319.197784	2062.941406	1324.234375
38	1998.749756	310.405579	2021.753662	1330.289185
