TIME	20180808_W09	20180808_W10	20180808_W11	20180808_W12	20180808_W13	20180809_W08	20180809_W09	20180809_W10	20180809_W11	20180809_W12
0	714.914	755.211	710.492	484.801	780.205	844.798	878.317	812.345	998.157	808.333
1	736.638	741.657	703.096	485.447	766.584	847.319	927.694	822.735	1010.189	822.982
2	757.256	737.264	704.056	495.501	764.786	852.224	993.025	823.952	1031.465	841.55
3	791.003	722.823	714.034	500.425	771.263	860.966	1059.996	835.88	1036.741	859.133
4	813.203	728.479	716.882	510.253	787.669	858.676	1117.807	857.085	1050.274	867.905
5	818.417	734.036	726.594	509.739	806.66	855.517	1150.371	877.784	1054.218	883.214
6	819.279	770.462	758.284	523.69	855.99	902.44	1211.79	952.778	1095.034	915.439
7	828.717	797.715	788.346	525.2	901.959	969.267	1231.125	1033.998	1138.965	935.623
8	850.371	857.732	820.416	532.491	953.396	1034.057	1240.969	1131.562	1219.098	971.5
9	878.15	923.703	863.401	542.528	1009.831	1129.39	1247.737	1261.33	1337.549	1033.771
10	942.187	996.746	890.195	543.168	1079.828	1203.893	1242.306	1374.633	1454.232	1112.469
11	1023.848	1053.992	928.56	548.565	1127.703	1299.305	1254.033	1483.249	1579.018	1189.713
12	1100.141	1085.895	945.964	544.214	1159.163	1351.078	1298.868	1559.5	1685.297	1267.245
13	1161.626	1099.752	957.921	539.151	1168.134	1410.07	1366.614	1637.771	1773.297	1338.333
14	1249.163	1105.765	978.931	546.602	1183.788	1417.574	1444.628	1655.117	1800.19	1400.521
15	1328.728	1111.259	992.019	566.673	1181.217	1426.507	1546.557	1659.759	1791.277	1432.247
16	1389.607	1094.635	984.663	580.238	1163.861	1386.774	1638.956	1654.925	1783.741	1462.918
17	1418.94	1091.589	1003.235	595.587	1141	1364.524	1721.497	1618.418	1750.473	1452.705
18	1455.087	1088.811	1032.132	623.353	1133.056	1332.339	1772.024	1596.625	1718.666	1450.702
19	1473.252	1095.067	1058.317	620.463	1113.524	1299.834	1774.745	1564.068	1674.019	1427.48
20	1450.594	1085.547	1072.94	611.499	1117.881	1274.879	1763.798	1530.61	1625.758	1391.8
21	1417.493	1068.067	1086.71	601.87	1119.992	1263.687	1730.472	1531.257	1591.745	1354.063
22	1403.733	1057.349	1097.692	589.639	1140.323	1264.171	1701.234	1526.358	1578.621	1313.034
23	1370.593	1039.922	1103.787	570.631	1165.34	1283.446	1637.443	1528.213	1581.454	1294.694
24	1333.046	1031.342	1110.719	547.145	1205.351	1306.036	1581.786	1559.312	1609.981	1279.884
25	1326.442	1030.37	1113.874	531.343	1269.007	1334.666	1540.231	1616.87	1686.926	1317.117
26	1340.331	1047.096	1116.715	517.81	1321.322	1367.005	1506.703	1692.823	1773.536	1369.319
27	1374.548	1060.385	1126.28	512.418	1368.491	1390.283	1491.434	1741.834	1859.541	1443.316
28	1423.418	1080.624	1118.742	513.31	1407.87	1405.713	1504.591	1783.267	1943.737	1520.837
29	1476.848	1070.643	1112.378	511.577	1411.273	1408.716	1524.012	1810.947	1971.942	1590.162
30	1529.953	1074.261	1107.724	520.228	1411.661	1403.434	1566.261	1803.313	1961.699	1631.041
31	1570.768	1068.937	1104.967	532.777	1417.246	1377.875	1600.93	1766.555	1918.097	1640.289
32	1578.717	1053.759	1082.705	538.45	1391.922	1345.535	1605.944	1718.312	1873.362	1623.367
33	1582.166	1038.378	1064.918	537.768	1379.006	1327.677	1631.605	1671.801	1819.219	1611.704
34	1565.502	1010.21	1046.137	539.038	1384.111	1291.24	1632.548	1628.155	1759.052	1579.866
35	1535.09	989.999	1034.273	537.289	1377.468	1285.676	1620.885	1573.979	1713.799	1548.988
36	1487.223	969.324	1031.832	531.643	1431.722	1285.219	1576.606	1553.706	1667.106	1501.347
37	1431.975	943.747	1022.8	530.97	1490.192	1289.485	1542.764	1535.423	1646.622	1458.701
38	1386.172	916.65	1030.498	524.266	1549.258	1314.533	1505.236	1539.501	1634.76	1423.662
39	1354.552	911.912	1026.682	525.665	1627.173	1333.526	1469.291	1552.609	1642.92	1398.909
40	1320.464	890.046	1021.7	525.771	1683.357	1368.148	1443.039	1558.006	1648.626	1364.247
41	1311.621	871.462	1017.383	525.366	1737.665	1374.074	1417.158	1545.285	1661.305	1344.848
42	1296.818	852.455	1001.259	521.969	1791.226	1371.324	1414.75	1562.571	1682.334	1350.771
43	1308.901	844.135	1002.261	533.977	1836.542	1385.659	1427.957	1553.633	1699.204	1358.889
