TIME	20180822_W02	20180822_W03	20180822_W04	20180826_W02	20180826_W03	20180826_W04	20180826_W05
0	890.569	1293.616	999.241	1557.743	731.135	1262.13	996.613
1	908.761	1251.688	971.339	1552.612	717.846	1322.723	955.25
2	916.358	1222.334	942.007	1512.062	704.317	1353.239	913.969
3	851.014	1157.832	596.725	1499.817	696.86	1394.469	916.785
4	1000.841	1276.967	742.713	1484.311	675.649	1406.039	903.114
5	1055.638	1358.198	937.377	1538.502	669.599	1451.009	959.914
6	1096.127	1450.364	1018.945	1624.52	663.433	1446.346	1066.83
7	1136.003	1557.023	1048.876	1749.881	632.244	1432.888	1227.316
8	1167.839	1656.127	1116.657	1929.919	609.914	1452.507	1386.234
9	1202.276	1745.243	1165.863	2148.932	611.301	1547.665	1503.607
10	1226.571	1768.632	1179.941	2355.405	609.217	1658.821	1560.394
11	1264.408	1765.073	1209.519	2424.725	594.145	1821.192	1620.028
12	1317.867	1755.737	1233.87	2464.621	581.249	1967.356	1605.919
13	1374.083	1750.168	1235.63	2500.742	584.082	2125.198	1604.597
14	1446.916	1748.353	1232.05	2462.024	588.373	2258.166	1626.263
15	1528.419	1810.984	1288.824	2370.792	593.128	2291.258	1616.506
16	1582.822	1873.153	1296.391	2302.734	603.602	2255.544	1628.199
17	1620.298	2020.504	1359.231	2308.695	625.78	2214.807	1676.198
18	1669.449	2204.301	1428.494	2353.033	633.66	2178.233	1835.876
19	1667.095	2385.087	1509.215	2490.856	630.323	2138.758	2015.667
20	1663.711	2568.993	1597.919	2715.995	620.526	2047.431	2175.441
21	1674.35	2672.368	1636.277	2949.617	609.55	2065.057	2326.433
22	1653.643	2701.117	1663.659	3252.014	604.564	2148.425	2379.181
23	1628.437	2642.922	1659.512	3418.116	596.763	2366.94	2480.043
24	1607.814	2569.776	1652.597	3510.179	594.71	2588.54	2449.877
25	1653.347	2537.378	1673.394	3439.928	592.453	2860.69	2425.784
26	1715.478	2503.304	1641.047	3412.21	607.691	3043.573	2368.483
27	1784.327	2480.474	1601.426	3258.308	633.328	3164.828	2345.217
28	1812.476	2489.402	1642.473	3149.423	641.555	3162.668	2331.253
29	1913.485	2633.409	1658.561	3035.547	659.062	3130.965	2454.533
30	1978.8	2785.515	1696.099	2976.824	662.972	3048.835	2676.155
31	2030.431	3018.943	1799.524	3086.817	671.539	2927.506	2985.616
32	2072.594	3219.082	1878.185	3300.372	671.347	2809.41	3293.555
33	2132.162	3335.731	1935.209	3546.368	664.55	2757.334	3574.617
34	2107.629	3468.122	1998.476	3918.991	665.456	2810.01	3738.661
35	2114.083	3466.178	1990.503	4249.49	655.812	2899.363	3732.775
36	2094.081	3391.18	2012.241	4473.215	661.356	3151.728	3762.811
37	2121.567	3371.023	1996.538	4665.202	662.835	3421.061	3635.785
38	2136.083	3205.629	1928.471	4664.448	673.493	3742.373	3560.119
39	2151.037	3165.506	1936.832	4620.313	696.421	3980.815	3413.021
40	2191.872	3114.832	1895.448	4443.312	717.393	4200.825	3391.327
41	2257.099	3134.328	1898.254	4352.098	739.105	4348.014	3549.257
42	2379.024	3306.94	1958.871	4225.518	749.99	4271.125	3762.558
43	2456.278	3421.007	1993.594	4163.497	762.982	4222.953	4183.46
44	2569.94	3745.269	2131.546	4171.636	756.075	4009.7	4508.356
45	2688.446	4041.457	2232.441	4350.469	770.223	3889.537	4821.077
46	2762.516	4315.402	2423.568	4530.638	774.106	3820.237	5079.504
47	2882.273	4621.922	2593.579	4774.983	787.947	3728.309	5060.264
48	2883.206	4697.284	2675.401	4973.522	786.596	3785.019	4989.217
49	2957.569	4833.506	2772.711	5165.816	782.783	3824.69	4807.812
50	2954.446	4737.819	2754.167	5363.578	815.805	4073.812	4713.665
51	2981.316	4757.091	2775.766	5454.96	845.242	4298.613	4490.024
52	3042.377	4705.706	2744.749	5334.924	858.097	4512.09	4434.379
53	3000.228	4529.61	2703.365	5228.982	888.301	4731.156	4481.277
54	3077.97	4526.743	2631.788	5185.345	912.274	4918.694	4686.423
55	3100.298	4510.773	2631.573	5078.042	910.13	4861.795	4903.782
56	3189.18	4674.937	2663.097	4982.68	916.698	4766.688	5237.559
57	3297.947	4853.477	2734.541	5029.286	944.008	4699.979	5528.503
58	3262.183	5060.117	2912.297	5154.931	946.07	4481.423	5664.319
59	3356.699	5343.748	3071.559	5312.456	950.53	4427.599	5861.479
60	3328.601	5410.908	3241.265	5459.678	956.941	4365.091	5819.319
61	3329.762	5532.986	3402.023	5733.918	1027.201	4335.085	5598.579
62	3331.635	5578.137	3486.009	5883.249	1101.871	4391.152	5467.886
63	3237.324	5488.605	3544.185	5952.221	1189.298	4573.323	5420.501
64	3250.355	5454.142	3515.633	5850.402	1249.316	4695.187	5310.012
