TIME	20180822_W06	20180822_W07	20180822_W08	20180822_W09	20180822_W10	20180826_W06	20180826_W07	20180826_W08
0	796.907	849.844	1293.216	1171.433	1146.262	1101.444	1087.349	1241.009
1	773.403	863.6	1348.15	1168.831	1184.58	1138.455	1110.615	1188.363
2	757.631	884.906	1401.356	1181.061	1151.242	1175.014	1150.773	1206.189
3	540.18	683.059	1387.973	1181.545	1123.484	1201.372	1179.147	1201.585
4	623.709	816.398	1517.122	1301.681	1261.159	1222.056	1207.015	1234.172
5	744.831	879.668	1476.542	1364.264	1322.392	1255.776	1240.337	1301.207
6	804.377	892.972	1531.065	1445.42	1448.028	1269.932	1270.037	1435.687
7	803.978	872.21	1562.635	1479.383	1600.349	1282.197	1301.894	1567.169
8	817.222	885.03	1631.8	1516.611	1747.396	1270.12	1281.075	1637.642
9	817.542	887.888	1724.599	1539.57	1940.151	1311.131	1325.77	1750.499
10	829.733	940.135	1895.599	1563.619	2102.062	1382.631	1380.435	1867.083
11	828.978	991.2	2063.207	1569.039	2214.169	1502.016	1415.997	1890.93
12	831.743	1057.999	2194.413	1589.198	2322.705	1608.451	1489.394	1899.325
13	857.664	1123.543	2293.485	1660.986	2443.387	1740.22	1627.284	1906.549
14	887.112	1183.976	2335.902	1733.626	2459.21	1891.297	1825.516	1938.323
15	919.315	1217.199	2350.526	1871.844	2539.261	1972.77	1987.61	1934.005
16	963.787	1249.415	2354.295	2010.964	2556.972	1975.321	2096.169	1955.679
17	988.347	1218.397	2273.141	2088.012	2583.174	1923.459	2198.759	2040.206
18	1011.349	1193.706	2252.886	2222.896	2703.011	1933.605	2326.88	2205.616
19	1017.413	1144.548	2207.819	2233.875	2809.36	1904.572	2430.001	2450.383
20	1019.224	1129.424	2257.822	2288.503	3052.955	1840.63	2455.968	2657.806
21	998.865	1104.513	2370.56	2288.452	3296.142	1831.011	2474.493	2840.462
22	991.137	1131.876	2581.793	2266.468	3499.321	1849.51	2410.657	2898.305
23	977.907	1186.562	2815.023	2212.261	3622.342	2019.926	2458.508	2972.032
24	987.257	1259.124	3037.118	2203.631	3725.668	2204.305	2488.565	2952.665
25	984.533	1331.445	3182.628	2222.653	3708.801	2421.562	2540.449	2861.566
26	1009.945	1391.154	3256.756	2314.554	3686.833	2593.747	2675.925	2779.195
27	1040.996	1422.967	3290.113	2455.958	3601.807	2731.118	2851.837	2689.7
28	1102.508	1425.521	3236.187	2617.965	3517.12	2755.109	3010.52	2656.838
29	1109.344	1379.273	3152.281	2789.072	3461.725	2782.453	3194.582	2697.343
30	1145.468	1346.016	3089.593	2930.636	3350.429	2714.431	3274.829	2790.079
31	1167.769	1303.177	2986.746	3006.809	3358.513	2608.503	3277.69	3001.175
32	1157.573	1254.922	2919.712	3033.983	3459.382	2509.217	3274.025	3285.967
33	1155.476	1252.546	3050.229	3086.661	3652.758	2499.834	3309.945	3611.506
34	1133.075	1233.387	3151.904	2966.924	3852.01	2490.032	3196.884	3779.706
35	1115.83	1286.835	3469.856	2957.052	4108.765	2578.614	3138.406	3928.652
36	1121.479	1346.731	3726.705	2863.26	4259.236	2820.946	3132.242	3944.046
37	1131.249	1407.219	4036.086	2876.27	4415.195	3064.711	3177.882	3910.438
38	1160.21	1463.528	4249.121	2927.673	4450.797	3376.615	3382.465	3874.433
39	1218.768	1465.007	4204.022	2949.952	4429.306	3549.25	3532.919	3712.538
40	1252.644	1467.973	4261.37	3107.737	4362.128	3640.386	3768.94	3640.429
41	1287.144	1435.481	4090.78	3206.777	4191.359	3666.745	4004.004	3529.654
42	1316.873	1404.091	3937.292	3374.517	4063.536	3593.806	4222.756	3574.996
43	1339.912	1379.069	3798.677	3527.882	3900.695	3490.021	4339.368	3627.793
44	1329.698	1312.088	3624.889	3632.687	3836.72	3311.856	4372.805	3807.079
45	1317.555	1285.717	3650.39	3796.002	3902.289	3178.23	4400.25	4076.158
46	1310.508	1284.256	3686.402	3792.536	3984.136	3157.083	4401.764	4384.823
47	1294.03	1303.256	3912.642	3794.887	4176.563	3181.382	4386.22	4758.696
48	1299.517	1363.789	4289.124	3798.944	4431.911	3296.901	4322.395	4920.385
49	1287.664	1379.756	4539.199	3721.609	4704.618	3559.975	4355.287	5068.186
50	1319.542	1435.943	4937.443	3722.616	4888.28	3934.011	4495.92	5177.414
51	1349.423	1430.158	5130.952	3720.775	5065.577	4227.075	4643.228	5172.318
52	1399.084	1443.188	5312.015	3785.791	5124.282	4557.971	4896.487	5114.227
53	1470.811	1430.997	5319.776	3856.255	5096.619	4759.267	5077.099	4942.408
54	1493.223	1383.221	5244.803	4018.159	5091.482	4836.709	5279.035	4821.861
55	1568.376	1373.26	5163.638	4101.783	4865.323	4752.789	5515.304	4786.285
56	1583.873	1333.182	4959.933	4294.286	4798.383	4641.982	5691.84	4738.999
57	1584.181	1312.555	4771.084	4424.052	4591.5	4406.174	5663.431	4706.174
58	1604.421	1310.789	4645.823	4588.271	4572.633	4235.987	5719.982	4919.88
59	1577.727	1311.267	4622.736	4727.477	4663.395	4169.114	5834.3	5215.94
60	1603.791	1358.945	4705.143	4734.147	4704.026	4108.144	5820.504	5535.321
61	1582.118	1402.126	4888.797	4796.308	5004.738	4069.762	5746.432	5814.358
62	1612.263	1458.085	5184.288	4793.688	5176.619	4232.171	5774.075	6066.959
63	1657.919	1491.18	5460.821	4761.832	5422.197	4560.729	5906.406	6236.285
64	1702.255	1507.444	5791.167	4909.427	5677.644	4868.29	5988.392	6290.784
65	1809.895	1514.736	5958.157	4873.021	5623.708	5090.623	6068.768	6248.137
66	1878.991	1510.82	6118.814	5111.184	5781.433	5384.448	6224.257	6092.57
67	1966.13	1498.608	6069.867	5164.906	5630.413	5419.107	6342.521	5979.99
68	2058.096	1490.739	5977.217	5356.078	5579.154	5558.766	6689.141	6034.683
69	2065.962	1468.757	5849.843	5600.917	5518.073	5403.329	6820.733	5892.177
70	2102.451	1488.953	5742.453	5685.44	5344.315	5356.215	6942.867	5823.496
71	2090.637	1494.96	5554.516	5708.221	5302.449	5246.047	7148.091	5995.347
72	2091.278	1539.03	5516.145	5679.66	5226.548	5084.821	7113.308	5987.658
73	2118.414	1590.035	5456.83	5581.561	5202.297	5023.854	7145.83	6155.46
74	2085.279	1602.146	5310.862	5429.877	5218.053	4873.943	6943.934	6073.432
75	2109.699	1636.901	5321.548	5249.23	5132.375	4777.525	6920.609	6162.097
76	2085.195	1638.829	5259.146	5181.617	5271.963	4621.991	6753.942	6102.592
77	2084.329	1638.328	5263.974	5095.665	5275.015	4622.516	6687.227	5995.659
78	2079.738	1621.825	5286.069	5122.603	5311.347	4479.614	6502.124	5859.187
79	2122.275	1617.305	5201.931	5016.201	5199.212	4547.36	6640.302	5777.021
80	2152.941	1622.114	5322.273	5208.395	5293.903	4498.013	6666.449	5644.824
81	2195.821	1627.682	5269.108	5249.509	5196.212	4577.99	6924.633	5628.192
82	2286.762	1681.313	5280.003	5334.696	5114.136	4554.595	7063.218	5491.78
83	2275.492	1710.715	5339.793	5454.812	5140.958	4556.088	7223.157	5519.971
84	2358.879	1777.932	5279.481	5346.259	4965.134	4525.457	7305.772	5449.592
85	2407.978	1855.671	5409.435	5347.423	4990.622	4493.52	7393.196	5472.677
86	2431.607	1909.824	5358.145	5172.696	4961.674	4507.16	7386.717	5460.566
87	2502.975	1982.186	5402.099	5039.988	4872.625	4467.048	7359.842	5441.353
88	2493.938	2032.238	5510.49	4968.285	4902.102	4492.531	7286.159	5338.654
89	2533.135	2065.752	5425.166	4674.152	4740.802	4451.451	7215.991	5252.373
90	2550.588	2103.025	5509.877	4604.53	4741.975	4377.145	7027.981	5096.859
91	2557.792	2104.613	5429.305	4453.074	4671.347	4309.546	6988.408	5027.498
92	2599.993	2104.804	5363.119	4351.346	4541.129	4268.831	6972.499	4908.412
93	2577	2101.985	5328.879	4382.95	4496.692	4249.102	7026.796	4817.418
94	2643.256	2101.052	5102.338	4237.683	4249.569	4051.335	6897.371	4632.702
95	2668.849	2136.852	5116.545	4229.341	4156.898	4035.582	7099.521	4639.75
96	2742.84	2158.021	5011.288	4113.479	4018.256	3901.736	7047.718	4578.734
97	2812.843	2219.825	4950.528	4042.978	3901.228	3799.856	7095.736	4503.32
98	2860.972	2212.021	4789.54	3888.953	3766.591	3637.833	6959.148	4387.359
99	2975.518	2296.371	4837.088	3844.054	3684.886	3609.636	6911.319	4341.927
100	3020.305	2323.403	4691.434	3731.456	3640.108	3524.325	6823.647	4302.736
101	3068.109	2368.348	4593.292	3602.427	3520.297	3512.659	6674.946	4215.43
102	3076.76	2408.232	4534.134	3523.694	3437.318	3342.536	6381.274	4086.193
103	3135.843	2400.996	4343.594	3355.064	3302.007	3353.244	6300.049	4005.446
104	3191.926	2462.133	4292.298	3314.474	3221.701	3335.914	6340.568	4039.256
105	3137.469	2433.196	4122.458	3216.337	3152.131	3262.924	6178.694	3894.353
106	3168.999	2452.344	3995.682	3136.871	3041.316	3139.024	6051.175	3796.716
107	3148.041	2496.278	3909.446	3093.143	2967.883	3129.314	6060.445	3748.424
108	3093.308	2429.837	3712.32	2971.347	2879.451	3031.941	5948.593	3727.701
109	3112.918	2432.335	3621.136	2889.499	2759.298	2914.078	5806.491	3647.3
110	3048.701	2374.497	3523.515	2852.898	2708.744	2789.759	5525.562	3487.335
111	3037.603	2317.94	3399.736	2746.264	2592.798	2727.237	5359.552	3429.993
112	3031.192	2296.61	3307.227	2669.816	2481.848	2660.328	5268.526	3402.16
113	2921.188	2185.678	3125.225	2563.564	2419.379	2584.006	5091.14	3335.606
114	2953.188	2169.31	3030.354	2482.152	2298.829	2515.587	4948.204	3252.113
115	2905.296	2157.834	2971.625	2442.64	2258.145	2460.943	4828.312	3156.046
116	2888.493	2143.871	2857.615	2358.326	2208.37	2417.335	4743.205	3134.91
117	2955.986	2170.932	2773.792	2287.915	2126.434	2362.849	4618.614	3046.171
118	2986.454	2255.917	2753.848	2278.427	2082.436	2338.729	4622.208	3031.361
119	3027.352	2296.785	2629.578	2202.436	2026.698	2288.974	4525.32	2980.131
120	3135.862	2432.999	2620.822	2178.829	1971.275	2300.487	4567.014	2974.108
121	3128.543	2494.091	2550.872	2130.14	1929.754	2262.668	4459.942	2949.325
122	3238.016	2598.089	2527.216	2084.604	1883.541	2233.604	4390.939	2920.662
123	3280.065	2645.39	2487.824	2063.081	1868.183	2224.747	4290.408	2867.58
124	3410.676	2726.267	2442.175	2015.719	1797.895	2213.452	4257.423	2853.342
125	3444.217	2776.458	2449	2026.651	1792.799	2184.192	4184.794	2801.898
126	3510.495	2780.242	2372.007	1960.207	1755.316	2122.495	4034.633	2745.722
127	3632.916	2821.525	2327.885	1931.991	1731.271	2140.478	4057.151	2735.198
128	3614.094	2801.154	2275.242	1911.957	1732.252	2091.885	3994.513	2723.595
129	3736.246	2908.077	2239.812	1901.147	1704.15	2066.608	3973.078	2681.669
130	3716.375	2908.396	2149.531	1856.246	1700.648	2062.918	3954.812	2622.094
131	3792.44	3044.064	2099.379	1838.244	1674.287	2034.002	3968.93	2641.549
132	3748.907	3132.737	2075.195	1837.818	1687.467	2004.561	3927.188	2580.274
133	3843.487	3305.616	2028.108	1802.21	1654.044	1983.128	3874.718	2532.99
134	3832.919	3366.611	1967.565	1776.273	1645.052	1978.232	3910.002	2550.224
135	3828.397	3424.318	1935.322	1765.159	1639.47	1937.267	3823.531	2513.614
